sample	moss_0.001_1x_20	moss_0.001_1x_23	moss_0.001_1x_25	moss_0.001_1x_HiSeq2500L150R	moss_0.001_1x_MiSeqv3L250R	moss_0.001_1x_novaseq_profR	moss_0.001_2x_20	moss_0.001_2x_23	moss_0.001_2x_25	moss_0.001_2x_HiSeq2500L150R	moss_0.001_2x_MiSeqv3L250R	moss_0.001_2x_novaseq_profR	moss_0.001_4x_20	moss_0.001_4x_23	moss_0.001_4x_25	moss_0.001_4x_HiSeq2500L150R	moss_0.001_4x_MiSeqv3L250R	moss_0.001_4x_novaseq_profR	moss_0.001_8x_20	moss_0.001_8x_23	moss_0.001_8x_25	moss_0.001_8x_HiSeq2500L150R	moss_0.001_8x_MiSeqv3L250R	moss_0.001_8x_novaseq_profR	moss_0.01_1x_20	moss_0.01_1x_23	moss_0.01_1x_25	moss_0.01_1x_HiSeq2500L150R	moss_0.01_1x_MiSeqv3L250R	moss_0.01_1x_novaseq_profR	moss_0.01_2x_20	moss_0.01_2x_23	moss_0.01_2x_25	moss_0.01_2x_HiSeq2500L150R	moss_0.01_2x_MiSeqv3L250R	moss_0.01_2x_novaseq_profR	moss_0.01_4x_20	moss_0.01_4x_23	moss_0.01_4x_25	moss_0.01_4x_HiSeq2500L150R	moss_0.01_4x_MiSeqv3L250R	moss_0.01_4x_novaseq_profR	moss_0.01_8x_20	moss_0.01_8x_23	moss_0.01_8x_25	moss_0.01_8x_HiSeq2500L150R	moss_0.01_8x_MiSeqv3L250R	moss_0.01_8x_novaseq_profR	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_HiSeq2500L150R	moss_0.0_1x_MiSeqv3L250R	moss_0.0_1x_novaseq_profR	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_HiSeq2500L150R	moss_0.0_2x_MiSeqv3L250R	moss_0.0_2x_novaseq_profR	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_HiSeq2500L150R	moss_0.0_4x_MiSeqv3L250R	moss_0.0_4x_novaseq_profR	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_HiSeq2500L150R	moss_0.0_8x_MiSeqv3L250R	moss_0.0_8x_novaseq_profR
moss_0.001_1x_20	0.0	0.0	0.0	0.0008067931256447858	0.0	0.0	0.0	0.0	0.0	0.0	0.0007342176298822547	0.0	0.0	0.0	0.0	0.0009693605755962695	0.0009837615579899922	0.0	0.0	0.0	0.0	0.0	0.0014062328445863144	0.0	0.011353709868753739	0.011903959501713548	0.012268468460286184	0.011046730592348024	0.011579850047029829	0.012207193871116396	0.011603665764965684	0.011972941297396733	0.011663090433172494	0.012302848504678561	0.012841475001258483	0.011915266979064962	0.011698784707677348	0.011423160599652435	0.011452077193050006	0.01206242639054156	0.012694468774389695	0.011236596657666052	0.011465164705362142	0.010856807778669736	0.010869252983966135	0.011377147774998549	0.012824578291591721	0.010876130373717879	0.0013075623406642643	0.0015343593545161167	0.0013954331698545828	0.0017211215571095737	0.0019898134257279702	0.0015322797707749633	0.001819817619569739	0.0016413067193968324	0.0016329235542190744	0.0023495874643993243	0.0023299017433610946	0.0015222834877618217	0.00181429140907258	0.001561919687656827	0.0017791803347725497	0.0021377997765712558	0.0025316531452198063	0.0016712966851691853	0.0021029164311964586	0.0018701614980217776	0.0016481203166587653	0.0018656853733305338	0.0031348751461253775	0.0018106321245072985
moss_0.001_1x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047554386614645413	0.0	0.010929388861207145	0.01148794513001738	0.011723294075743204	0.011340218256321602	0.011030887171739048	0.01155023306775773	0.011883582095599917	0.01149681522037917	0.011560101309259456	0.01158328277997595	0.01198032380895335	0.011552823637843239	0.011123135464255631	0.01111405243373829	0.010898443034593178	0.011396629144045288	0.011878880388971723	0.011070759788771008	0.010845532910063375	0.010634285026324311	0.010536639836749573	0.010820671077980994	0.011849943736834692	0.010593540869109547	0.0010096232274895936	0.0010371044157043196	0.0011386329422013852	0.0014949493901111912	0.0014757771176127632	0.0011470139482343794	0.0014918303142752913	0.0012137799830946867	0.0012566825558455908	0.0018386745047926623	0.0015453864358895917	0.0012314944940516155	0.00130426410803358	0.001217072840090611	0.0013422461314018487	0.0017614269770490079	0.0016778137321889245	0.0013683970094762609	0.0013847696125967096	0.001372005795932336	0.0012060793109257173	0.0013506927534715496	0.0020915129939295734	0.0013682965405873296
moss_0.001_1x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010909577397717467	0.01143664012758126	0.011287385660880505	0.010670021618849357	0.010954085361619736	0.011636516441664056	0.01140572517785902	0.01142628603431969	0.011410322809072351	0.011540053796556411	0.011876675856536515	0.011351046222785785	0.011040300715126258	0.011058416007710003	0.010880363443716595	0.011240114369901034	0.01140592803044982	0.010920740511406046	0.010433101927881891	0.01047134796767521	0.01053852246213566	0.010458102373920997	0.01134722883451988	0.010587588758623595	0.0012218264572747188	0.001089929962271643	0.0009159414339219702	0.0012624720577613041	0.0013539517108139558	0.0010454864249386986	0.001593363929365761	0.001343544158188317	0.001290086312329384	0.0019585394359306705	0.001463187767546425	0.0011193807724076351	0.0011151167303515988	0.0012167205814931587	0.001279839000939259	0.0015476413519669688	0.0015165728055496492	0.0012604956485310077	0.0010899248407729414	0.0011217877609163306	0.001154476097898153	0.001006723324501843	0.0014362201871387478	0.0013264802988752545
moss_0.001_1x_HiSeq2500L150R	0.0008954179607716289	0.0	0.0	0.0	0.0015676408069375683	0.0	0.0006533076226537374	0.0	0.0	0.0007941984336299958	0.0014295558385080808	0.0	0.000707110599044999	0.0	0.0	0.0012958805138006855	0.0017297826227939846	0.0	0.0005155227793429667	0.0	0.0	0.0006452669150595812	0.0025828355655288355	0.0	0.012324266989203938	0.012837984397482695	0.012699822213965576	0.011906869692064595	0.012595066132074733	0.013094774302930021	0.012576376336784455	0.012646569456286037	0.012559312797983559	0.0131427088051424	0.013538590180309932	0.012638364499934022	0.011992264299198299	0.011838484412093718	0.011747967630294535	0.012268971101891865	0.013169408755838339	0.011639907402282927	0.011810576482936793	0.011031068454560762	0.011015666641793282	0.011767702962114457	0.01360131124552083	0.011148827225209467	0.001723708060938265	0.0016817713778393484	0.0019939593574865673	0.002237114009553189	0.002791442854044457	0.002107234337675841	0.0025863494800139014	0.0022786875590561488	0.002328622288076594	0.0027977065769325972	0.003386076765855764	0.002447786622266869	0.0024799416195500027	0.0022429961296810395	0.00222448689527961	0.0029007428119318837	0.0034679589257223566	0.0024337349909982547	0.00238807418476865	0.0021669132412073947	0.0022945021545446123	0.002376683351470777	0.004040580984496272	0.0023553787322085898
moss_0.001_1x_MiSeqv3L250R	0.0	0.0	0.0	0.0014485018674813054	0.0	0.0	0.0007960998894256928	0.0	0.0	0.0014159906168329398	0.001224238219178262	0.0	0.00113176924050452	0.0005092516169704328	0.0	0.0016840401801550776	0.001597244490448137	0.0	0.0012110184975354513	0.001035707684328738	0.0005711420959147743	0.0012033870341731899	0.0020757006432405418	0.0	0.011833936574924889	0.01225975410864439	0.01247352531601274	0.012399184358596467	0.012470737637693127	0.012567536110100282	0.01273080076401999	0.012499894677531546	0.012371712564264552	0.013141350122066678	0.013413334233719003	0.012114091703862503	0.012739137553423588	0.012158894487301557	0.01194114858575521	0.013076867131958483	0.013377581874695099	0.0118455092125643	0.01255172302198976	0.011865275796590295	0.011785402345728587	0.012843239841584694	0.013673506726921568	0.01170464642473474	0.0022063448583039564	0.0014678984144851244	0.001596466650266456	0.002429387750147071	0.0022288402675123362	0.001773475294858931	0.0022555492897373603	0.0019845291602931885	0.0018404554484996295	0.0035170525940526913	0.002846196614487948	0.0016709879745831705	0.0027273201565395037	0.0021438609065321367	0.0021522675714081294	0.00328123707205131	0.0030491715749049377	0.001920650067051854	0.0029570767485379815	0.002820567958056298	0.0023396792233323477	0.0030590985328500507	0.0036297920983295994	0.0023522730945845644
moss_0.001_1x_novaseq_profR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042978677567001464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011088075926178735	0.011433017422438253	0.011422322004402236	0.010872563045892576	0.01100329728456439	0.011333538550745474	0.011606923975235573	0.011618161608816244	0.0115623599010239	0.011756775830881723	0.01197021829454406	0.01162941510355841	0.011163252237236508	0.011184306546870297	0.01107771225222782	0.011333196605738356	0.011580931754010306	0.011072810656083744	0.010618218374174685	0.010544819488062296	0.010763396633939834	0.010321442402205125	0.011338279239855099	0.010816865537742103	0.0012694221288667852	0.0010862807202063382	0.001115518968940946	0.0015942905729343598	0.001247586419758674	0.0010418873528462702	0.0014314476310349697	0.0012449035447863464	0.0013094636079015601	0.001942528956763068	0.001435044869768305	0.001300963862105986	0.0013125341509949544	0.001297247844913476	0.001379481109669992	0.0016017436188629362	0.00142276960327975	0.0013623978267372245	0.0011594847598289824	0.001187433465558139	0.0012523362486306245	0.0009943798583997951	0.0014817449046789855	0.0014191285299217091
moss_0.001_2x_20	0.0	0.0	0.0	0.0005769409299546552	0.0007562309543924282	0.0	0.0	0.0	0.0	0.0006756106222811381	0.0010451838997898389	0.0	0.00043286519187606413	0.0	0.0	0.000771918856399155	0.0011414395479527402	0.0	0.0	0.0	0.0	0.0	0.0014176237394572257	0.0	0.011755738531020255	0.012512509255158524	0.012365098185404762	0.012045968418780088	0.012488016289943032	0.012613928431750913	0.011918610131501542	0.01231989174123766	0.012080060666369725	0.012569835887644468	0.013302749538187773	0.012138306893912121	0.011638454444702738	0.01149882390816384	0.011343557008875954	0.012074330018406434	0.012773566230986896	0.011527347105121323	0.01099997264015917	0.010840433007815216	0.01085239772716988	0.011157796374342636	0.012447227458645896	0.010865435142170959	0.0017389811846564413	0.0015713185629906542	0.0016621106330736656	0.0022481222653908113	0.0022389999281378753	0.0015871841307955946	0.0020624377123938885	0.0019255243407204918	0.0018799361305539425	0.0023342152893122132	0.002471085852730309	0.0018334361288610676	0.001851449454070078	0.0017990219813443056	0.0018556725916707207	0.002349357083887214	0.002770551424718435	0.0019027449320254172	0.0015677202742561396	0.0018498366520419212	0.001768043127758309	0.0015223217050910572	0.002943989523911676	0.0018572394754544732
moss_0.001_2x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005358322085899507	0.0	0.011312066951485228	0.01197699771684308	0.011800829646204946	0.011610837412094588	0.011589275678117654	0.01191423929379108	0.011627712136916412	0.011676032982179417	0.011653290860275526	0.012090058152946035	0.012599849771757678	0.011655126381682103	0.011012932241309548	0.01112410684902921	0.011111595296295945	0.011545189542103661	0.011831964471095862	0.01115590699322584	0.010804802322878438	0.010420482528407502	0.010618083413480547	0.010881250495833335	0.011915502171386774	0.010690962815557516	0.0014766441808152836	0.0010762137205093027	0.0013024575141289084	0.0018996727304939059	0.0019147221627441489	0.001186440806208821	0.0016360936246012734	0.001409327163844994	0.0014700424904887462	0.0019232835217711335	0.0018122671205558689	0.0014784800478863736	0.0014240592778324726	0.00137803428179031	0.0013418541030045018	0.0017396054576931169	0.0019289696541428568	0.0014273419427145646	0.0012840691124211747	0.0013919121640747687	0.0013607283525351767	0.0013980969683974182	0.0022163768517046234	0.0015506606394312485
moss_0.001_2x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011093840675013145	0.011611830077758255	0.011529182735996207	0.011287112340193143	0.011277234258001463	0.011489779889310566	0.011397881021579508	0.01149466725916385	0.011352276259335284	0.011811839453114339	0.012117623853239905	0.011472145697856075	0.011067201327877552	0.010994385625966501	0.010887112887823515	0.011210508201501653	0.011534510246899346	0.010968226244336956	0.010603462509131707	0.010370617196592304	0.010567034228491897	0.010506947407925293	0.011393200191516382	0.010599631429967612	0.0013595220446661227	0.0008396960732968573	0.0010456221204549767	0.0015492526070728947	0.0013576606262845092	0.0009857504530655869	0.0014361881790342288	0.0012070646884628508	0.0012234465545662202	0.0017477267741533918	0.0014458145061982408	0.0010933758911233428	0.0011707503500452338	0.0012063606482039108	0.0012134965505045015	0.0015145927779533156	0.0014503471883973564	0.0012336746732442066	0.0010912467639958188	0.0011634440548985517	0.001136338006106659	0.0010488870193477923	0.0016665633965273104	0.0012828118758862026
moss_0.001_2x_HiSeq2500L150R	0.0	0.0	0.0	0.0007609600305728681	0.0014609132444855049	0.0005521274053865029	0.0007283428468022396	0.0	0.0	0.0	0.0014779089222420418	0.0	0.0004880061880138619	0.0	0.0	0.0009832207732263642	0.0019634322335197853	0.0	0.0	0.0	0.0	0.0	0.002122887082126201	0.0	0.012530521121916176	0.013044839069487018	0.012951738270754399	0.012424683751472267	0.013009173002825785	0.01314041782768421	0.01262660654058874	0.0124945642405055	0.01234634260867358	0.013090247153433408	0.013825052628477368	0.012576935933566067	0.011951296480027573	0.011610630945728902	0.011483545265477334	0.012479003821381087	0.013271009622163547	0.011567675649814183	0.01099776626879743	0.010867601639516005	0.010807132607756604	0.011354942400544207	0.013060465963378554	0.010757061915745861	0.002319906311115076	0.001599119374555578	0.0017778688622747045	0.002229894866826148	0.0030605733725322794	0.0016796019958652284	0.0022270978077845553	0.001876242295993076	0.0021001117874302412	0.0027754620531398573	0.0031536656821837387	0.002167481090114071	0.002255943229823805	0.0020688571350864237	0.0019346788392595072	0.002561958612253677	0.0035641018540282267	0.001986818716649638	0.001990806621252962	0.0021074778194563573	0.002122770662130863	0.00212297238012361	0.0037863917499158287	0.002177621807373141
