sample	club-moss_0.001_1x_20	club-moss_0.001_1x_23	club-moss_0.001_1x_25	club-moss_0.001_1x_HiSeq2500L150R	club-moss_0.001_1x_MiSeqv3L250R	club-moss_0.001_1x_novaseq_profR	club-moss_0.001_2x_20	club-moss_0.001_2x_23	club-moss_0.001_2x_25	club-moss_0.001_2x_HiSeq2500L150R	club-moss_0.001_2x_MiSeqv3L250R	club-moss_0.001_2x_novaseq_profR	club-moss_0.001_4x_20	club-moss_0.001_4x_23	club-moss_0.001_4x_25	club-moss_0.001_4x_HiSeq2500L150R	club-moss_0.001_4x_MiSeqv3L250R	club-moss_0.001_4x_novaseq_profR	club-moss_0.001_8x_20	club-moss_0.001_8x_23	club-moss_0.001_8x_25	club-moss_0.001_8x_HiSeq2500L150R	club-moss_0.001_8x_MiSeqv3L250R	club-moss_0.001_8x_novaseq_profR	club-moss_0.01_1x_20	club-moss_0.01_1x_23	club-moss_0.01_1x_25	club-moss_0.01_1x_HiSeq2500L150R	club-moss_0.01_1x_MiSeqv3L250R	club-moss_0.01_1x_novaseq_profR	club-moss_0.01_2x_20	club-moss_0.01_2x_23	club-moss_0.01_2x_25	club-moss_0.01_2x_HiSeq2500L150R	club-moss_0.01_2x_MiSeqv3L250R	club-moss_0.01_2x_novaseq_profR	club-moss_0.01_4x_20	club-moss_0.01_4x_23	club-moss_0.01_4x_25	club-moss_0.01_4x_HiSeq2500L150R	club-moss_0.01_4x_MiSeqv3L250R	club-moss_0.01_4x_novaseq_profR	club-moss_0.01_8x_20	club-moss_0.01_8x_23	club-moss_0.01_8x_25	club-moss_0.01_8x_HiSeq2500L150R	club-moss_0.01_8x_MiSeqv3L250R	club-moss_0.01_8x_novaseq_profR	club-moss_0.0_1x_20	club-moss_0.0_1x_23	club-moss_0.0_1x_25	club-moss_0.0_1x_HiSeq2500L150R	club-moss_0.0_1x_MiSeqv3L250R	club-moss_0.0_1x_novaseq_profR	club-moss_0.0_2x_20	club-moss_0.0_2x_23	club-moss_0.0_2x_25	club-moss_0.0_2x_HiSeq2500L150R	club-moss_0.0_2x_MiSeqv3L250R	club-moss_0.0_2x_novaseq_profR	club-moss_0.0_4x_20	club-moss_0.0_4x_23	club-moss_0.0_4x_25	club-moss_0.0_4x_HiSeq2500L150R	club-moss_0.0_4x_MiSeqv3L250R	club-moss_0.0_4x_novaseq_profR	club-moss_0.0_8x_20	club-moss_0.0_8x_23	club-moss_0.0_8x_25	club-moss_0.0_8x_HiSeq2500L150R	club-moss_0.0_8x_MiSeqv3L250R	club-moss_0.0_8x_novaseq_profR
club-moss_0.001_1x_20	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016540918168178598	0.0013332880323642105	0.0012430474649610668	0.03408385337340836	9.042171734818805e-05	0.0012386073446927215	0.007700450872565989	0.007921200187893995	0.007941769731360515	0.007444803552085766	0.00740689172426956	0.007973259349664974	0.008594959282287817	0.00915128164132839	0.009386245047984354	0.008330346424525015	0.009009054341311828	0.009530214952709115	0.008938958237391326	0.009343563459468851	0.00969890240017568	0.008973619408781275	0.008925454033744784	0.009845802857800567	0.011460953278060848	0.011300357136491468	0.011252341072956806	0.009530427818822185	0.011036413602203643	0.011293006524122906	0	9.82705832467401e-05	0.00012026231567130452	0	9.530831647230897e-07	0.00017863293871156483	0	0	0.00010931795638347008	0	0	0.00036548093802613035	0	0	0	0	1.2101649893847544e-05	0	0.0009269846692439021	0.002100013278172441	0.0020075667609262826	0.03499810247680335	0.0008365039119430095	0.00204522211097824
club-moss_0.001_1x_23	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001450085023163794	0.0008365643989874938	0.0006643024583221635	0.03586528054014104	0	0.0006132653296446744	0.008031116064553645	0.008107946434271929	0.008428150259680467	0.008024659706951653	0.007992474076295442	0.008267249546256017	0.00910203793063491	0.009370479812139454	0.009413635946554422	0.008960839644818752	0.009251447116252032	0.009656123856365606	0.00906070027422523	0.009379687014924198	0.009799585303004177	0.009266917079591153	0.009213654090492351	0.010008093082151004	0.011589833115420833	0.011281739310685879	0.011177323741590528	0.009743643748295172	0.011112807240103884	0.011175803596523926	0	0	0	0.00030157179161305336	0	0	0	0	0	0.0002803899597944026	2.652112053758149e-05	0	0	0	0	0	0	0	0.0005953684010353566	0.0016659262300218192	0.0014699148376159377	0.03681762362715424	0.0005374254109257182	0.0014380721219277026
club-moss_0.001_1x_25	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014968920719310441	0.0008268412400882497	0.0005439048341644437	0.03680582612872263	0	0.00048681533876615557	0.008199210134086976	0.008542445342189176	0.008391543875435614	0.008357441388111675	0.008209791890156692	0.008190695320520525	0.00928457174714703	0.009432040340199288	0.009497920940890636	0.009119817115798345	0.009225935295038123	0.00960964951542731	0.00947022358722005	0.0096112007757031	0.009743184287913542	0.0097961360142379	0.009403304047014949	0.00989187227696009	0.011574052565131221	0.011216922482456537	0.011120446536950435	0.00982122613252312	0.01118730817732716	0.011119257396284943	0.00012329870599803172	2.926972678596318e-05	0	0.0005612270268604558	3.624776276678343e-05	0	8.964372419939526e-05	0	0	0.0002810955907088797	0	0	0	0	0	0	0	0	0.0006149954684171455	0.0016361545829786106	0.0013442569442526642	0.03754283869717934	0.0005067516360316437	0.0013262924647330365
club-moss_0.001_1x_HiSeq2500L150R	0	0	0	0.0	0	0	0	0	0.00014837993533178828	0	0	0.0004304004348270052	0	0	0	0	0	0	0.002265066415912065	0.0021928482285125117	0.0021896153214144842	0.03208060019372516	0.0008476774703000123	0.0022303083970777182	0.007840328345301018	0.00844859389183572	0.008491116718184477	0.007156527059677398	0.007692524903748277	0.00868166622217037	0.008887126871077844	0.009488992886532488	0.009873733094116988	0.00801404300403652	0.009026136926907014	0.010173295597262988	0.008985868976652434	0.009728260654345178	0.010267850794803302	0.008889514803238519	0.009116443459811108	0.010362582148088606	0.011852912394640147	0.011946257364271795	0.011899491351044067	0.009935761037714652	0.011566403768049516	0.011988763620059628	0	0.0005681117776054068	0.0005775800739552528	0	0.00015649397576922297	0.000485160798493145	5.312690647163443e-05	0.0005665434992137008	0.0007986841228093677	0	0.00021271413024215313	0.001046449281699835	0	0	0.00018752425092449787	0	0.00066603971500101	0.0005067549116153369	0.0015738356471117765	0.0029896466023895396	0.002977248476707439	0.033587648348396004	0.0015106957576229707	0.003009566260819496
club-moss_0.001_1x_MiSeqv3L250R	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017471845576813028	0.001390594913382448	0.0012934565350758431	0.0345565067709509	0.00013824526876304866	0.0012263217659584935	0.007730675001178078	0.008207885201740317	0.008308445234324058	0.007655189434888854	0.007710118192732263	0.008341393222718652	0.008979893250420035	0.00929169779252803	0.009471299566484626	0.008694307259372591	0.009317360374692107	0.009714409912470967	0.009143546913072065	0.009820313419171667	0.00990692288604833	0.009471876551961578	0.009149587938881765	0.010057391085640521	0.011656721545284743	0.0115303699306889	0.011506550754668887	0.009804591288846143	0.011261765719653205	0.011472340865632202	0	0	0	3.4278444150714904e-05	0	5.225095434990834e-06	0	0	0.0001783466238595155	0	0	0.00031708701344557166	0	0	0	0	1.2197183889117724e-05	0	0.0010404869059366106	0.0021719450320649702	0.0020575061055283506	0.0354044449046369	0.0009343015271808808	0.0020560389249300037
club-moss_0.001_1x_novaseq_profR	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.001415371630274831	0.0007499568775094501	0.0004550767824964552	0.037067676006478645	0	0.00042423389142931534	0.008247312367424708	0.008546404127675933	0.008400102362034367	0.008181047906680727	0.00828563547073402	0.008221085008663809	0.00922809903644517	0.00939143475040305	0.00939362021788559	0.009154035011682105	0.009233814114895766	0.009488901529696503	0.009357706498256513	0.009491848896266308	0.009625815712714147	0.009564026297787187	0.009351829865919647	0.009853407050253282	0.011555469103022076	0.011185714631883115	0.011055826994079476	0.00981141294173149	0.011186283340403946	0.011081199125369756	5.1566851605233666e-05	0	0	0.0006133516732719224	0.0001430852348507372	6.639236710259677e-05	0	0	0	0.0003745870647666738	0	0	0	0	0	0	0	0	0.0006465028269411199	0.0015502568515913806	0.0012665126592480425	0.037954729557934996	0.0005113267393118681	0.0012336044518050926
club-moss_0.001_2x_20	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.00028205912832202085	0.0004480946612943626	0.000490560768136028	0.02739338018732107	0	0.0005276172265920032	0.007496782425241322	0.007436161448013845	0.007643562961545225	0.0073205359504811	0.007359079540935065	0.008005049658651009	0.007970121402459451	0.008412788543954441	0.008675601593918003	0.007511466626656471	0.008429407384010545	0.008789868624391683	0.008108239996408972	0.008584884058138176	0.008988114805897007	0.008042361749405202	0.008261035770432135	0.009139314599263981	0.010157152767503397	0.010293359975714678	0.010377385262113847	0.007680779938834981	0.009937671873470055	0.010409278247930587	0	3.463569101458397e-05	0.00016124257988536783	0.000145716007148744	4.919144759751859e-05	5.207008767038612e-05	0	0	0	0	0	0	0	0	0	0	0	0	5.77457961459249e-05	0.001296012901628396	0.001425377337209932	0.028236015843553175	0	0.0014605978395965113
club-moss_0.001_2x_23	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.00023354875075809467	0	0	0.03025176748828129	0	0	0.008011398357383626	0.008084948731304054	0.008166602577331816	0.008124618656653593	0.008110930442202013	0.008008551004359488	0.00869181124527707	0.008753289911837547	0.00894060308883493	0.008454178908226084	0.008852799253998844	0.009056813696816213	0.008717413914265837	0.00901775605961419	0.009257519880246146	0.008999855207117657	0.00895862116970314	0.00937366381911331	0.010489780547210614	0.010418225255315994	0.010412389589221194	0.008110424305438402	0.010197066843122937	0.010437841857193098	3.58330150613817e-05	5.745458285999483e-05	1.4110124288202464e-05	0.0006485431413956189	0.00019973057620181756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009810924970693469	0.0009494116473058867	0.03115344708733514	0	0.0009484910095454158
club-moss_0.001_2x_25	0	0	0	0.00014837993533178828	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0003609084957120201	8.033860794287584e-06	0	0.03183894331065673	0	0	0.008349817737097753	0.008274935525052984	0.008203639694494003	0.008460632887982156	0.008377148914850419	0.008114388551456075	0.00889598970569272	0.008976141290350403	0.00911926598437085	0.009069750246386454	0.00912125055426527	0.009231711793554753	0.009123204593920575	0.009244035843154252	0.009401305915709868	0.009500052157379812	0.009205322328088128	0.009500895908087226	0.010783982595067076	0.010551793181881597	0.010522353290200348	0.008431556497830006	0.010367277943302056	0.010539019851618425	0.00026348880762760984	0.00012194029263334905	7.976227416139903e-05	0.0009978718717628121	0.00038911796852070246	0	0	0	0	0.00028198457133177257	1.274178894505873e-05	0	0	0	0	0	0	0	0	0.0009548658085137829	0.000814175316746768	0.032671713199202035	0	0.0008033416730087728
club-moss_0.001_2x_HiSeq2500L150R	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0008284202703781052	0.0011416109856953183	0.0013401750654276068	0.024703622203272935	0	0.00137023052750751	0.007571238259998281	0.007735903114046816	0.008014937539704059	0.007003623019724237	0.007352984738871804	0.007966082369012417	0.007944211858267103	0.008656862278723754	0.009044437641794745	0.007527551542270916	0.008476804347490985	0.00898320989178214	0.008098266330505255	0.008847065064868542	0.009334856231022814	0.008000012763415665	0.008554406042454277	0.009349429003202125	0.010413359092445562	0.010715341869796169	0.010839863471017841	0.00787787016318775	0.010275211117794836	0.010852784040396912	0	0.00039207583794065304	0.0006320590471664556	0	0.00018519028641850177	0.0004118044065695159	0	0.00011514894788777763	0.00036532928404253706	0	0	0.0005685454324931838	0	0	0	0	0	4.126642032387107e-05	0.0005825575369088343	0.0020140837347121243	0.002279147454361752	0.026592349821242145	0.0005761566615920533	0.0023210183364992254
