sample	moss_0.001_1x_20	moss_0.001_1x_23	moss_0.001_1x_25	moss_0.001_1x_HiSeq2500L150R	moss_0.001_1x_MiSeqv3L250R	moss_0.001_1x_novaseq_profR	moss_0.001_2x_20	moss_0.001_2x_23	moss_0.001_2x_25	moss_0.001_2x_HiSeq2500L150R	moss_0.001_2x_MiSeqv3L250R	moss_0.001_2x_novaseq_profR	moss_0.001_4x_20	moss_0.001_4x_23	moss_0.001_4x_25	moss_0.001_4x_HiSeq2500L150R	moss_0.001_4x_MiSeqv3L250R	moss_0.001_4x_novaseq_profR	moss_0.001_8x_20	moss_0.001_8x_23	moss_0.001_8x_25	moss_0.001_8x_HiSeq2500L150R	moss_0.001_8x_MiSeqv3L250R	moss_0.001_8x_novaseq_profR	moss_0.01_1x_20	moss_0.01_1x_23	moss_0.01_1x_25	moss_0.01_1x_HiSeq2500L150R	moss_0.01_1x_MiSeqv3L250R	moss_0.01_1x_novaseq_profR	moss_0.01_2x_20	moss_0.01_2x_23	moss_0.01_2x_25	moss_0.01_2x_HiSeq2500L150R	moss_0.01_2x_MiSeqv3L250R	moss_0.01_2x_novaseq_profR	moss_0.01_4x_20	moss_0.01_4x_23	moss_0.01_4x_25	moss_0.01_4x_HiSeq2500L150R	moss_0.01_4x_MiSeqv3L250R	moss_0.01_4x_novaseq_profR	moss_0.01_8x_20	moss_0.01_8x_23	moss_0.01_8x_25	moss_0.01_8x_HiSeq2500L150R	moss_0.01_8x_MiSeqv3L250R	moss_0.01_8x_novaseq_profR	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_HiSeq2500L150R	moss_0.0_1x_MiSeqv3L250R	moss_0.0_1x_novaseq_profR	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_HiSeq2500L150R	moss_0.0_2x_MiSeqv3L250R	moss_0.0_2x_novaseq_profR	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_HiSeq2500L150R	moss_0.0_4x_MiSeqv3L250R	moss_0.0_4x_novaseq_profR	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_HiSeq2500L150R	moss_0.0_8x_MiSeqv3L250R	moss_0.0_8x_novaseq_profR
moss_0.001_1x_20	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013920330557828375	0.0011959303879029992	0	0.0010904302183907255	0.0010959799727568997	0.0073908968007524445	0.007838697956203955	0.00828016910035656	0.006627572492890255	0.007460380713362413	0.0084096073923281	0.009002515644284226	0.009592641749674113	0.009736100942356107	0.008844088046140341	0.009311916737544501	0.009958145143351915	0.009790473201215066	0.009997498892547418	0.010361606356925845	0.010132489622362129	0.009979876081673389	0.010617108583791945	0.012095191530399396	0.011901837757267053	0.0118805211838523	0.009800499988057099	0.011705659774480015	0.011898225404528784	0	0	0	0	0	0	0	0	2.086049242944199e-05	0	0	0.00025106162367827256	0	0	0	0	0	0.00015127506941348123	0	0.0023833291811318214	0.002176109893951339	0	0.002063498616914017	0.002124055657232171
moss_0.001_1x_23	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008336029953963653	0.00045277667888798945	0	0.0007049840357208348	0.00038238589274453005	0.007890125009799465	0.00785222483072956	0.008309409249405042	0.007832649819639492	0.007834402813710062	0.008413089264636353	0.009190774571116944	0.00975115538893978	0.009862938559524581	0.009430607898885612	0.009541035452818591	0.009892344305111433	0.010088655368508781	0.01007444785987699	0.010290231600298738	0.010585973931728776	0.010315381568240745	0.010457488404197357	0.012071266477368336	0.011712968151021408	0.011625560471995255	0.010045704861624483	0.011712027982738626	0.0115846657273877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003162710728449314	0	0	0	0.0018841271584986163	0.0014927762830725388	0	0.0016815430461109004	0.0013978720769598496
moss_0.001_1x_25	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006796876728588641	0.0002826806221615241	0	0.0006253172023138465	0.0001349025222155964	0.00847698635798888	0.00833522775822848	0.00870656458772645	0.008489543658390164	0.008479310764796244	0.008586464496654345	0.009801507457416814	0.009943651797846176	0.010134755502573367	0.009857020964246899	0.009940370196473314	0.010283720676139696	0.010503152664878779	0.010482519657399658	0.010608101719559726	0.011097752247972159	0.01067659430413348	0.010674764037201245	0.012483163700660382	0.012026478151862197	0.011884301279929343	0.010468306413945583	0.011990504286988779	0.011787652450413133	0	0	0	6.70518905651063e-05	0	0	0	0	0	0	0	0	0	0	0	0.0004339335623650964	0	0	0	0.001758358390355208	0.0013240896884414433	0	0.0016152936806067553	0.001195918463685608
moss_0.001_1x_HiSeq2500L150R	0	0	0	0.0	0	0	0	0	0.0003408272954525948	0	0	0.0006691191840233479	0	0	0	0	0	0.0004394044977988898	0.0002533641597078917	0.0026606779446408657	0.0026191980087364453	8.878930575217936e-06	0.002282916285061165	0.002587230333406243	0.007012641070701875	0.008244161969292674	0.00855875972287945	0.006593794938180353	0.0074069095476175795	0.008971834502631504	0.009193859523612957	0.010330216970957706	0.010585219225951903	0.008775189495089264	0.009745579950344307	0.010754275386601009	0.009945005037050758	0.010607456064749443	0.011082737912629592	0.010052240856113892	0.010436033669684486	0.011239808298442178	0.012738254612301936	0.01291399112043723	0.01290541687058322	0.010629626812492687	0.01255245472860167	0.012988484703636116	0	0	0	0	0	0.00020922250111066187	0	0.0006769146431510054	0.0011709744235944841	0	0	0.0014447444657403885	0	2.1889546215625444e-05	0.0008120659253656459	2.8152715425111552e-05	0	0.0011520464934550168	0.001056696881077901	0.003656379995138903	0.0035030573452689007	0.0007703533588371281	0.0031769972803901148	0.0035254984159283076
moss_0.001_1x_MiSeqv3L250R	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014533541497123714	0.0012171240626045465	0	0.0011112334101678334	0.001109361203362469	0.007291204240892912	0.008007744861091792	0.008295895412038123	0.007162491613356581	0.007218339995606393	0.008399643128089163	0.00938732428164657	0.009867204744500868	0.009943234154315195	0.008928064239255518	0.009369636077802501	0.0101419303085577	0.010163285930268495	0.010225152017906636	0.010541308555755746	0.010469130261262949	0.010213206948184839	0.010584657113604345	0.012367795060231224	0.012158349783930378	0.011995754566491934	0.010393078009041101	0.011885868476152028	0.011988009061337568	0	0	0	0	0	0	0	0	0.00014282111629471128	0	0	0.0002688663256827928	0	0	0	0.00014460081014544546	0	0.0001749410788881578	0.0001271211457267718	0.0024565272987472353	0.0021536072433732123	0.000129379793736506	0.002082456186998094	0.0021086522171904765
moss_0.001_1x_novaseq_profR	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	2.6114328839921264e-05	0	0	0	0.0006966530285964501	0.0002714674541799411	0	0.0007559116317763515	0.00014309854320848636	0.00864414777205691	0.008615283943006702	0.00877418009219888	0.008922871162268864	0.008549738427831355	0.008784560586348245	0.010045275489250938	0.010167105710798152	0.010256713979104548	0.01010713142366193	0.010059772849136728	0.010189550444913653	0.010613452931764744	0.010482688280580854	0.010790339585323272	0.011348160786524009	0.010831551869869949	0.010780109267203963	0.012594832244755771	0.012140111891024041	0.011893465882187648	0.01052983957698217	0.01202924513565029	0.01182458167689937	0	0	0	0.00020727473103421268	0	0	0	0	0	0.0001417297570579512	0	0	0	0	0	0.00079647254277182	0	0	0	0.0017147989168958544	0.0012541589937249409	0	0.001630491205305895	0.0011426115049606445
moss_0.001_2x_20	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018605789148529173	0.00016205308434891208	0	0	0.00018143253660451997	0.007815472866997242	0.007729050872907539	0.00807705707013917	0.007285461251980041	0.007907617972426673	0.008228639782389857	0.008371472898025645	0.008899712480538446	0.00909380394370407	0.008072616406455513	0.008742843542487666	0.009128917512169266	0.008734965618176882	0.009073069464879291	0.009361873142034183	0.009082421004266594	0.00943874446851578	0.00954602285292816	0.01052273698513384	0.010585325307562399	0.010676487281622293	0.007533488043128256	0.010283495208659343	0.010703002462788103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013271475399272425	0.0013444425721169662	0	0.0008299025219548062	0.001330895101839924
moss_0.001_2x_23	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	6.747448993649208e-06	0	0	0	0	0.008386620506989129	0.008227801430801263	0.00846912156134283	0.008576224317391468	0.008564439662234302	0.008680088024865529	0.009112923119627858	0.0094501239486795	0.0095760684731524	0.0091669567636542	0.009548528686086688	0.009549397075437893	0.00962044742023238	0.009668257889510201	0.009898989859248863	0.010263875369771136	0.010082725722852737	0.009976418085819505	0.011121400222772415	0.010955735149869805	0.010913601208567436	0.008284633889650839	0.010770131429023833	0.010900566627336294	0	0	0	0.0008017622858612627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011937629789456894	0.0009718125896320817	0	0.0008236683939373268	0.0009099432350313519
moss_0.001_2x_25	0	0	0	0.0003408272954525948	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	4.715651291975487e-05	0	0	0	0	0.008908487913796725	0.008794953457598842	0.008903973745222116	0.009232034912225018	0.00904102509589666	0.008835899014984161	0.009822993094288024	0.009884625628637234	0.009766042306449396	0.009915851941533771	0.010071587914816327	0.00975673609416905	0.01035541523328598	0.010125003578662861	0.010299240237794272	0.010956594831457611	0.010594973644958872	0.010268801690672902	0.011488195933608392	0.011246794824060324	0.01111901365372403	0.00881111017013858	0.011130325080367154	0.011139064929504894	0.00011352019522958834	0	0	0.0013605981481253915	0.0002081774555380278	0	0	0	0	0.0002673611967661804	0	0	0	0	0	0.00038664808857657995	0	0	0	0.0012374421424707904	0.0009616228647100211	0	0.0009283958309314055	0.0008524488750214498
moss_0.001_2x_HiSeq2500L150R	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0010087210587862439	0.001128915240468542	0	0.00044494985488419125	0.0012158928109455847	0.007579660060369031	0.008094484280171788	0.008345295602494862	0.0070482602463082245	0.007997398391146104	0.00845095729139278	0.008241705074996997	0.009008076848690094	0.009414321416454596	0.007625645651094137	0.00878528496029729	0.009458956555760345	0.008299621914626742	0.009041677645594492	0.009737181475579337	0.008052317565490519	0.00886375216889268	0.009921316055483964	0.010805664922237446	0.01112747325641239	0.0112689135085271	0.0077869219104981235	0.010739932562280674	0.011333095824509365	0	9.216951700741216e-05	0.00015570985256840864	0	0	0.00045789021183706424	0	0	0.0004023804463380021	0	0	0.000684533444833102	0	0	0	0	0	0.0003892573601140814	0	0.0021488948999814905	0.0022943295213649906	0	0.0015690134465800032	0.002384001951089787
