sample	rotifer_0.001_1x_20	rotifer_0.001_1x_23	rotifer_0.001_1x_25	rotifer_0.001_1x_HiSeq2500L150R	rotifer_0.001_1x_MiSeqv3L250R	rotifer_0.001_1x_novaseq_profR	rotifer_0.001_2x_20	rotifer_0.001_2x_23	rotifer_0.001_2x_25	rotifer_0.001_2x_HiSeq2500L150R	rotifer_0.001_2x_MiSeqv3L250R	rotifer_0.001_2x_novaseq_profR	rotifer_0.001_4x_20	rotifer_0.001_4x_23	rotifer_0.001_4x_25	rotifer_0.001_4x_HiSeq2500L150R	rotifer_0.001_4x_MiSeqv3L250R	rotifer_0.001_4x_novaseq_profR	rotifer_0.001_8x_20	rotifer_0.001_8x_23	rotifer_0.001_8x_25	rotifer_0.001_8x_HiSeq2500L150R	rotifer_0.001_8x_MiSeqv3L250R	rotifer_0.001_8x_novaseq_profR	rotifer_0.01_1x_20	rotifer_0.01_1x_23	rotifer_0.01_1x_25	rotifer_0.01_1x_HiSeq2500L150R	rotifer_0.01_1x_MiSeqv3L250R	rotifer_0.01_1x_novaseq_profR	rotifer_0.01_2x_20	rotifer_0.01_2x_23	rotifer_0.01_2x_25	rotifer_0.01_2x_HiSeq2500L150R	rotifer_0.01_2x_MiSeqv3L250R	rotifer_0.01_2x_novaseq_profR	rotifer_0.01_4x_20	rotifer_0.01_4x_23	rotifer_0.01_4x_25	rotifer_0.01_4x_HiSeq2500L150R	rotifer_0.01_4x_MiSeqv3L250R	rotifer_0.01_4x_novaseq_profR	rotifer_0.01_8x_20	rotifer_0.01_8x_23	rotifer_0.01_8x_25	rotifer_0.01_8x_HiSeq2500L150R	rotifer_0.01_8x_MiSeqv3L250R	rotifer_0.01_8x_novaseq_profR	rotifer_0.0_1x_20	rotifer_0.0_1x_23	rotifer_0.0_1x_25	rotifer_0.0_1x_HiSeq2500L150R	rotifer_0.0_1x_MiSeqv3L250R	rotifer_0.0_1x_novaseq_profR	rotifer_0.0_2x_20	rotifer_0.0_2x_23	rotifer_0.0_2x_25	rotifer_0.0_2x_HiSeq2500L150R	rotifer_0.0_2x_MiSeqv3L250R	rotifer_0.0_2x_novaseq_profR	rotifer_0.0_4x_20	rotifer_0.0_4x_23	rotifer_0.0_4x_25	rotifer_0.0_4x_HiSeq2500L150R	rotifer_0.0_4x_MiSeqv3L250R	rotifer_0.0_4x_novaseq_profR	rotifer_0.0_8x_20	rotifer_0.0_8x_23	rotifer_0.0_8x_25	rotifer_0.0_8x_HiSeq2500L150R	rotifer_0.0_8x_MiSeqv3L250R	rotifer_0.0_8x_novaseq_profR
rotifer_0.001_1x_20	0.0	0	0	0	0	0	0	0	0	0.00013149740154994038	0	0	0	0	0	0	0	1.5775959823716157e-05	0.0006142480038262566	0.00042830185607145577	0.0003037935871885722	0.0008294002030819758	0.0004272222907757417	0.00027390005612915047	0.010588922090903008	0.009843833550996384	0.010202687060350657	0.010160098868647771	0.010078432882667965	0.010460445587084588	0.010893764379255377	0.011133077593652119	0.010927169204380416	0.010983748091698331	0.010949118415902848	0.011040454251036058	0.011052389309132882	0.011107251769669424	0.011042580853938277	0.01108822196673609	0.011059165052037523	0.011224783669072314	0.011568742733214066	0.011400784070494052	0.011338940850892376	0.011582797294220182	0.01144551917941683	0.011364257469097527	0.00029906318796701914	0.0005943329850027768	0.0003662834171590523	0.0008576994651674497	0.000754604171360751	0.0006126511453168337	0.0009651058351105579	0.0008199110518150032	0.0009208149599869708	0.0010458598925495721	0.0010927468835348897	0.0008479237549614549	0.0008276246131538878	0.0009467823425022281	0.0010166352750197172	0.0007286814133373731	0.0008760185143712462	0.0010549733200637679	0.0016832548650044243	0.0014134216616520368	0.0012898374892458264	0.0018216978637909387	0.0013673810497126793	0.0012806984494647677
rotifer_0.001_1x_23	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005095640793237877	0.0001867944708142666	0.0001345247900682578	0.0006335496270754026	0.00021593754969873036	6.873886652147831e-05	0.010315680267070748	0.010062817734508123	0.010280171548155526	0.01010559397267341	0.010196989503260312	0.010127983189330836	0.010397547817026176	0.010396337594572036	0.010466161737662794	0.01033946340710823	0.010234718558171152	0.010616936614232464	0.010598036470767846	0.010576269470123134	0.010576117754944825	0.01084451007126841	0.010674887736488725	0.010642155777901063	0.011215069698561453	0.01108059117017568	0.0109953004110378	0.011392085743193392	0.01103649452894584	0.010963206293722716	0.0003880965442168982	0.00039228870391094794	0.0007324859297258568	0.0006589574242648055	0.0005797380125486251	0.0005695533791152396	0.0006570229551071671	0.0005667440666782264	0.0006976999512120496	0.0006596451702539641	0.0005679382821666135	0.0006298821938882648	0.0004358411629107328	0.0005552628074854127	0.0005186373927836829	0.0007023667277311629	0.0004694606041972804	0.0006185549848078953	0.0015378301043805775	0.0012078145151065423	0.0011194867076391724	0.0017049908037615191	0.0011807844638853648	0.0010867062175552444
rotifer_0.001_1x_25	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	4.646991299550596e-05	0	0	0.00045930326726306703	0.00015698851625756127	1.8570370661441515e-05	0.0006735577136504078	0.0001371136385033278	0	0.01063128476505848	0.010385752074185572	0.010365030079397486	0.010216475920228008	0.010181145297988414	0.010448584336143818	0.010749034796199264	0.010761089422028136	0.010822954767230608	0.010892675992116074	0.010804188750392463	0.010829064190424509	0.011056846557245703	0.01093669086924176	0.010879490851643858	0.011249746777765135	0.011108302031998751	0.010973902601925878	0.01147810356795409	0.011326674404541826	0.011175373015973045	0.0116053349023999	0.011326273925556851	0.011146250129386859	0.00029415059089366036	0.0003118526903647112	0.00032084077047567217	0.0005182410787649694	0.0004704964907942255	0.0002670009213154856	0.0009099164105661472	0.0005996689319213155	0.0004958828154193462	0.0009707956647940774	0.0007268541490004221	0.0007397174623460234	0.0005780084455220269	0.0006479521240062569	0.0005929229794027213	0.0007797213801269409	0.0006846095046688649	0.0006054875676931859	0.0014377845972398662	0.0011291135981771339	0.0010133439685638956	0.001671788189347545	0.0011234410689614505	0.001013448380571047
rotifer_0.001_1x_HiSeq2500L150R	0	0	0	0.0	0	0	0.00016935216077085258	0	0	0	6.553372716966432e-05	0	0	7.90195885000955e-05	8.093818743559744e-06	0	0.00011209456363825421	0.00015088775322091852	0.0008596401687013255	0.0006696846403769774	0.0006708171874729718	0.0007680247252999095	0.000674266623896913	0.0006014512565151175	0.010317960668374648	0.010238040449032315	0.010414658181315817	0.010238012190598833	0.00997238577547166	0.010775101147074917	0.010876723471062166	0.010779605018879868	0.011034240355898839	0.010692166678988091	0.010695251266818362	0.011071875611672999	0.011164729321912481	0.011168925711269928	0.011168217438100703	0.011198256626486325	0.011196461753622877	0.011179609488062736	0.011693986454671235	0.011632515407254074	0.011585916253673556	0.011780605716543269	0.011592494709982026	0.011564405087738594	0.0004899783181502304	0.000580560490807569	0.0005750897464187332	0.0005560351363799176	0.0005089605183307144	0.0006710356504723292	0.0008775429531753254	0.0010113148747533662	0.0009890537990251413	0.000965641718600807	0.0008731495144599366	0.0010106692733671263	0.0007965921492466554	0.0009580068436615408	0.0010348942102524905	0.0009628010003940313	0.001092447025206611	0.0011163307391411914	0.0018137585296836845	0.0016533377269108973	0.0015605427835388985	0.0019966371296353813	0.0015778892447706472	0.00151318470911177
rotifer_0.001_1x_MiSeqv3L250R	0	0	0	0	0.0	0	0.00012437343892879316	0	0	0	0	0	0	0	0	0	0	0	0.0007504276223389006	0.0005170106054644963	0.00044653878207279174	0.0009529461270686435	0.00037717445540164096	0.00035871434656109535	0.010400964956232439	0.010116916186165725	0.010503734702219325	0.010098887987247673	0.010324711098463335	0.010396732652437013	0.010734355767315185	0.010917533267484347	0.010862506508312442	0.010890719743113286	0.010589276880946907	0.010799604938383944	0.010947679033457947	0.011050153087406644	0.010838533927602367	0.011282334943329864	0.011030281392149344	0.0109242021654824	0.01161090684933852	0.011362502274408048	0.011320212373081784	0.011590023892234513	0.011437166490438133	0.011301771456012744	0.0006463216173611119	0.0004759533367615365	0.00042260244732705843	0.0004765314470395188	0.000805758388125577	0.0007307592579357536	0.0009377130673651202	0.0009068076279292736	0.000897364559256153	0.000937786418191866	0.0009457907645572527	0.000916975662129782	0.0007386764771897258	0.0007061925847077211	0.0008865456680375861	0.0009475238615922477	0.0008820862272451713	0.0009150547162031231	0.001700123989836988	0.0014658963046918494	0.0013879324777366087	0.001959438050038509	0.0014470385054474733	0.0013300235023345763
rotifer_0.001_1x_novaseq_profR	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002955076943027546	2.8077830679040794e-05	0	0.0005100044627239786	1.8760831303032965e-05	0	0.01049516672342754	0.00992848201018337	0.010160473696171013	0.010171723045030667	0.010247600955141656	0.010322091298530456	0.01040813402403784	0.01055415329304743	0.010481459957473516	0.01072956946287762	0.010634599535732758	0.01058273936521914	0.010684982960772582	0.010640772814860089	0.010548992066784613	0.01073702252055242	0.010644922840965965	0.010627417178294296	0.01114893161505326	0.011025001548042979	0.010920884622831584	0.011333883354893937	0.011042499187956745	0.01091652598416959	0.0004535524997163476	0.0001809290618642878	0.0004305484354751865	0.0006800709416268091	0.00024097595968830543	0.0002614743862517921	0.0004723411186720039	0.0004732175556626528	0.0005384582213877609	0.0008230620540625733	0.00037271253222537215	0.0005122494213637419	0.00047910231047831875	0.0003896153323997842	0.000413711082619006	0.0005948019637599389	0.0004525708904185022	0.0004545873086139185	0.0012999736713887877	0.0009765511359529633	0.0008628247884104878	0.0014745453945272935	0.0009288582123245792	0.0008229770369908573
rotifer_0.001_2x_20	0	0	0	0.00016935216077085258	0.00012437343892879316	0	0.0	0	0	0.00011773036093187805	1.1516576711168014e-06	0	0	0	0	0	0	0	0.0004327645114446943	0.00032432844388174953	0.00028052876688444695	0.0005406422376894593	0.0002416618925260572	0.00025623660068618825	0.01073276780561827	0.010359807624377382	0.01043325157535313	0.010088637296728376	0.01023921057243593	0.010686251549973602	0.010797556782915607	0.010868046150897648	0.010746083535524531	0.010688217648391118	0.010774503023723847	0.010692716061530882	0.010767539729621856	0.01087579107570269	0.010854852114557056	0.010881034298301562	0.010823568422876018	0.010941418917555068	0.011263491228986067	0.011229511002526782	0.011146510658288977	0.011356926517780308	0.011179562760558981	0.011153600018589782	0.0010844627987566247	0.0006666822810437179	0.0007851775209979373	0.0011977037059635043	0.000980620315335634	0.0008005654336210588	0.0008382512440034962	0.00081871735076533	0.0009198860865281544	0.0010506573821680298	0.0009291845209481453	0.001023101620385658	0.0005919018129767473	0.0008016407229782807	0.0008583776431573265	0.0006578509913365282	0.0008110695402213652	0.0009887636392269528	0.0014555435343119871	0.0013406557552154696	0.0012698179099922546	0.0015436258939710568	0.0012207111880205845	0.001283676633770603
rotifer_0.001_2x_23	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.00016643443556829673	0	0	0.00035363965720114354	0	0	0.010534832781265546	0.010130431049301558	0.010469494353922859	0.01035921445350041	0.010352519618555323	0.010286582765662966	0.010716822162581408	0.010741641903568744	0.010661723974818349	0.010842889095558306	0.010611887304194823	0.01070391923884928	0.0107267749815525	0.010828232962567297	0.010699735492379125	0.010911156471089423	0.01082371735924359	0.010780355322442925	0.011180999320982266	0.011074866161701058	0.011030288507521302	0.011315105544655424	0.011075052795730955	0.011000197173387072	0.0007088840657695217	0.0005852863750056558	0.0005603845707505828	0.0011249732868627849	0.000755473418226349	0.0005797774756683971	0.0006821914063224188	0.0006044815820893668	0.0006450137902500597	0.0008040077519394506	0.0007729222204081454	0.0006389061447347189	0.0006704601893290363	0.0005578875815783757	0.0006023210021858239	0.0007543008706836218	0.0005803258461589689	0.0007109057020234788	0.001190371267898227	0.0010666109836796611	0.0009420697056757854	0.0013192715377895459	0.0009690866996646674	0.000944047832864503
rotifer_0.001_2x_25	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0001664526321597526	5.033486010885824e-06	0	0.00032664270050397626	0	0	0.01062177351118121	0.010216581692646276	0.010443924204393329	0.010415929172537863	0.010129971686186012	0.010511115615146616	0.010814072006013031	0.010767144936299489	0.01069273953589922	0.010937173201239658	0.010709461263810338	0.010668374735353758	0.010871467219641606	0.01084691757066425	0.010724294937958678	0.010927450590406895	0.010945619100363069	0.010792732877604294	0.011188230350499873	0.011039120785842571	0.010997281552829752	0.011243756878916433	0.011097154454876357	0.01097688362441307	0.0006885419770186196	0.000472145217893849	0.0004247328625921476	0.0011076122963697976	0.0008344183181068221	0.0005509707599139491	0.0007974991068836479	0.0005460095903881967	0.0005785845761681063	0.0008570335871104229	0.0007772748400911578	0.0006232824977190354	0.000671516474637035	0.0005605378560034069	0.0005917206405253728	0.0008344677627859509	0.0007238029096793275	0.0005798540251615858	0.0011838684143560263	0.0009790887850964491	0.0008717220746644605	0.0012933063312198234	0.0008977932021509982	0.0008441864446344649
rotifer_0.001_2x_HiSeq2500L150R	0.00013149740154994038	0	0	0	0	0	0.00011773036093187805	0	0	0.0	0	0	0	0	0	0	0	0	0.0004955102860006999	0.0004542422990834183	0.0004320884704986927	0.0004440341166508377	0.00028955153379517373	0.0003836812863772243	0.01088021944687978	0.010231231377237027	0.010719752070572297	0.010024274083826668	0.010217633267114778	0.010799181797352064	0.010834621444945847	0.010924437870249104	0.010749786684789542	0.010861299445127037	0.010690352116052737	0.010894051907581526	0.010907613947991335	0.010986171238479003	0.010994962105710604	0.010950324963555635	0.011051618791464213	0.011079965618949972	0.011366520101511957	0.011376481993088827	0.011343036130058382	0.01147934485110802	0.011367176503612852	0.011278437649542061	0.0008728122322778642	0.0007683578131278956	0.0006545954502229501	0.0008570856039609165	0.0009620834840119441	0.000881249102921422	0.0008903289751255317	0.0008489508981190941	0.001020951674721715	0.0009486814682170275	0.0008216148585776795	0.0010586705933255391	0.0007865698832764112	0.000841681491871249	0.0010236773751948203	0.0006851724036459617	0.0008112755235921698	0.0011195921610253068	0.0015284290693704516	0.0014824578406705813	0.0014044283244686318	0.0015304768212882625	0.0012860283871897193	0.0013905251044864508
