sample	rotifer_0.001_1x_20	rotifer_0.001_1x_23	rotifer_0.001_1x_25	rotifer_0.001_1x_HiSeq2500L150R	rotifer_0.001_1x_MiSeqv3L250R	rotifer_0.001_1x_novaseq_profR	rotifer_0.001_2x_20	rotifer_0.001_2x_23	rotifer_0.001_2x_25	rotifer_0.001_2x_HiSeq2500L150R	rotifer_0.001_2x_MiSeqv3L250R	rotifer_0.001_2x_novaseq_profR	rotifer_0.001_4x_20	rotifer_0.001_4x_23	rotifer_0.001_4x_25	rotifer_0.001_4x_HiSeq2500L150R	rotifer_0.001_4x_MiSeqv3L250R	rotifer_0.001_4x_novaseq_profR	rotifer_0.001_8x_20	rotifer_0.001_8x_23	rotifer_0.001_8x_25	rotifer_0.001_8x_HiSeq2500L150R	rotifer_0.001_8x_MiSeqv3L250R	rotifer_0.001_8x_novaseq_profR	rotifer_0.01_1x_20	rotifer_0.01_1x_23	rotifer_0.01_1x_25	rotifer_0.01_1x_HiSeq2500L150R	rotifer_0.01_1x_MiSeqv3L250R	rotifer_0.01_1x_novaseq_profR	rotifer_0.01_2x_20	rotifer_0.01_2x_23	rotifer_0.01_2x_25	rotifer_0.01_2x_HiSeq2500L150R	rotifer_0.01_2x_MiSeqv3L250R	rotifer_0.01_2x_novaseq_profR	rotifer_0.01_4x_20	rotifer_0.01_4x_23	rotifer_0.01_4x_25	rotifer_0.01_4x_HiSeq2500L150R	rotifer_0.01_4x_MiSeqv3L250R	rotifer_0.01_4x_novaseq_profR	rotifer_0.01_8x_20	rotifer_0.01_8x_23	rotifer_0.01_8x_25	rotifer_0.01_8x_HiSeq2500L150R	rotifer_0.01_8x_MiSeqv3L250R	rotifer_0.01_8x_novaseq_profR	rotifer_0.0_1x_20	rotifer_0.0_1x_23	rotifer_0.0_1x_25	rotifer_0.0_1x_HiSeq2500L150R	rotifer_0.0_1x_MiSeqv3L250R	rotifer_0.0_1x_novaseq_profR	rotifer_0.0_2x_20	rotifer_0.0_2x_23	rotifer_0.0_2x_25	rotifer_0.0_2x_HiSeq2500L150R	rotifer_0.0_2x_MiSeqv3L250R	rotifer_0.0_2x_novaseq_profR	rotifer_0.0_4x_20	rotifer_0.0_4x_23	rotifer_0.0_4x_25	rotifer_0.0_4x_HiSeq2500L150R	rotifer_0.0_4x_MiSeqv3L250R	rotifer_0.0_4x_novaseq_profR	rotifer_0.0_8x_20	rotifer_0.0_8x_23	rotifer_0.0_8x_25	rotifer_0.0_8x_HiSeq2500L150R	rotifer_0.0_8x_MiSeqv3L250R	rotifer_0.0_8x_novaseq_profR
rotifer_0.001_1x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038669944147304953	0.0	0.0	0.0	0.0	0.0004972050641510557	0.00046855115803523555	0.0	0.011001592896484636	0.011066187605015607	0.011549966039925409	0.011104595935182801	0.010770134288994433	0.01125982826514431	0.011078728569085509	0.01124471470500005	0.01102195936557836	0.01088574831264307	0.011100866134425109	0.010956130048437008	0.011167812997370845	0.011024849336337626	0.011033175057502833	0.011574457303232553	0.0113090107138075	0.0110647656842021	0.011699120661439839	0.011363824918354385	0.011170747890430512	0.011484028523439762	0.011937670533889371	0.01106591932752478	0.0011203129596688694	0.0009220406044927125	0.0011399691942164476	0.0014008328172244605	0.0014559506396436795	0.0010371826478889617	0.0012353304882021664	0.0011685574285780454	0.0011947482557031412	0.00130920476431146	0.001250788722657472	0.0012805000012081587	0.0012473917095626133	0.0012900799443008697	0.0011888598825367986	0.0012452785333697805	0.0014899728204425772	0.0012041963275532504	0.0016974234406940804	0.0013231316654668383	0.0011737570894504452	0.00152369815311967	0.0018326478050035985	0.001225474977202071
rotifer_0.001_1x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01074430620533414	0.010542968932508962	0.010753368751791554	0.010444075785569752	0.010653321001565784	0.011120781526314053	0.011067532154872306	0.010905095295232727	0.010926395711568579	0.011019588284779832	0.010981441200392425	0.010908703367463999	0.01105563839562738	0.01067044698302639	0.010859846415747682	0.01131099223665139	0.0110388393071621	0.01091215690529132	0.011058677900138826	0.011105433591065956	0.010874256760235837	0.010840006377341184	0.011138625759356006	0.010837663537272689	0.0007542416034244346	0.0005735580056793708	0.0005930068723109206	0.0013664162914705752	0.0005939731678473189	0.0005214573069100674	0.0008566405988779126	0.0009449817390347039	0.0008588269315983069	0.0010278469608574236	0.0009424283696035061	0.0009738431408318683	0.0010767842129233264	0.0009650265020908476	0.0010193350121463249	0.0008948222618510846	0.001257875100306123	0.000926126592777944	0.001166293232942923	0.0010680749883538038	0.000895295235895099	0.001043363802073326	0.0011880005462486672	0.0009638380213868637
rotifer_0.001_1x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037654291794453256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046237623894892425	0.0	0.0	0.010404709624081606	0.010603999376550077	0.01100975569766602	0.010952731168146067	0.01059563545493232	0.011271787304951717	0.011223369186538584	0.011067632973609444	0.011086275946849654	0.011243214916992567	0.01136850005143056	0.011010223826380915	0.011205594032714417	0.010995228177684615	0.011196309668628274	0.011561491306505006	0.011269607532852702	0.01115770274159892	0.01130863529573929	0.011322068506152463	0.011097775763214222	0.011075180587867179	0.011486735849672811	0.011126661029465598	0.0008971833180943901	0.0007766331421690379	0.0006081667745228935	0.0011832075037937276	0.0010744533965493567	0.0008991592340377582	0.0012077585942527752	0.0011579605095801146	0.0011210938752929918	0.0012813977917439316	0.0012599843261610912	0.0011308250687561846	0.0013038575969222424	0.0013164196104310448	0.0013638861783678167	0.0013126214823135267	0.0014709191380561214	0.001156872563794268	0.001556488722418181	0.0014218914571456388	0.0013046970859594486	0.0013715479425299116	0.001478205886704568	0.0013029265717906262
rotifer_0.001_1x_HiSeq2500L150R	0.0	0.0	0.0	0.0	0.0	0.0	0.00047442614241804444	0.0	0.0	0.0	0.00047186279454549984	0.0	0.0005140864622265782	0.0	0.0	0.0	0.0005451677800023045	0.0	0.0	0.0	0.0	0.0	0.0004998064129004591	0.0	0.01109314300885039	0.011230598158693823	0.011216918644167592	0.010737118758228073	0.01097596496586436	0.011430244066221725	0.01141167822448081	0.011200902210883382	0.011139048036388268	0.011259537097718236	0.011262134400978306	0.01122903666616188	0.01124877549235755	0.011106739913411217	0.011231578529841016	0.011425860350334029	0.011462026636520383	0.011214666637366474	0.011248683663574332	0.011247918332550842	0.011209294529926306	0.01103855138961082	0.011669229780321687	0.011205415386810443	0.0012221499754731383	0.0010015354156305274	0.0008024556505575604	0.0012784554490238844	0.0015009575128950908	0.0008079188787459904	0.0011044956603310481	0.0012006517104001882	0.0012412544232971747	0.0015527361327273169	0.0013278053569634638	0.0011258265775168812	0.0012800363945542968	0.0012152741488915555	0.001457161571234699	0.0014056072138735084	0.0015178307620819825	0.0013082778999212372	0.0015368848704802615	0.001409737203972388	0.0012529325486417176	0.0014134283924570144	0.0018464823069785359	0.001396182136980835
rotifer_0.001_1x_MiSeqv3L250R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041477067063292817	0.0	0.0	0.0004671778214062915	0.0	0.0	0.0006525167131219874	0.0	0.0	0.01092223652238649	0.01104574469620412	0.011236440231440428	0.01065696319789455	0.011171101687821264	0.011212231106105131	0.01109510226387941	0.011018730773726301	0.011057153518568227	0.011142245080667157	0.011345420651730111	0.011016441170500846	0.011093980193449036	0.010956835019664114	0.011036587781455411	0.011512453912635	0.011095885870803119	0.01093912104246136	0.011501685081037256	0.011276836452253573	0.011001564287566452	0.011423451498364677	0.011635943371166418	0.011039640145780091	0.0010684176786790358	0.0009927163136474496	0.000975521291057641	0.001051783090061684	0.0011198201239827762	0.0009388322687401714	0.0011349682545572844	0.0011926258268489898	0.0012023822804836978	0.0012835414823367279	0.0010094510288596586	0.0011117986392188107	0.0012984703644253104	0.0012579968518327204	0.0012650525236774942	0.0015125248572545136	0.0014542580147840455	0.0011108733196610878	0.0016449433531446483	0.00136352712748111	0.001262477813049117	0.0016168063268748325	0.0017754648154967416	0.001284190529560996
rotifer_0.001_1x_novaseq_profR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010640324845090315	0.0109530326568159	0.010995502251600842	0.010849992340583321	0.010893928948812848	0.01104157051859736	0.011068574985862714	0.011170177754657427	0.010926812156578172	0.010971195840274887	0.011000431013285432	0.010904642913347065	0.010905041003103142	0.010783532960585384	0.011051402253272159	0.01097188026387184	0.010866875629643582	0.010991866478473254	0.010854288515767146	0.010875661342364564	0.010907187288718622	0.01052587254045625	0.011029204814173568	0.010933680974173902	0.0010238512710942873	0.0009738702972328159	0.000927587904424086	0.001201176564920166	0.001084955058704202	0.0009444876594862095	0.0010152169204190147	0.0010655614932469002	0.001061904992569721	0.0012460563038899854	0.0012085473253054296	0.0011000976842035358	0.001238159258132683	0.0012021060662307148	0.0011925315868711833	0.0011860360183523746	0.0013983816353759235	0.0010763543765202894	0.0013664869231435387	0.0012593647207042786	0.0011313584706973952	0.001080265859572483	0.0012449067885887287	0.0011617127437725404
rotifer_0.001_2x_20	0.0	0.0	0.0	0.00045673554217122095	0.0	0.0	0.0	0.0003543480977153464	0.0	0.00040905169139227125	0.00046461549653114366	0.0	0.0	0.0	0.0	0.0005370691577972368	0.0006309073716819254	0.0	0.0	0.00042540805858891763	0.0	0.0006473686550126237	0.0007053649296125051	0.0	0.01101681727534562	0.010942416327075353	0.011389910956108647	0.01095047348740639	0.011228461678719902	0.011143210856210934	0.011298960689170951	0.011120812744540992	0.01104938335054028	0.011349519523030097	0.011208972149321183	0.010998729686749673	0.011333315994225409	0.011126747527004245	0.011144534676112101	0.011506465888156497	0.011567271634316397	0.011135465078916388	0.011409700295728771	0.011396452154452686	0.011258784713260295	0.011294256457757286	0.011683879345574813	0.01123573476200975	0.0013385500064504803	0.0012230891498101043	0.0010697139249900276	0.0013221229888795852	0.0015030197261010458	0.0010560090321469855	0.0012901096019993208	0.0013691036481545242	0.0013581149108616848	0.0014970487563726802	0.0015604016878535377	0.0012646390891637139	0.001513591830299079	0.0014740236013944035	0.0013612493088597521	0.001434853690776908	0.001702986596026128	0.001306178352520345	0.0017720954613894009	0.0015681646985949013	0.0014948447472255609	0.0014951953458723908	0.0019544033702101307	0.0014855308693643692
rotifer_0.001_2x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.00034936316157027435	0.0	0.0	0.0	0.0	0.0	0.0004791548339187503	0.0	0.0	0.0004549118614189553	0.00044078711637217014	0.0	0.0	0.0	0.0	0.0006392061388277744	0.00043135935500892365	0.0	0.011054311274207687	0.011060808726421555	0.011448813399511782	0.011003820014448544	0.011178659587640676	0.011275516241298446	0.011326803124470446	0.011322094396652424	0.011154882720390042	0.011288567842775257	0.011279348634656263	0.011208674080679675	0.011412842500982495	0.0111267998868868	0.011186812676475623	0.011569358347703704	0.011443678800577615	0.011227647917737145	0.011474055046990412	0.011466884563170422	0.011297519402179981	0.011266675984214642	0.011597741104652106	0.01122469525082792	0.0012070626752956884	0.0010411249966561288	0.0010494731925369345	0.001254701017680626	0.001213191069644467	0.0010491234226307454	0.0012583097976429872	0.0012700739373111235	0.001325459651990478	0.0015970731669739053	0.0013071604571703915	0.0012980967648034015	0.0013631630483755754	0.0013383822188641782	0.001369529370904261	0.0014143563930366463	0.0016785668746601148	0.0012249447652892228	0.0016119863538691362	0.0015000564148489866	0.0013822463880677543	0.0014950378126813361	0.0017226702555660424	0.001341401577793069
rotifer_0.001_2x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004700219067850642	0.0	0.0	0.0003484572642334636	0.00042791407935650606	0.0	0.0	0.0	0.0	0.0006850573117346127	0.0	0.0	0.010982012067865412	0.010946497022974405	0.011444181507323535	0.011086544507770317	0.011214987688316006	0.011339259311476935	0.011271795287914664	0.011256441854664161	0.011224526220633963	0.01119469490251786	0.0113137380190249	0.011227951581903347	0.011346976777088714	0.011042167573312847	0.011216224041421282	0.011618239677845381	0.01134222031447129	0.011154772891900196	0.011573294553031908	0.011369370987539727	0.011301327097209282	0.01134404210400897	0.011655460777077355	0.011263492360351396	0.001079995856527727	0.0011190682863969177	0.0011685196235289381	0.0013093510154816202	0.001266837272267164	0.0010512049692882545	0.001229551624896142	0.0012285220989570495	0.001184210428382098	0.001340761165156383	0.0012501609220695361	0.0012197491970999804	0.0014455575541221705	0.0011912156322333239	0.001245717540179189	0.00121750198540578	0.0014977479981893819	0.0012138579062610532	0.0016329411021632103	0.0013876509980295091	0.0012997473034784444	0.0014783717741809995	0.0016224202378827704	0.0012574239007673933
rotifer_0.001_2x_HiSeq2500L150R	0.0	0.0	0.0	0.0	0.0	0.0	0.00041520580510408613	0.0	0.0	0.0	0.00038308963025519865	0.0	0.0005328351201136782	0.0	0.0	0.0	0.0005577034214691196	0.0	0.00048617673806830705	0.0	0.0	0.0	0.0007099316340860757	0.0	0.011370396441920706	0.01103897742420742	0.011213256726150932	0.011362944908848184	0.011145119580228721	0.011244431612526471	0.011400180754107416	0.011364293026481367	0.011062222040562595	0.011439132409161815	0.011455107609441868	0.011060723952995542	0.01129753411253364	0.011296979227436806	0.011327171561948731	0.011548068113483769	0.011634236999091623	0.011338841560991153	0.011381338902975746	0.011504163992439788	0.011423718268748204	0.011171389564243977	0.011762142174233126	0.011456337755651625	0.0014163078553239411	0.0012740369623367043	0.001022784822494378	0.0013133998799207762	0.0015087990293849833	0.0013024922376361117	0.001424959062810843	0.0013283155865750666	0.0013447376777237078	0.0015755971264134506	0.0014982880920896239	0.0013100465350070086	0.0015527983942920274	0.0013832287812397027	0.0014467958040573928	0.0013408100820658574	0.0017554886569824534	0.001348214125302661	0.0015127121141945375	0.0015079447950469495	0.001469275013240572	0.0012375870657276792	0.0019199852737685195	0.0015208541802549558
