"","species","sim_coverage","error_prof","dist_from_ref","coverage","error_rate","genome_length","read_length","version","variation"
"1","club-moss","1x","20.dat","0.0","1.00576139849388","0.0090243066959298","208216465","150","gen-0.0","err6"
"2","club-moss","1x","20.dat","0.001","1.0056938379058","0.00914958501275964","208216466","150","gen-0.0","err6"
"3","club-moss","1x","20.dat","0.01","1.00555871672964","0.0101835453409552","208216466","150","gen-0.0","err6"
"4","club-moss","1x","23.dat","0.0","1.0058478469883","0.00460958340450135","208216466","150","gen-0.0","err6"
"5","club-moss","1x","23.dat","0.001","1.0058456676145","0.00474814833391102","208216466","150","gen-0.0","err6"
"6","club-moss","1x","23.dat","0.01","1.00553111132806","0.00559793953709031","208216466","150","gen-0.0","err6"
"7","club-moss","1x","25.dat","0.0","1.00572652851294","0.00292629721674376","208216466","150","gen-0.0","err6"
"8","club-moss","1x","25.dat","0.001","1.00566695896216","0.00304638108453203","208216466","150","gen-0.0","err6"
"9","club-moss","1x","25.dat","0.01","1.00589288738036","0.00386291391837545","208216466","150","gen-0.0","err6"
"10","club-moss","1x","HiSeq2500L150R.dat","0.0","1.00581660929704","0.0140933620068839","208216466","150","gen-0.0","err6"
"11","club-moss","1x","HiSeq2500L150R.dat","0.001","1.00572725497087","0.0142206359979499","208216465","150","gen-0.0","err6"
"12","club-moss","1x","HiSeq2500L150R.dat","0.01","1.00577955994229","0.0154576444548659","208216466","150","gen-0.0","err6"
"13","club-moss","1x","MiSeqv3L250R.dat","0.0","1.00570110248516","0.010009476211407","208216465","150","gen-0.0","err6"
"14","club-moss","1x","MiSeqv3L250R.dat","0.001","1.00590959591289","0.0101170075326701","208216466","150","gen-0.0","err6"
"15","club-moss","1x","MiSeqv3L250R.dat","0.01","1.00581733575498","0.0110796337581351","208216466","150","gen-0.0","err6"
"16","club-moss","1x","novaseq-profR.dat","0.0","1.00559358671059","0.00230181010515673","208216466","150","gen-0.0","err6"
"17","club-moss","1x","novaseq-profR.dat","0.001","1.00587109364227","0.00239301961380467","208216466","150","gen-0.0","err6"
"18","club-moss","1x","novaseq-profR.dat","0.01","1.00574105767166","0.00321540289581923","208216466","150","gen-0.0","err6"
"19","club-moss","2x","20.dat","0.0","2.01120533486958","0.00908905449147557","208216465","150","gen-0.0","err6"
"20","club-moss","2x","20.dat","0.001","2.01151698532427","0.00920038332865447","208216466","150","gen-0.0","err6"
"21","club-moss","2x","20.dat","0.01","2.01120460841164","0.0102799606366145","208216466","150","gen-0.0","err6"
"22","club-moss","2x","23.dat","0.0","2.01119225862673","0.00467973532021759","208216466","150","gen-0.0","err6"
"23","club-moss","2x","23.dat","0.001","2.01144942473619","0.00478009170715554","208216466","150","gen-0.0","err6"
"24","club-moss","2x","23.dat","0.01","2.01134554125129","0.00591638529290217","208216466","150","gen-0.0","err6"
"25","club-moss","2x","25.dat","0.0","2.01138113769017","0.00295970014633895","208216466","150","gen-0.0","err6"
"26","club-moss","2x","25.dat","0.001","2.01148647409094","0.00312510070133931","208216466","150","gen-0.0","err6"
"27","club-moss","2x","25.dat","0.01","2.01144869827825","0.00428497358965796","208216465","150","gen-0.0","err6"
"28","club-moss","2x","HiSeq2500L150R.dat","0.0","2.01140147851239","0.0141133962037839","208216466","150","gen-0.0","err6"
"29","club-moss","2x","HiSeq2500L150R.dat","0.001","2.01147775659571","0.014269138871962","208216466","150","gen-0.0","err6"
"30","club-moss","2x","HiSeq2500L150R.dat","0.01","2.01129396273781","0.0153741070127602","208216466","150","gen-0.0","err6"
"31","club-moss","2x","MiSeqv3L250R.dat","0.0","2.0118714967972","0.0100421278884099","208216466","150","gen-0.0","err6"
"32","club-moss","2x","MiSeqv3L250R.dat","0.001","2.01143634849334","0.0101316020447747","208216466","150","gen-0.0","err6"
"33","club-moss","2x","MiSeqv3L250R.dat","0.01","2.01132883271876","0.0111140137249383","208216466","150","gen-0.0","err6"
"34","club-moss","2x","novaseq-profR.dat","0.0","2.01114358594499","0.00231694036084118","208216465","150","gen-0.0","err6"
"35","club-moss","2x","novaseq-profR.dat","0.001","2.01138912872747","0.00248263705464002","208216466","150","gen-0.0","err6"
"36","club-moss","2x","novaseq-profR.dat","0.01","2.01148138888539","0.00370040809188044","208216466","150","gen-0.0","err6"
"37","club-moss","4x","20.dat","0.0","4.02258719901769","0.00923983411346541","208216466","150","gen-0.0","err6"
"38","club-moss","4x","20.dat","0.001","4.02308336978821","0.00946737765835659","208216466","150","gen-0.0","err6"
"39","club-moss","4x","20.dat","0.01","4.02238597016933","0.0112056286754266","208216466","150","gen-0.0","err6"
"40","club-moss","4x","23.dat","0.0","4.02296641006046","0.00473303788088353","208216466","150","gen-0.0","err6"
"41","club-moss","4x","23.dat","0.001","4.02222614942333","0.00498971188016073","208216465","150","gen-0.0","err6"
"42","club-moss","4x","23.dat","0.01","4.02273466997877","0.00684262477849906","208216466","150","gen-0.0","err6"
"43","club-moss","4x","25.dat","0.0","4.02309281374138","0.00300196965937349","208216466","150","gen-0.0","err6"
"44","club-moss","4x","25.dat","0.001","4.02272304665179","0.00327704995729106","208216465","150","gen-0.0","err6"
"45","club-moss","4x","25.dat","0.01","4.02252399717723","0.00522093366860066","208216466","150","gen-0.0","err6"
"46","club-moss","4x","HiSeq2500L150R.dat","0.0","4.02242810472963","0.0144479731265481","208216466","150","gen-0.0","err6"
"47","club-moss","4x","HiSeq2500L150R.dat","0.001","4.0228153068097","0.0146543526377301","208216466","150","gen-0.0","err6"
"48","club-moss","4x","HiSeq2500L150R.dat","0.01","4.02311751331122","0.0163614486911867","208216466","150","gen-0.0","err6"
"49","club-moss","4x","MiSeqv3L250R.dat","0.0","4.02316473307708","0.0101078813870201","208216466","150","gen-0.0","err6"
