sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.008_4x_1.hist	63344905	6532239	1344395	558755	284206	176324	181207	161869	125227	63865	46086	52076	72401	50170	25960	19298	30610	40862	22672	12342	8005	3301	15679	30486	9572	5317	1199	385	1538	21536	6542	1943	776	88	13259	3392	974	530	105	2798	9916	4063	2155	807	133	43	18	5	0	15802	102036029
moss_0.02_4x_1.hist	75961753	5054553	1017403	418343	205408	128532	132678	118519	46665	51761	60377	43775	16805	23278	28881	22764	13122	5466	6881	16938	13417	4191	1815	3529	7540	13697	3091	994	330	164	8255	5967	2386	274	86	4	7517	4099	818	44	13	847	5079	1903	316	104	45	14	3	10711	102411625
moss_0.006_4x_1.hist	61133870	6658810	1416299	586433	294674	184208	201921	180372	123548	63008	62302	70400	58957	32590	24324	35198	55830	38410	6109	8338	15749	25783	24714	7230	2136	6835	16267	11845	3947	1972	1560	3120	16737	1929	613	8949	2572	1401	279	14	8488	6966	3696	1385	229	75	32	9	2	16248	101603510
moss_0.002_4x_1.hist	55252920	7543430	1579523	662162	346094	212686	198968	177735	183977	93827	53246	60167	82909	45831	23715	30988	49153	53163	8456	11096	20959	34312	32685	9563	1273	4075	9697	25860	8619	4308	2498	4996	16787	1935	614	37	9	21978	4394	243	80	31	5118	8784	1463	486	217	71	22	19237	101600807
moss_0.004_1x_1.hist	60048406	7335544	1690435	625590	359688	228485	268562	239902	196184	100052	48442	23889	20213	33374	41408	59919	95044	39600	6299	3428	2470	4043	19206	37345	29608	16447	3713	1194	397	197	57	16	12097	36292	14509	905	259	140	27	0	0	0	0	0	0	0	0	0	0	42930	103615540
moss_0.0_4x_1.hist	51973069	8126470	1674672	707761	379149	231170	204311	182507	203050	103554	56223	63531	88327	58392	30215	24107	38239	51047	40493	22045	14298	5276	25064	48735	4081	13058	2947	948	22398	22251	6591	1957	782	89	6267	17469	5021	2737	546	29	8026	9057	4806	1801	299	98	43	13	3	23756	102027220
moss_0.002_2x_1.hist	52671464	11663010	1881308	806018	449175	280653	315729	155121	71252	81512	95080	107440	110953	61334	31737	10097	14100	18822	39624	74124	48079	15023	6509	1903	1777	5688	13536	36097	22959	11478	3400	1009	402	45	13	2235	30874	16839	3366	186	61	24	11	3	0	0	0	0	0	38952	112459384
moss_0.01_4x_1.hist	65959015	6049890	1252412	519917	263468	163115	163390	145954	112527	57388	53291	60218	62138	34349	18639	26971	42782	21039	8151	20065	22585	7056	4407	8568	18308	10801	2438	784	1283	17963	5321	1580	631	71	12458	4238	1217	663	131	569	9254	3791	2011	753	124	40	17	4	0	14601	101860223
moss_0.008_2x_1.hist	62369286	8191219	1416589	602335	328491	202632	160975	79088	80540	92137	107474	94182	36158	19987	16945	24519	38892	51919	32501	17694	11476	3585	1803	3506	7492	23973	25555	8228	2741	6812	2017	598	238	26	7	1500	21950	11971	2393	131	42	16	7	1	0	0	0	0	0	26458	105793379
moss_0.01_1x_1.hist	63989893	8390748	1308342	561004	313361	196050	284588	139821	55053	29488	34396	38867	54036	89221	82753	26329	15177	6322	1533	3773	7126	11666	55415	20240	1189	659	148	46	14	6	6701	13402	32531	3751	1192	73	20	9	0	0	0	0	0	0	0	0	0	0	0	36771	104842608
moss_0.0_2x_1.hist	50650672	10862628	1925285	821889	453372	281612	237921	116893	112880	129134	150631	118523	45503	25153	26260	37999	60274	80464	12800	6967	11630	19040	68225	19962	1173	3753	8932	23818	26964	13481	3993	1185	473	53	16	504	34015	18552	3709	205	67	26	13	3	0	0	0	0	0	39354	109995948
moss_0.0_1x_1.hist	53073738	7003510	1611899	616974	351438	222196	343262	275835	108609	55389	38775	43814	60915	100579	91797	29207	16836	7014	4816	11854	22391	36657	81417	23822	1400	776	174	55	17	7	1	0	36141	35362	11250	702	200	108	20	0	0	0	0	0	0	0	0	0	0	46418	98185310
moss_0.006_1x_1.hist	58417002	10480002	1578222	678926	382693	240622	387260	213573	84093	42886	32725	36978	51411	84886	105321	33510	19316	8047	3485	8579	16204	26527	74101	21682	1274	707	158	50	15	6	1	0	15408	40599	12917	806	230	124	23	0	0	0	0	0	0	0	0	0	0	41461	108919809
moss_0.001_2x_1.hist	51194523	11632979	1928767	825574	458841	286257	264402	129903	100552	115031	134180	113794	43687	32410	40211	58188	56207	23418	8475	20862	39406	53403	23140	6770	1914	6124	14576	38868	15934	7966	2359	700	279	31	8	9636	30137	16437	3286	181	59	23	11	3	0	0	0	0	0	39781	111693971
moss_0.006_2x_1.hist	59513849	8965934	1516656	646623	355361	220240	186670	91712	77296	88426	103146	116554	45650	25234	14785	21394	33934	45300	51513	28045	18190	5683	2461	1667	3561	11396	27123	25440	8479	4238	1254	371	147	16	4	0	20901	18517	3702	204	67	26	13	3	0	0	0	0	0	27729	107048790
moss_0.01_8x_1.hist	66394542	5413723	1227168	484244	247631	155862	144326	128923	108030	55094	64265	68740	26390	40715	50516	16072	22027	29405	18328	9977	15926	16924	7332	5419	11579	12162	2745	883	9895	8791	2604	772	3341	10024	3188	198	56	4675	9416	522	173	69	3102	6032	1004	333	148	48	15	10508	100241144
