sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
oyster_0.001_8x_1.hist	64301475	5835992	1299256	500488	251765	157719	135122	120702	84259	58760	68168	39559	23792	39284	22870	10489	16637	22209	11267	6133	11584	12249	5306	2586	5526	11073	2499	803	3671	10110	2994	888	354	1023	10776	672	192	103	3625	3211	1069	437	231	5313	884	293	130	42	13	5762
oyster_0.001_2x_1.hist	63344503	7368653	1328729	555653	288214	171773	86381	77162	116554	117609	56942	28081	17828	29436	36521	28729	16560	6899	5774	14212	26845	8388	3633	1062	792	2536	6035	16094	6553	3275	969	287	113	12	2	0	15194	8375	1674	92	29	11	4	0	0	0	0	0	0	14358
oyster_0.004_2x_1.hist	67014103	6326444	1179862	488143	244652	148074	101506	90673	136963	73925	35792	17650	22466	37095	46024	14643	8440	3515	3835	9439	17829	18714	8108	2371	138	75	16	4	3206	18366	5440	1615	645	73	22	0	0	0	13195	1724	573	234	123	45	6	1	0	0	0	11683
oyster_0.0_1x_1.hist	57295565	14898985	1904178	810810	450416	280929	341715	167889	66105	38312	44689	50498	70207	81877	42368	13479	7769	3236	5987	14737	27836	45570	19746	5777	338	187	41	12	3	0	0	0	11276	30946	9845	614	175	94	17	0	0	0	0	0	0	0	0	0	0	28420
oyster_0.008_8x_1.hist	71888480	4925611	1078017	413835	209699	130727	104408	93266	76620	39075	43135	38757	15770	26038	19067	8350	13244	17680	3092	6199	11709	3909	4258	2780	5940	6937	1565	503	6597	3971	1175	348	1256	3767	4017	250	70	37	6386	353	116	451	1358	508	2568	855	382	126	41	3064
oyster_0.02_4x_1.hist	80936053	3675208	732058	289857	138501	87283	97693	60670	26120	29880	34854	21834	8381	8921	11068	12472	7189	2994	5080	7055	4575	1428	1871	3638	5502	3056	689	220	251	3525	3347	993	396	44	13	0	1941	2572	513	27	8	399	1363	510	84	27	11	2	0	3186
oyster_0.006_8x_1.hist	69881736	5236918	1140550	440830	220214	138054	117928	88791	88019	44889	47150	41288	15850	25529	24284	8567	13588	18139	8526	4640	8765	7847	3399	3671	7845	4786	1079	2878	5956	5102	1510	447	1868	5605	1782	110	30	1656	5664	313	103	41	20	5078	845	280	124	40	12	4354
oyster_0.004_4x_1.hist	67498251	5813265	1178634	479664	227222	143685	166661	119547	50314	57558	67139	33110	28227	36678	18979	7303	11583	15462	19451	10589	6867	2145	2129	4139	8845	13270	2995	963	320	159	3546	7092	7555	870	276	16	3	2227	6994	387	128	51	129	5281	879	292	129	42	13	6104
oyster_0.008_1x_1.hist	71539980	5449453	1031809	425373	210695	128224	85429	76312	115269	88310	42756	21085	8094	8772	10882	15747	24977	33343	13008	7081	4592	1434	620	288	616	1971	4690	6097	2031	1014	299	88	21099	3435	1092	67	18	9	0	0	0	0	0	0	0	0	0	0	0	13849
oyster_0.002_2x_1.hist	64719684	7029683	1300418	539629	273109	163945	98730	88193	133217	97682	47294	23323	16781	27707	34376	35698	20578	8573	1489	3666	6924	11334	26966	7889	463	256	56	17	11190	9974	2954	876	349	39	11	0	4594	14192	2837	156	51	19	9	2	0	0	0	0	0	14572
