sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.004_8x_1.hist	histogram	genome-skim	8.36	99160529	0.59	5.71	0.0048	150
moss_0.006_8x_1.hist	histogram	genome-skim	8.33	99565088	0.62	5.54	0.0046	150
moss_0.01_1x_1.hist	histogram	genome-skim	0.94	110539996	0.60	4.90	0.0047	150
moss_0.001_8x_1.hist	histogram	genome-skim	8.40	98715474	0.55	6.62	0.0051	150
moss_0.02_1x_1.hist	histogram	genome-skim	1.00	103400055	0.75	3.65	0.0042	150
moss_0.001_1x_1.hist	histogram	genome-skim	0.99	104972073	0.52	6.23	0.0054	150
moss_0.02_8x_1.hist	histogram	genome-skim	8.19	101299117	0.75	3.40	0.0039	150
moss_0.008_8x_1.hist	histogram	genome-skim	8.30	99944151	0.64	5.05	0.0045	150
moss_0.02_4x_1.hist	histogram	genome-skim	4.05	102376950	0.74	3.51	0.0039	150
moss_0.001_4x_1.hist	histogram	genome-skim	4.07	101875753	0.53	6.60	0.0051	150
moss_0.0_4x_1.hist	histogram	genome-skim	4.08	101708345	0.51	6.64	0.0052	150
moss_0.01_8x_1.hist	histogram	genome-skim	8.27	100245544	0.66	4.83	0.0044	150
moss_0.004_4x_1.hist	histogram	genome-skim	4.08	101614555	0.57	6.06	0.0048	150
moss_0.002_2x_1.hist	histogram	genome-skim	1.83	113570099	0.46	6.47	0.0048	150
moss_0.004_2x_1.hist	histogram	genome-skim	1.91	108607540	0.52	5.81	0.0047	150
moss_0.02_2x_1.hist	histogram	genome-skim	2.00	103789261	0.73	3.30	0.0039	150
moss_0.001_2x_1.hist	histogram	genome-skim	1.85	112285180	0.46	6.48	0.0049	150
moss_0.01_2x_1.hist	histogram	genome-skim	1.98	104753176	0.62	4.63	0.0043	150
moss_0.002_8x_1.hist	histogram	genome-skim	8.38	98950006	0.57	6.39	0.0050	150
moss_0.002_1x_1.hist	histogram	genome-skim	0.98	106296450	0.52	6.45	0.0052	150
moss_0.008_2x_1.hist	histogram	genome-skim	1.97	105213150	0.59	4.85	0.0044	150
moss_0.0_8x_1.hist	histogram	genome-skim	8.42	98495328	0.54	6.77	0.0052	150
moss_0.0_2x_1.hist	histogram	genome-skim	1.89	109830022	0.46	6.71	0.0050	150
moss_0.0_1x_1.hist	histogram	genome-skim	1.01	102743672	0.51	6.52	0.0055	150
moss_0.004_1x_1.hist	histogram	genome-skim	0.99	104445769	0.59	5.82	0.0051	150
moss_0.008_1x_1.hist	histogram	genome-skim	0.93	111915334	0.57	5.18	0.0049	150
moss_0.008_4x_1.hist	histogram	genome-skim	4.08	101662131	0.62	5.20	0.0045	150
moss_0.006_2x_1.hist	histogram	genome-skim	1.94	106614872	0.56	5.45	0.0046	150
moss_0.002_4x_1.hist	histogram	genome-skim	4.07	101819651	0.54	6.15	0.0050	150
moss_0.006_4x_1.hist	histogram	genome-skim	4.08	101690801	0.60	5.46	0.0046	150
moss_0.006_1x_1.hist	histogram	genome-skim	0.94	110083703	0.55	5.60	0.0050	150
moss_0.01_4x_1.hist	histogram	genome-skim	4.06	102168592	0.64	4.71	0.0044	150
