sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.004_8x_1.hist	58839454	6079201	1388362	553902	283554	178711	184677	164968	119576	75775	88389	59492	34359	56732	38713	27760	44032	20267	33355	18159	11777	16995	28422	8315	2718	8698	20700	6665	2220	6864	10979	3261	1835	5504	11830	738	211	717	15182	842	279	113	458	11312	1884	627	280	92	29	12020
moss_0.006_8x_1.hist	61555435	5799949	1323032	525150	269348	169615	163402	143276	129375	65980	76568	60357	37145	51994	40932	23811	37769	36374	7063	17385	32838	10260	5464	10623	19069	10593	2390	768	15481	7908	2342	694	12103	5853	1861	115	2796	9948	1988	109	4420	1810	960	7119	2961	986	441	146	47	9744
moss_0.01_1x_1.hist	64489210	9987433	1479650	633814	353016	220500	289813	142388	56064	31938	37254	42096	58526	96635	83645	26613	15340	6391	1933	4758	8987	14712	69885	20448	1201	666	149	47	14	6	0	0	35148	15868	5047	314	89	47	8	0	0	0	0	0	0	0	0	0	0	38766
moss_0.001_8x_1.hist	54668965	6513021	1495257	599619	307993	194072	198337	177171	146436	79281	92478	83157	31925	50253	53614	22044	34966	46678	28244	15376	23004	31681	13727	4484	9581	30658	9371	3016	1222	17112	12092	3592	1435	164	18669	1417	406	220	13275	2116	704	5467	2901	1303	6610	2202	986	327	108	12870
moss_0.02_1x_1.hist	75955331	5736098	1007235	424643	225800	136968	85668	42089	62629	71646	83573	49225	18898	10445	10123	14648	23234	31016	4933	4915	9283	15197	16572	4848	284	156	34	10	2	0	209	417	32348	3730	1186	73	20	9	0	0	0	0	0	0	0	0	0	0	0	24956
moss_0.001_1x_1.hist	52536158	9649189	1702304	728888	405524	253146	294572	144726	56985	64692	75460	85269	118549	108761	56279	17906	10321	4299	5764	14187	26797	43870	89694	26244	1542	856	192	60	19	8	1	0	38947	33392	10623	662	189	102	19	0	0	0	0	0	0	0	0	0	0	52353
moss_0.02_8x_1.hist	76330988	4598051	1023185	399525	202482	127260	106450	95090	70703	48199	56222	36353	24692	34067	17627	12384	19643	13809	7106	12882	8355	2610	11605	4919	2155	6896	6476	2084	693	5987	5287	1570	627	867	7666	478	136	73	6326	1543	513	209	110	6513	1091	362	161	52	16	7333
moss_0.008_8x_1.hist	64093293	5604508	1272978	505758	257063	162004	174674	120381	123143	62802	62854	71024	28861	47654	43814	20335	32255	28031	20680	15978	10363	16965	15363	4494	4674	14956	11959	3850	1282	1740	15932	4732	1892	217	6421	6847	1967	1072	213	7208	4393	1799	954	356	4797	1598	715	237	78	9287
moss_0.02_4x_1.hist	75867500	5081788	1015431	418152	206346	128445	122025	109002	77312	39428	45991	51969	26249	22164	27499	18544	10689	8576	18055	11097	7197	2248	5347	10396	7916	4397	991	318	5864	7942	2352	697	907	2722	8743	545	155	83	15	1353	7086	2903	1539	576	95	30	12	3	0	11176
moss_0.001_4x_1.hist	53522529	7940208	1662386	695388	361043	222820	215599	192591	182559	93104	56321	63642	88481	53918	27900	27550	43700	40541	10733	26420	49905	23798	10311	3016	6012	19238	31696	10206	3401	1699	1321	2641	30428	3509	1115	68	18	14924	2983	164	53	5569	10512	3941	655	217	96	31	9	20376
moss_0.0_4x_1.hist	52055898	8023271	1655064	698462	372529	227838	206186	184183	197420	100683	56844	64233	89302	49365	25544	34799	55197	43670	8843	21767	41115	29316	12702	9719	20768	16344	3689	1187	30884	15441	4574	1358	542	61	12494	17304	4974	2712	541	29	2045	11832	6279	2353	391	129	57	18	5	21810
moss_0.01_8x_1.hist	66336092	5414048	1226967	484685	248078	156082	140708	125692	114217	58249	59870	67652	30456	40685	46705	16029	25425	33940	9563	12996	24547	7670	5472	10640	14040	7799	1760	565	14374	7186	2128	631	3183	9549	6014	374	106	57	9354	3393	1130	462	244	6257	1968	655	292	96	31	9141
moss_0.004_4x_1.hist	58244156	7169844	1512731	629132	320699	199193	205869	183900	148225	75594	52310	59110	82180	45428	23506	30245	47974	45268	7200	11302	21348	34949	15143	4430	4990	15967	20561	6620	2205	1101	4648	9295	19503	2248	714	43	11	5	12244	10138	3378	1383	733	4036	671	222	98	31	9	18106
moss_0.002_2x_1.hist	52491494	12074128	1946068	833136	463326	289154	291414	143175	84625	96811	112926	127605	75132	41532	21490	18902	29982	40025	74952	40806	26468	8270	3582	2622	5603	17928	42669	26681	8892	4445	1316	390	155	16	4	28592	18405	10038	2006	110	35	13	6	1	0	0	0	0	0	41928
moss_0.004_2x_1.hist	56516569	9797474	1643617	702174	388155	241400	213154	104725	82188	94022	109674	123930	57058	31541	16320	20238	32101	42854	57554	31334	20323	6350	2750	4227	9031	28900	38362	12352	4116	2057	608	179	70	7	1	17232	20627	11250	2249	123	40	15	7	1	0	0	0	0	0	33449
moss_0.02_2x_1.hist	75358157	5707413	1001492	421503	222988	134767	67068	53272	80467	92054	67890	33480	12853	15212	18874	27310	34707	14460	2299	2482	4688	7674	22534	6592	386	213	47	14	16019	8008	2372	703	280	31	8	0	0	3135	15748	873	290	117	61	22	2	0	0	0	0	15469
moss_0.001_2x_1.hist	51460827	11655896	1929583	826701	460701	287861	312706	153636	79868	91368	106577	120431	108196	59809	30948	10466	16600	22160	46652	69385	45005	14063	6093	1781	3605	11536	27455	43217	14404	7201	2132	632	252	28	7	125	33967	18526	3704	204	67	26	13	3	0	0	0	0	0	40742
moss_0.01_2x_1.hist	65185418	7346826	1311731	556087	300630	184417	136302	66966	81201	92893	108356	76423	29340	16218	19499	28216	44755	59746	9504	5173	3354	2225	10572	20556	15420	8565	1933	1267	20364	10181	3015	895	357	40	11	0	1708	24016	4802	265	87	34	17	5	0	0	0	0	0	22231
moss_0.002_8x_1.hist	56229012	6331592	1451325	582350	297833	187856	237835	119656	159370	81278	94644	46675	51338	61553	31851	29191	46303	43763	8374	20612	38933	18135	7857	9385	20055	13891	5029	13410	10156	5077	2689	5378	17198	1983	629	38	9325	5876	6793	376	124	50	9909	7191	1197	398	177	58	18	14050
moss_0.002_1x_1.hist	53663084	9996068	1664181	715688	403042	253297	436440	214428	84430	43058	36040	40725	56619	93486	115991	52173	30075	12530	1992	2687	5075	8308	39462	76731	23368	12981	2930	942	313	155	45	12	11156	33468	21879	1366	391	212	41	1	0	0	0	0	0	0	0	0	0	50789
