sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
nematode_0.002_8x_1.hist	154048553	10666846	1759017	686471	356271	222872	151716	135525	80482	92071	68492	36953	51375	37895	19608	13258	21030	25473	4459	10977	20733	14464	6266	5916	12640	16227	3663	1178	3165	20245	5997	1781	711	81	14617	912	261	141	8884	5543	1846	755	400	6017	5910	1969	881	292	96	13987	204858943
nematode_0.0_4x_1.hist	150102569	10707865	1978342	735630	411481	257647	165923	81519	123135	96319	58983	66650	46900	25925	20180	29201	33194	13830	3150	7753	14643	23972	13173	3853	6475	20719	4677	1505	577	8090	19515	5797	2318	266	608	13604	3910	2131	425	22	6	9949	8542	3202	532	176	78	25	7	20004	203070912
nematode_0.004_4x_1.hist	158505347	9485830	1711645	649018	354841	219224	128289	114598	130463	66535	41356	46732	53667	29666	15350	10335	16392	21882	19419	10571	6856	3256	15468	30076	1768	981	1817	4845	17608	8803	2607	773	308	34	10263	9410	2704	1474	293	15	2980	10800	5732	2148	357	118	51	16	4	17084	204465384
nematode_0.01_2x_1.hist	169747549	7621228	1408661	541056	276034	174593	173400	112834	44427	48518	56594	63951	24551	13571	7202	10421	16530	22066	23765	12937	8391	2621	5649	10984	14476	8041	1814	583	1001	14021	7851	2331	931	106	32	1	0	14895	15987	887	294	119	62	22	2	0	0	0	0	20788	206758162
nematode_0.01_8x_1.hist	169109715	7866439	1386822	536417	281854	175029	154657	90109	73679	73555	35612	27898	38786	23851	12341	16377	25976	11150	9970	10520	19871	7894	3419	6648	12839	7131	1609	517	11190	5594	2318	4635	2357	270	13799	861	246	133	5612	6821	2272	930	492	183	7430	2588	1159	385	127	7503	206698464
nematode_0.004_2x_1.hist	159427422	9715742	1831929	675317	381059	239734	210057	103203	56707	64872	75670	85507	32952	18215	9424	12217	19377	25868	29638	16135	10465	3269	4538	8823	1265	4047	9632	25686	12043	6020	1782	528	210	23	6	0	0	15809	19764	1097	364	148	77	28	3	0	0	0	0	28217	206173565
nematode_0.0_1x_1.hist	151400113	10450527	2143618	773257	433378	274358	233117	178390	70240	44644	52075	58844	81810	60747	31434	10000	5764	2400	2796	6882	12998	21279	56522	16538	971	538	120	37	11	4	0	0	31326	25407	8083	504	143	77	14	0	0	0	0	0	0	0	0	0	0	47299	202738033
nematode_0.008_4x_1.hist	165900651	8907298	1442916	579774	286102	181048	179910	88391	75968	86133	41702	28430	39526	28276	14631	13072	20734	27678	5500	4810	9086	14874	21830	6386	756	2420	5760	15361	5119	2558	757	223	2715	8146	14116	881	252	136	26	481	12660	5187	2752	1031	170	55	24	7	1	17431	207311383
nematode_0.006_2x_1.hist	163080854	8863958	1631436	611412	342124	214261	162057	79620	65653	75106	87608	53718	20623	11399	9996	14464	22943	30627	21749	11840	7679	2398	2292	4456	9521	30467	8348	2687	894	446	131	38	5573	16718	5318	331	94	50	3005	12040	4012	1643	871	325	53	16	6	1	0	27235	205748335
nematode_0.001_4x_1.hist	152338272	10592550	1903670	715180	396136	246653	133279	84001	126884	108772	52664	41615	57856	31982	16548	20059	31817	17377	3867	9519	17981	22906	9925	2903	2687	8597	20461	9060	3019	1508	4228	8455	16577	1911	607	36	9	3944	15710	871	289	117	61	9104	3197	1064	476	157	51	19189	204083829
nematode_0.008_8x_1.hist	165781118	8540751	1474897	574290	296484	185511	140821	125793	65693	63707	60000	29589	27427	31403	16249	15685	24880	12132	7268	17891	16235	5072	6802	13225	8719	4843	3230	8613	8148	4073	1205	357	11331	5225	1661	102	579	12614	2521	139	45	1021	9265	3473	577	191	84	179	7768	4660	206250407
nematode_0.001_2x_1.hist	152983492	10179639	1955249	718938	406577	256092	247650	121673	54798	62688	73123	82628	48115	26597	13762	13408	21267	28390	18865	10270	6660	2814	13365	25987	14563	8090	1825	586	194	96	28546	8481	3391	390	123	6	0	0	18914	7604	2533	1037	549	205	33	10	3	0	0	31044	203233468
nematode_0.001_8x_1.hist	151635915	11057312	1815370	707783	368715	230025	161843	144571	80328	91894	62247	66274	40288	25704	31891	23833	13738	18339	16383	8918	14356	19198	8318	3160	6753	21610	7073	2276	6961	3479	16270	4833	1932	221	8619	5250	1508	821	3056	7859	2618	1072	568	9013	3391	1129	505	167	54	15182	204529605
nematode_0.004_1x_1.hist	157897738	8660389	1427772	596896	309326	185866	79721	71213	107568	123056	88084	43440	16676	14752	18303	26484	24138	10056	1598	3109	5872	9612	45657	30531	1794	996	223	71	22	10	2	0	8485	25455	16442	1026	294	159	30	0	0	0	0	0	0	0	0	0	0	43999	200521651
nematode_0.006_8x_1.hist	162267213	9165574	1588916	613480	324832	201102	159342	131739	67683	77428	65222	32165	28931	34510	17857	12137	19251	25698	7505	9621	18172	5677	9317	7976	14657	8142	1837	590	14783	7742	2293	680	2064	6193	9999	623	178	480	13575	753	250	101	1716	11148	1857	618	276	91	29	13032	205811620
nematode_0.008_2x_1.hist	166331963	8541160	1612067	594788	336138	211642	213997	105139	41397	47357	55240	62420	39348	21750	11254	8781	13928	18593	26229	14279	9261	2893	3188	6199	13245	20718	4677	1505	500	249	442	883	22899	2640	839	51	13	6	19724	3533	1176	481	254	94	14	3	0	0	0	23928	206899578
nematode_0.001_1x_1.hist	152148629	9448750	1673917	684632	330070	204435	117899	105317	159082	127663	61810	30482	11702	19321	23971	34687	46457	19356	3078	1675	2016	3300	15677	30483	20831	11572	2612	840	279	138	40	10	10627	31880	10142	632	180	97	18	0	0	0	0	0	0	0	0	0	0	46837	199221244
nematode_0.01_4x_1.hist	169021755	8135740	1360352	540755	269321	170333	172675	84837	65994	75497	55352	27297	15398	25424	31544	17697	10201	12121	18188	9901	6421	9970	21140	6185	545	1744	4149	11065	9030	4514	1336	396	420	1259	21697	1355	388	210	41	1	1130	10689	5673	2126	353	116	51	16	4	13773	207317557
nematode_0.002_2x_1.hist	155299129	10056817	1940766	713244	401368	252142	204501	100473	63942	73148	85324	82307	31599	17467	11088	16044	25448	33972	18773	10219	6628	2070	5336	10374	22168	21696	4898	1576	524	261	580	1159	31962	3686	1171	72	19	9	3815	11973	3990	1634	866	323	52	16	6	1	0	30669	204617163
nematode_0.02_4x_1.hist	181936159	5548184	941565	379870	185560	117442	122426	72791	38257	43766	41243	20339	16768	27686	19612	6239	9287	12397	15137	8240	11056	3454	2022	3931	8399	13694	3091	994	330	164	5526	11051	6074	699	221	12	2	0	11111	750	249	101	52	2910	484	160	70	22	2774	7947	208692795
nematode_0.02_8x_1.hist	181782015	5194451	970343	373445	196823	121914	108097	71054	49652	43566	36017	17847	24813	23889	12361	10485	16631	15161	3921	9651	7352	9865	4274	4047	8648	6966	1572	2335	8621	4309	1276	378	6185	5427	1725	106	949	3748	4336	239	78	31	2847	4000	665	220	98	31	9	7637	207785800
nematode_0.006_1x_1.hist	163955915	9656387	1823283	663743	376645	238639	196935	175918	94117	47998	23273	26298	36561	60367	47982	15266	8799	3665	1090	2682	5066	8294	39395	35149	2066	1147	258	82	26	12	2	0	5500	16500	24671	1540	442	240	47	1	0	0	0	0	0	0	0	0	0	44104	208373408
nematode_0.002_4x_1.hist	154664171	10142629	1860408	694410	387215	242027	135574	81969	123815	85075	60849	68758	26397	19887	24674	35704	20581	8574	5505	13550	25594	15934	6903	2019	3843	12297	20976	6754	2250	1124	332	97	27010	3114	990	60	16	8	10831	3947	1314	537	284	11211	1867	621	277	91	29	18051	204061563
nematode_0.02_1x_1.hist	182616499	4742461	994199	365575	205849	129357	128223	62996	24804	28374	33097	37399	42440	23459	12138	3861	2224	2969	6250	15383	29057	14039	6082	1778	103	56	11	2	0	0	9526	19052	11944	1376	437	26	6	2	0	0	0	0	0	0	0	0	0	0	0	25128	206312339
nematode_0.008_1x_1.hist	169711145	7388336	1671724	594198	325005	206859	150667	134588	140367	71586	34659	17092	8748	14444	17920	25931	41131	38293	6091	3315	2149	670	2632	5118	10935	34993	7900	2543	846	422	124	35	354	1061	34191	2135	613	333	65	2	0	0	0	0	0	0	0	0	0	37995	206836132
nematode_0.01_1x_1.hist	172327927	6917939	1544856	551066	303357	193051	142699	127470	122246	62344	30184	14885	17362	28667	35567	28680	16532	6887	2319	5709	10782	17652	31438	9198	540	299	66	20	5	1	0	0	24847	20906	6650	414	118	63	11	0	0	0	0	0	0	0	0	0	0	35420	206909477
nematode_0.002_1x_1.hist	153463702	9074984	1503486	631473	331992	199728	102239	50230	57467	65741	76684	86652	70353	38890	20123	6401	3689	1536	1528	3760	7101	11626	55222	34337	2018	1120	252	80	25	11	2	0	738	2215	46707	2918	837	456	90	4	0	0	0	0	0	0	0	0	0	43497	198524448
nematode_0.006_4x_1.hist	162552320	9404914	1569767	617571	313198	197646	193274	94957	67244	76926	81971	40425	15519	17889	22194	32116	18822	7841	16507	14915	9674	3022	10297	20021	10603	5889	1328	426	4096	19354	5733	1702	680	77	23	3142	13901	7581	1515	83	26	9	4	13062	4292	1429	639	212	69	10890	206583575
nematode_0.004_8x_1.hist	158194342	9921227	1679090	651435	340195	211785	183668	95034	111441	65112	62335	55382	25216	35914	18583	21590	19629	8177	12448	23075	14967	4676	9559	18586	1353	4331	10306	10672	3556	1777	12125	4649	1858	213	7385	6724	1932	1052	209	9335	3110	1273	1181	8058	1342	446	199	65	7979	7418	205191276
nematode_0.0_2x_1.hist	151037944	10469325	2055514	749027	425569	268710	255750	134442	59053	67556	78801	89044	49136	27161	14054	13536	21470	28662	18520	10082	16422	5131	4557	8861	18934	21186	4783	1539	512	255	27708	8231	3291	378	119	6	0	2865	24068	1336	444	181	95	34	4	0	0	0	0	34615	203311477
nematode_0.0_8x_1.hist	149251235	11467023	1859541	726449	375739	235191	196030	107889	121319	67716	78988	49368	47025	48110	24894	14202	22526	23575	4647	11438	21604	15373	6661	5692	12162	18276	4126	1327	1565	21920	6493	1928	1954	5862	13186	823	235	127	4992	7037	2344	959	508	8733	4247	1414	633	210	69	15419	204256754
nematode_0.02_2x_1.hist	182193888	5076010	1017109	377747	211361	132359	109722	53907	37439	42829	49958	24637	9571	15803	19606	28371	16354	6813	1082	2395	4524	7405	27015	7904	463	256	56	17	1298	18173	5383	1598	638	72	22	0	0	15060	3186	176	57	22	11	3	0	0	0	0	0	16441	207846577
