sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
club-moss_0.006_8x_1.hist	114557286	20318119	2837847	1085271	541815	338688	181676	162288	104400	77111	81468	40177	55857	38132	21942	31750	33554	13979	14602	24955	16186	5057	20223	5916	11763	13295	3001	1487	14770	7384	2186	648	3898	11694	3719	231	65	3502	9012	499	165	66	6210	4992	831	276	122	39	3005	9542	197186248
club-moss_0.0_2x_1.hist	100853373	14762299	2896850	1024154	554267	351958	216967	193813	141399	72112	34914	33476	46542	76847	39765	12651	7821	10440	21978	41942	27205	8500	3682	2088	4460	14273	19151	6166	2054	1026	6291	12581	5031	579	183	10	2	0	21404	4161	1386	567	300	111	17	4	1	0	0	21036	171699108
club-moss_0.001_1x_1.hist	106138003	9360878	2131671	749232	400286	255224	164146	146629	182508	93078	45065	22224	12593	20793	25797	37329	59212	24670	3923	2135	2889	4730	22467	43685	3650	2027	456	146	47	22	5	0	6086	18258	21178	1322	379	205	40	1	0	0	0	0	0	0	0	0	0	29969	161564150
club-moss_0.002_2x_1.hist	107827116	14553418	2864402	1013470	549364	348216	228475	204093	108061	55110	37321	42171	58630	73661	38116	12127	6989	7616	16034	39468	31709	9908	4292	1376	2940	9410	9627	3099	21133	10565	3129	928	370	41	12	0	0	19861	10309	571	189	76	39	13	1	0	0	0	0	23581	177581615
club-moss_0.008_1x_1.hist	128400509	9613009	2212648	771947	399091	254997	138695	123893	187142	95441	46209	22788	10474	17294	21457	31048	49248	37615	5983	3256	2111	1319	6267	12185	26037	14464	3265	1050	349	173	50	13	4	0	31626	1975	567	308	60	2	0	0	0	0	0	0	0	0	0	30572	180786005
club-moss_0.0_4x_1.hist	89335413	29633863	4171357	1534437	836527	515910	186358	127973	193304	125883	60948	45406	63128	71516	37006	16619	26361	35190	34394	18725	12145	3794	14594	28376	20999	11665	2633	2298	17690	8844	2619	777	11089	14348	4564	284	80	43	7	17167	5721	2343	1243	465	76	24	9	2	0	23045	199273863
club-moss_0.001_8x_1.hist	93434730	27270216	3626729	1386728	699544	435105	283953	139509	151128	78653	91746	67087	36397	60097	31141	35549	21264	28386	25478	13870	19404	25933	11236	9722	13607	7558	7050	18799	6265	3131	4238	8476	11411	1315	417	5145	8851	4826	964	599	6658	2728	1447	2635	4677	1558	697	231	76	12383	193009705
club-moss_0.02_2x_1.hist	154878124	10099002	2003492	716081	395556	247665	211913	104115	40994	34090	39764	44933	50240	27771	14370	5093	8078	10783	22700	18187	11796	3685	1595	466	715	2289	5447	14526	8837	4417	1308	387	154	16	4	0	0	16212	4963	274	90	36	18	5	0	0	0	0	0	16844	201763823
club-moss_0.004_1x_1.hist	115627805	9366260	2137963	750077	399010	254205	163978	146479	166028	84673	40996	20217	15233	25151	31205	45155	51505	21459	3413	1857	1424	2330	11068	21520	23729	13182	2975	957	318	158	45	12	4	0	34084	2129	611	332	65	2	0	0	0	0	0	0	0	0	0	30539	169482449
club-moss_0.006_4x_1.hist	116675161	17933544	2822577	1029798	568162	352951	167646	82366	124414	115196	55774	29968	41664	60198	31149	12551	19908	26576	25117	13673	8868	6046	28721	8403	1648	5275	12554	12535	4177	2087	617	182	19087	2200	699	42	11	10214	2799	154	50	2225	7222	2707	450	149	65	20	5	15007	193419065
club-moss_0.004_2x_1.hist	113832115	14724950	2815360	998385	543671	344271	233548	208624	106215	54169	30274	34209	47560	78529	40635	12928	7451	7744	16303	40129	27903	8718	3777	1126	2406	7700	18327	11459	3818	1908	4993	9986	3993	459	145	8	1	1027	22985	1275	424	172	90	33	4	0	0	0	0	22526	183557309
club-moss_0.01_4x_1.hist	129797270	14870170	2520431	913033	503710	312899	152518	74933	113187	103729	50222	24767	30674	50648	35794	11388	15642	20881	26617	14490	9398	2936	8821	17152	6563	12689	2864	921	647	9064	10293	3057	1221	139	43	8689	6138	3347	668	36	11	1768	7120	2669	443	146	64	20	5	12482	196434506
club-moss_0.004_8x_1.hist	106466918	22938015	3123393	1194311	597985	373928	184522	164830	131397	69321	80860	62702	32249	53248	34456	20060	31818	19847	26385	14364	12756	20882	16327	4776	8376	18907	4268	1373	14355	7176	2125	4132	9430	1086	344	10881	3127	1704	339	6746	2429	994	527	7445	2528	841	376	124	40	11400	196057259
club-moss_0.01_1x_1.hist	133523892	9717362	2229406	776199	404656	258405	138962	124132	187502	95625	46298	22832	8765	12990	16116	23321	36991	49381	13142	7154	4639	1448	1762	3426	7320	23424	5288	1702	566	282	82	23	5906	17718	14351	895	256	138	26	0	0	0	0	0	0	0	0	0	0	29346	184815678
club-moss_0.002_1x_1.hist	109153262	9259525	2123423	744012	394542	251870	153073	136737	186060	94889	45942	22656	13224	21834	27090	39200	62178	25906	4120	2242	1453	1764	8378	16289	25700	14276	3222	1036	344	171	49	13	1605	4816	33043	2064	592	322	63	2	0	0	0	0	0	0	0	0	0	30423	163743595
club-moss_0.004_4x_1.hist	106672821	23820468	3197291	1236867	602224	379702	292117	143520	83211	95192	106981	52760	23958	39557	49079	35373	20390	14336	30181	16798	10895	7868	37373	10935	1730	5536	13176	12662	4219	2108	1814	3628	18173	2095	665	40	8123	4429	884	48	4157	7848	4164	1560	259	85	37	11	2	16151	200101308
club-moss_0.002_4x_1.hist	97220453	27763598	3643607	1418785	679496	429359	304066	167902	89018	101836	118788	58582	26281	43393	53839	37547	21644	10840	22820	34949	22668	7083	5785	11248	24036	19847	4480	1441	898	12574	16189	4809	1922	220	6080	8923	2564	1397	278	7401	7902	3237	1717	643	106	34	14	3	0	22027	201780238
club-moss_0.01_8x_1.hist	128166361	16912592	2459430	940933	468424	292498	154622	138121	111370	56797	64569	56371	25739	42498	27595	21521	19378	25869	16392	8923	11979	19610	12290	3595	3804	12173	9927	3195	1064	11141	3592	1066	1948	5843	7376	460	131	70	10129	1607	534	218	114	8022	1950	649	289	95	30	9469	199440599
club-moss_0.0_1x_1.hist	102382354	9327888	2112035	743916	399385	254377	170806	152578	163273	83268	40315	19881	20136	33246	41249	57625	33218	13839	2200	1197	2226	3643	17307	33653	17856	9919	2238	719	238	118	34	9	2	0	34564	3551	1020	555	110	5	0	0	0	0	0	0	0	0	0	31447	157862234
