sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
nematode_0.02_2x_1.hist	182304431	5021358	1025712	377211	212322	133399	129070	63413	30526	34921	40733	38106	14629	9258	11485	16619	26361	20824	3311	1802	1598	2615	12422	20810	1223	678	152	48	1340	18764	5558	1650	659	75	22	0	0	4924	12404	688	228	92	48	17	1	0	0	0	0	14405
nematode_0.004_1x_1.hist	161271161	10187968	2152737	762977	415009	265266	145092	129608	188992	96385	46666	23013	23545	38876	48234	22607	13031	5428	1416	3484	6581	10774	51176	23764	1396	775	174	55	17	7	1	0	4232	12695	38816	2425	696	378	74	3	0	0	0	0	0	0	0	0	0	41289
nematode_0.006_2x_1.hist	163077542	9078354	1682573	628836	349136	217685	112592	85827	129642	78981	38239	34202	47550	26285	13600	12044	19104	25503	25123	13677	8870	2771	1219	2369	5061	16197	25778	8300	2765	1381	408	120	47	4	0	21231	6103	3327	664	35	4365	5235	2778	1040	172	56	24	7	1	24010
nematode_0.002_1x_1.hist	156659697	10401140	2083796	750845	420146	267053	195857	174956	157653	80402	38927	19197	16175	26706	33135	47947	50014	20838	3314	1803	1384	2265	10759	20920	18299	10165	2294	737	244	121	34	9	50474	7905	2514	156	43	22	3	0	0	0	0	0	0	0	0	0	0	50170
nematode_0.004_2x_1.hist	159343864	9636046	1811801	670112	377189	236988	205374	100902	59091	67600	78852	74909	28758	15896	10970	15873	25177	33610	9733	5298	3435	3810	18098	35190	6913	3840	866	277	91	44	20863	10883	4352	501	158	8	1	0	22689	4454	1483	607	321	119	18	5	1	0	0	28517
nematode_0.01_8x_1.hist	169092226	7836807	1378050	534915	278137	173418	129681	115842	69491	70207	33991	37693	31739	17544	19257	27226	15694	7232	15225	17193	11151	3483	6705	13038	7535	4185	2822	7525	7445	3721	1101	865	13417	1546	491	29	6313	8779	1754	96	31	3873	6629	2484	413	136	60	4108	4933	2959
nematode_0.006_8x_1.hist	162124067	9236382	1582258	614832	319600	199534	173637	96350	95958	75449	46378	52407	29056	19813	24582	22498	12968	11347	23887	13242	8588	3209	15246	14740	1578	5049	12017	7850	2615	1306	4349	8697	8606	991	314	18	8701	7695	1538	84	4046	4007	2125	2427	5590	1862	833	276	91	10891
nematode_0.01_4x_1.hist	169345778	8194520	1341854	541422	265284	167979	165354	95446	67998	77789	40097	23133	32161	32961	17055	11263	17864	23848	8955	6308	11914	19505	8451	2471	1969	6302	14999	6833	2276	1137	336	98	11500	8424	2679	166	46	2786	14181	786	261	106	55	19	6755	3847	1723	573	190	8005
nematode_0.001_8x_1.hist	151748872	11054627	1822492	708206	369230	230357	181725	104598	120772	68210	79564	54368	30343	50100	26586	11370	18034	24075	13472	7333	11484	18800	17823	5214	2247	7190	17112	8957	2984	1491	12914	7734	3092	355	6022	8869	2548	1389	276	1613	9515	3898	2068	774	1155	5976	2678	891	296	11912
nematode_0.008_8x_1.hist	165890345	8462627	1481109	573003	301581	187028	154978	116036	67670	77414	41716	44940	23089	21488	26660	20555	11848	11779	22705	12360	8016	3725	17696	10224	1612	5159	12278	6261	2086	1042	9033	5944	2376	273	4744	7517	2160	1177	9552	529	175	70	6385	5496	915	304	135	959	7691	4613
nematode_0.002_2x_1.hist	155335269	9930687	1882151	704166	373174	236071	222726	147522	58085	62758	73204	82720	37498	20728	10725	12638	20046	26760	31799	17312	11228	3507	1519	1875	4007	12821	30514	9825	3274	1636	483	142	733	2198	23416	1462	419	227	16158	1638	545	222	117	42	6	1	0	0	0	32738
nematode_0.006_1x_1.hist	162059832	8075629	1473296	599818	284539	177046	93922	83899	126729	127803	61878	30516	11714	10329	12814	18542	29411	39262	11172	6081	3943	3285	15604	30341	3730	2071	466	149	48	23	5	0	11307	33921	10792	673	192	104	19	0	0	0	0	0	0	0	0	0	0	39837
nematode_0.0_8x_1.hist	149210303	11442063	1871191	727403	380695	237535	163851	143649	89213	77417	90304	54253	28685	47363	41467	13193	15288	20408	7910	19471	19070	5958	9036	17570	10356	5752	5390	14166	4721	2359	11598	10470	4187	482	152	7430	8293	4522	903	49	15	7753	5111	1915	318	5955	2668	888	295	13098
nematode_0.006_4x_1.hist	162353754	9728917	1529567	622415	303893	192619	183142	138772	59607	68190	78949	38935	16053	26506	32886	23105	13318	5548	11559	23817	15448	4826	4487	8724	18642	10356	2337	751	400	5603	17590	5225	2089	240	6903	4095	1176	640	127	6	14031	5844	3101	1162	192	63	27	8	1	19128
nematode_0.02_1x_1.hist	184738237	5000847	1120337	397505	216681	138471	87689	78330	114411	58348	28250	13931	5347	8663	10747	15551	24666	32754	5209	2835	1838	726	3449	6705	14328	16079	3629	1167	388	193	56	15	5	0	27418	1712	491	267	52	1	0	0	0	0	0	0	0	0	0	22778
nematode_0.0_1x_1.hist	152200995	10594019	2228388	794416	436872	279192	164902	147304	222505	115746	56040	27637	11160	18427	22862	33082	52474	52652	8375	4559	2956	922	463	900	1923	6153	14644	39051	13016	6507	1927	571	227	25	4270	18713	5379	2933	585	31	9	2	0	0	0	0	0	0	0	48775
nematode_0.008_2x_1.hist	166273298	8327789	1553107	578493	325479	204446	185324	91051	50510	57782	67400	64974	24944	13788	8885	12856	20391	27221	20734	11287	7320	2286	6436	12514	14530	8071	1821	585	1492	20891	6188	1837	734	83	25	0	0	5389	23947	1329	442	180	94	34	4	0	0	0	0	24626
nematode_0.002_4x_1.hist	154519766	10293254	1855684	695453	387347	241949	137576	81475	123069	98845	47857	41023	57034	35536	18388	10317	16364	21844	24814	13509	8761	2737	8312	16162	17867	9925	2240	720	3174	20009	5927	1760	703	792	16331	1019	292	158	30	6491	10304	4222	2240	839	138	45	19	5	6409	17957
nematode_0.0_4x_1.hist	150041146	10735886	1984355	737939	412293	257984	161194	79196	119626	113938	55165	38643	53724	43622	22572	15725	24943	32601	5185	4108	7759	12702	30483	8918	764	2446	5822	15524	14565	7281	2156	639	1483	4449	20553	1283	368	199	38	6679	2225	911	10251	4968	827	274	122	39	12	19579
nematode_0.001_1x_1.hist	154501713	10484710	2145232	770055	428402	272758	187927	167872	174920	89208	43191	21300	16267	26858	33323	48220	55780	23240	3696	2011	1303	1421	6752	13129	28055	16051	3623	1165	387	192	56	15	42794	10262	3264	203	57	30	5	0	0	0	0	0	0	0	0	0	0	51651
nematode_0.01_2x_1.hist	169494754	7725447	1442551	540801	301523	188449	123630	60740	69191	79154	68472	33767	12963	15094	18726	27097	15620	9531	20065	17819	11557	3610	1563	2979	6365	20370	12098	3895	1297	647	528	1055	16800	1937	615	37	9	4	19852	3308	1101	450	238	88	13	3	0	0	0	21635
nematode_0.02_4x_1.hist	182265545	5179274	973627	374620	198208	122042	94361	84291	57812	29483	27220	30758	30967	17118	8857	11658	18491	21354	3396	2164	4088	6692	19877	5815	341	570	1357	3617	13411	6704	1985	588	234	26	5455	7906	2272	1238	246	12	3	1929	5089	1907	316	104	45	14	3	10216
nematode_0.0_2x_1.hist	150987443	10509549	2069211	753391	427597	269938	257104	126318	61564	70428	82151	92830	39766	21982	12483	18063	28652	38248	6995	3807	2557	4185	19880	38655	7284	4046	912	292	1153	16144	20669	6140	2455	282	88	4	0	6061	23010	1277	424	173	90	33	4	0	0	0	0	34705
nematode_0.008_4x_1.hist	165814526	8957670	1444152	581153	287575	181936	183277	92793	71316	81585	56956	28088	21892	36146	30068	9566	8752	11683	24596	16783	10885	3400	6765	13153	12326	6847	1545	496	1345	18837	7231	2147	858	97	30	0	5792	17432	3485	192	63	24	12	9669	1610	535	239	78	25	14623
nematode_0.008_1x_1.hist	166987460	6605059	1504188	537335	296549	188636	151426	135266	128689	65630	31775	15670	16239	26812	33266	31830	18348	7644	1448	3565	6733	11023	45946	13443	789	437	97	30	9	3	0	0	8801	26404	16240	1014	290	157	30	0	0	0	0	0	0	0	0	0	0	34566
nematode_0.004_4x_1.hist	158776910	9945624	1709180	654429	356285	219531	173106	103942	88919	101722	65964	32531	21331	35221	41561	13223	7621	9030	19010	25429	16493	5153	4147	8063	17229	9570	2160	694	17447	8722	2583	766	753	2259	10992	686	196	106	17037	4031	1342	549	290	107	16	4	10704	8241	2746	1646
nematode_0.001_2x_1.hist	153171434	10248534	1973320	724692	409907	258212	253194	124397	51841	59305	69177	78169	58228	32187	16655	8186	12983	17332	36487	19864	12884	4025	2373	4613	9856	31541	7121	2292	763	380	1891	3781	29065	3352	1065	65	17	8	0	4006	11944	4894	2596	972	161	52	22	6	1	28074
nematode_0.02_8x_1.hist	181940874	5126685	976801	373794	198369	122798	107286	72233	60031	30615	31417	34962	13421	19146	23754	8096	12841	17142	8374	4558	7458	12209	5289	1876	4007	12824	2894	931	815	11416	3392	1006	426	1277	10639	663	189	102	3890	2859	952	389	205	3442	1500	499	222	73	23	7677
nematode_0.002_8x_1.hist	153951800	10704744	1770296	689926	358431	224175	192260	102742	111587	66245	77272	60402	24168	39904	32805	10437	16410	21907	15443	9212	17400	16553	7172	4715	10075	16348	3690	1187	14792	7395	2190	649	11773	6911	2198	136	38	11186	4410	244	80	31	9538	6757	1125	374	166	54	17	16366
nematode_0.01_1x_1.hist	170879952	6344067	1424939	510853	283613	180223	148909	133018	107843	54999	26628	14601	20299	33516	41584	24850	14324	5967	1278	3145	5940	9724	43983	12869	756	419	93	29	8	3	0	0	4173	12520	30896	1930	553	301	59	2	0	0	0	0	0	0	0	0	0	30966
nematode_0.001_4x_1.hist	152487038	10370254	1928031	717392	401034	251014	150261	86467	130610	91231	44171	46857	65145	39855	20623	10458	16588	22144	22274	12126	7864	2456	10849	21095	18357	10197	2301	740	648	9081	18364	5455	2181	250	78	12422	3570	1946	388	20	7773	8207	4355	1632	271	89	39	12	3	21849
