sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.01_8x_1.hist	90311168	2100163	408144	158954	78878	49480	47560	26210	29211	14896	14206	13047	5430	8965	7822	2709	4296	5735	2300	1251	2363	3868	1753	512	919	2940	1473	473	181	2543	752	222	88	260	1943	120	33	109	1910	105	34	12	5	1071	604	200	88	28	8	1201	99751062
rotifer_0.004_2x_1.hist	87813374	2607416	487075	198927	95426	59089	46909	41902	48255	24609	11914	9299	12927	12327	6378	4678	7420	9905	2548	1386	898	1469	6981	5519	323	178	39	11	3161	2908	860	254	100	10	2	2233	2884	1572	313	16	4	0	0	0	0	0	1500	1835	610	365	99387369
rotifer_0.002_1x_1.hist	88074501	3284517	666345	241893	136762	86332	82394	73600	34274	17478	8461	6927	9630	15900	19727	9751	5620	2340	805	1980	3740	6122	12290	3595	210	115	25	7	1	0	0	0	11423	1316	417	25	6	2	0	0	0	0	0	0	0	0	0	0	0	8038	101100157
rotifer_0.002_8x_1.hist	86518431	2890887	570766	220604	110844	69479	48534	43354	38931	24820	16885	19079	9910	8972	11131	5980	5404	7214	6433	3501	2270	1361	6467	1891	469	1499	3568	1510	502	250	2843	1855	741	84	25	2562	986	537	106	4	665	271	1623	806	133	43	18	5	0	2490	99388816
rotifer_0.008_8x_1.hist	89471748	2253643	447165	172171	86337	54063	40100	35820	28267	15048	17552	10674	8944	9652	4994	4562	7236	4696	2622	3006	1949	2779	1938	566	1186	3796	1223	392	129	1257	2486	737	294	475	2123	131	36	19	452	1398	465	189	99	36	500	565	252	83	26	1185	99601074
rotifer_0.008_1x_1.hist	90345298	2254547	497557	178137	98681	62469	55875	49911	39155	19968	9667	4766	3837	6335	7859	11372	11085	4617	733	398	452	739	3509	6823	676	375	83	25	7	2	0	0	2684	5754	1830	113	31	16	2	0	0	0	0	0	0	0	0	0	0	5080	99636337
rotifer_0.001_1x_1.hist	87032148	3471808	685342	249346	141387	89416	80683	72072	43302	22083	10691	6681	9288	15335	19026	12829	7394	3080	1324	3260	6156	10078	4366	1276	74	40	8	1	0	0	1703	3405	9064	1044	331	19	4	1	0	0	0	0	0	0	0	0	0	0	0	8526	100756470
rotifer_0.004_4x_1.hist	87751096	2732550	514610	203038	101094	63073	49364	44095	36186	18453	15637	17669	12356	6829	6580	9520	9671	4028	1072	2637	4981	4003	1733	749	1600	5120	1155	370	122	60	1608	3216	1796	206	64	3	0	0	1484	2724	907	370	195	72	11	2	0	0	0	2932	99634474
rotifer_0.001_4x_1.hist	86128610	3126020	574003	231013	111139	70188	76594	51472	24739	28300	22551	11120	14916	13235	6847	5035	7986	10660	3680	2002	1298	1712	8135	5653	331	183	40	12	4034	3531	1045	309	122	13	536	3568	1025	558	110	5	0	0	2898	1085	179	58	25	7	1	2159	99643924
rotifer_0.0_2x_1.hist	85482539	3323713	605973	238737	126014	76036	41017	36639	55343	32914	15935	16664	16169	8937	5185	7502	11900	15885	2526	1374	890	374	1778	3457	7386	6124	1381	444	147	72	20	5	993	2979	4311	268	76	40	7	0	0	2212	2002	749	123	40	17	4	0	3304	99747400
rotifer_0.02_2x_1.hist	93991375	1404332	285562	109534	53505	33620	40121	19711	8265	9454	11027	12460	5546	3064	1585	1670	2648	3534	3824	2081	1348	420	181	73	157	501	1193	3181	1059	528	155	45	17	0	0	0	0	1373	1130	61	19	7	2	0	0	0	0	0	0	1695	100090197
rotifer_0.002_2x_1.hist	86560583	3048627	578371	219634	121308	75405	57478	28239	22411	25637	29904	26394	10132	5600	3602	5212	8267	11035	5474	2979	1931	793	3767	7325	1548	859	193	61	19	8	5369	2797	1117	127	39	1	0	0	3459	1573	523	213	112	41	5	0	0	0	0	4404	99658292
rotifer_0.0_4x_1.hist	85546930	3254538	590253	239305	114549	72376	78037	47095	27414	31361	25920	12782	10606	17512	9061	4224	6700	8944	6120	3331	2159	1749	8309	2678	156	363	865	2306	4276	2137	632	186	73	7	5500	342	97	52	9	861	2542	1041	551	205	33	10	3	0	0	3316	99642200
rotifer_0.008_4x_1.hist	89563558	2502383	429201	175404	84328	52663	53466	40100	17278	19765	21133	10421	4821	7960	9875	3891	5552	7411	1178	788	1488	2435	6563	1919	111	158	377	1004	3357	1677	496	146	69	207	2498	155	43	22	3	0	1773	1135	601	224	36	11	3	0	0	2419	100067749
rotifer_0.01_2x_1.hist	90450717	2075682	415372	156529	86235	53525	44095	21663	16606	18996	22158	14209	5454	3014	3209	4642	7363	9829	2420	1316	853	265	431	838	1789	5726	2388	768	255	126	36	9	2	0	4172	259	73	39	6	0	887	715	378	141	22	6	1	0	0	2744	99604257
rotifer_0.004_8x_1.hist	87656347	2609774	522679	200615	103092	63959	48835	43622	32642	19273	22481	12909	7310	12070	11099	3530	5599	7474	4426	2408	2991	2872	4056	1186	749	2396	2482	798	265	2969	878	260	906	1978	628	38	10	2395	970	52	16	5	875	1391	230	75	33	10	2	1752	99397071
rotifer_0.006_2x_1.hist	88792666	2396608	464731	181048	95580	57678	39021	34856	45117	23008	11139	5599	7784	12852	15945	6578	3791	1578	680	1673	3160	5173	7223	2112	123	67	14	3	0	0	6280	1865	745	84	26	0	0	0	2409	1279	425	173	91	33	4	0	0	724	1625	974	99449865
rotifer_0.01_1x_1.hist	90417174	1762548	346783	144806	74762	44342	26009	12777	13980	15993	18654	21078	12415	6862	3550	1128	649	600	1263	3108	5871	7974	3454	1009	58	31	6	0	0	0	0	0	1785	5354	2076	128	36	18	2	0	0	0	0	0	0	0	0	0	0	4255	98135432
rotifer_0.006_8x_1.hist	88694737	2421959	487814	186447	95323	59313	46538	34399	35265	17984	14813	16738	6469	8783	10896	3864	4017	5361	5223	2842	2152	3522	2267	881	1883	2008	2272	730	242	1783	2348	696	277	31	2545	255	72	38	6	1008	1462	598	316	117	18	5	1121	372	123	834	99609691
rotifer_0.006_4x_1.hist	88646484	2568396	471713	189772	90668	57299	61409	50754	19983	15191	17719	19974	7667	5512	6838	9895	7816	3255	860	2117	3998	5043	2184	638	511	1635	2990	962	319	3230	956	283	112	11	2	2290	1921	1047	208	10	2	0	0	1889	313	103	45	14	3	1733	99887630
rotifer_0.002_4x_1.hist	86671421	3009693	559560	222501	108248	68274	76884	38012	27123	31028	22765	11226	8286	13681	12463	3964	4787	6389	7470	4066	2636	822	3907	6866	402	222	96	256	5342	2670	790	233	92	9	3714	385	109	58	10	0	2364	1162	616	230	37	11	4	0	0	2672	99656285
rotifer_0.001_8x_1.hist	85954288	2963590	590016	228076	114984	72055	51945	46401	38655	21372	24928	12293	15434	12078	6249	6560	10405	4334	2346	5774	6447	2013	3942	1152	866	2771	3094	2337	1521	759	224	65	3113	1880	597	36	9	633	3017	166	54	21	932	1315	218	71	31	9	2	2457	99277786
rotifer_0.0_1x_1.hist	86048965	3629112	684825	253800	143619	90491	96414	78550	30928	15772	11409	12892	17922	25628	13261	4218	2430	1011	1164	2864	5409	8854	10899	3188	186	102	22	6	1	0	0	0	3098	9294	2956	183	51	27	4	0	0	0	0	0	0	0	0	0	0	7984	100383334
rotifer_0.006_1x_1.hist	88624122	2156576	411058	171595	88507	52455	25228	12849	19408	22202	25897	28824	11065	6116	3163	1005	1104	1472	3099	7629	9196	2872	1899	3691	216	119	25	7	1	0	0	0	2115	6346	2860	177	50	26	4	0	0	0	0	0	0	0	0	0	0	4905	97973280
rotifer_0.02_4x_1.hist	93735445	1552645	274744	109619	52182	32841	37485	18448	11829	13531	11272	5558	2820	4655	5775	3732	2150	895	1072	2638	3090	964	417	293	626	2004	827	265	87	42	1720	777	310	34	10	0	0	1539	306	16	4	26	12	3	0	0	617	524	173	103	100234978
rotifer_0.0_8x_1.hist	85451762	3108542	612783	237239	119485	74916	53723	47989	41549	21189	24715	19082	7924	13082	10554	8974	5172	3870	8146	5072	3289	1410	6700	1968	539	1725	4105	1417	471	234	2993	2195	877	100	30	2487	714	1485	1053	57	18	6	1873	1375	228	75	32	9	2	2043	99204694
rotifer_0.02_8x_1.hist	93486920	1535613	276410	109068	52946	33132	31579	15514	16702	12073	6473	7314	6368	4079	4709	1749	2773	3661	581	947	1788	2021	874	566	1208	670	1276	467	154	162	1631	483	192	21	5	639	581	316	62	2	0	0	801	299	48	15	5	0	0	791	99998601
rotifer_0.004_1x_1.hist	87204821	2450314	507391	188996	105755	66230	80395	39498	15551	13169	15361	17357	24130	14498	7501	2385	1374	623	1312	3229	6099	9985	5228	1528	88	48	9	2	0	0	0	0	7258	3330	1058	65	17	8	0	0	0	0	0	0	0	0	0	0	0	6498	97672079
rotifer_0.001_2x_1.hist	86048512	2988062	541566	222701	109370	66746	45071	40261	60814	31014	15015	7404	7968	13157	16323	8366	4822	2008	1792	4410	8329	7819	3387	990	57	30	5	0	635	8890	3149	934	372	42	12	0	0	0	291	3625	1207	493	261	96	15	4	0	0	0	3986	99128753
rotifer_0.01_4x_1.hist	90666416	2080632	423342	158723	86396	53228	32679	24020	33819	17246	12366	13973	5363	6430	7978	6228	3589	1494	2969	5176	3356	1048	552	1073	2293	2505	564	180	128	1793	3143	933	372	41	12	0	0	1	3084	170	55	21	10	2	0	0	1314	902	299	178	99938235
rotifer_0.02_1x_1.hist	93632475	1380502	301823	108754	60851	38140	45340	22275	8770	6808	7941	8972	10290	5687	2942	935	538	508	1070	2633	4973	3495	1513	441	24	12	1	0	0	0	0	0	472	1417	2790	173	48	25	4	0	0	0	0	0	0	0	0	0	0	2252	99152081
rotifer_0.008_2x_1.hist	89805049	2220128	442223	170823	85087	53568	63977	31432	14793	16922	19738	22303	8609	4758	2535	3668	5817	7765	4983	2712	1758	548	2604	5063	723	401	89	27	176	2474	3123	927	369	41	12	0	0	0	2866	1515	504	205	108	39	5	0	0	0	0	2769	99684060
