sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
leech_0.008_2x_1.hist	144713352	1599752	318064	118149	65272	40579	27762	13639	17446	18707	9056	4465	2610	4308	5344	7733	4457	1856	294	159	291	475	2258	4390	1457	808	181	57	18	8	339	677	2303	264	83	4	0	0	0	1512	507	206	108	39	5	0	0	0	0	2102	152488665
leech_0.01_4x_1.hist	144612064	1582789	273397	111152	52468	33154	33064	27144	10687	8759	10216	9450	3627	3818	4736	5522	3182	1325	533	1312	2478	2547	1103	321	106	339	806	1848	615	306	89	25	471	1413	448	27	6	2	0	100	1174	480	253	94	14	3	0	0	0	1729	152094649
leech_0.008_4x_1.hist	144168520	1625652	295805	118226	55842	35315	33971	29333	11548	8654	10093	11404	7027	3883	2219	3211	5092	2120	802	1975	3199	998	431	396	845	2704	609	195	64	31	711	1422	1099	125	39	1	0	252	1987	109	35	13	6	1	0	0	665	220	72	1116	151840725
leech_0.02_1x_1.hist	150198104	1524258	291040	103353	56432	35827	21721	19402	20208	10305	4988	2459	1352	2232	2768	4005	4919	2048	324	369	696	1139	2776	811	46	24	4	0	0	0	0	0	2841	1610	511	30	7	3	0	0	0	0	0	0	0	0	0	0	0	2941	156256284
leech_0.006_8x_1.hist	142806617	1707759	334466	125604	66571	40765	32198	27775	13568	15521	9089	6283	8224	4545	3591	5195	2994	3996	905	1287	2430	2389	1034	373	796	2208	497	159	82	1156	1058	313	124	13	1324	81	22	11	1248	161	52	20	9	900	221	72	31	9	2	1128	151429949
leech_0.008_8x_1.hist	143331554	1640305	313681	118932	61341	37831	31754	21284	16275	9800	11430	6938	4490	7414	3835	2422	3841	2128	1717	2651	1718	536	2163	632	386	1235	1119	359	118	58	1623	688	274	30	8	921	660	359	70	2	0	587	665	248	40	12	4	129	718	430	151593026
leech_0.001_2x_1.hist	142637407	1832722	387594	143808	77502	47443	35813	31990	30376	15491	7499	5073	7053	11645	10469	3330	1918	798	999	2459	4645	4926	2133	623	35	18	3	0	2273	3007	890	263	104	11	2	0	454	2366	472	25	7	2	0	0	0	0	0	0	0	2782	152106008
leech_0.001_4x_1.hist	141832346	1972164	397093	146108	80035	49504	27814	19363	29247	17202	8328	6005	8347	10610	5489	2047	3247	4334	4058	2208	1431	976	4282	1252	111	355	846	2255	1378	688	202	59	22	1	1660	1060	303	164	31	0	520	716	379	141	22	6	1	0	0	1654	151630798
leech_0.008_1x_1.hist	149267153	1725100	398892	140897	65664	42129	16060	14345	21668	24787	20629	10172	3904	2157	1115	650	1030	1374	2892	7119	5549	1733	750	218	11	5	0	0	0	0	0	0	4471	1774	563	34	8	3	0	0	0	0	0	0	0	0	0	0	0	4146	157019700
leech_0.002_8x_1.hist	141492883	1940583	374424	140935	73641	45393	39904	25924	17213	17593	10063	11370	5972	4925	6109	5331	4113	1713	1515	3728	3384	1056	707	1373	2530	1404	316	100	1579	788	232	433	1440	165	51	2	458	1163	231	11	2	0	589	765	126	41	17	4	0	1377	151289458
leech_0.002_2x_1.hist	142539100	1848808	351160	139868	65435	41515	37536	33529	29923	15260	7387	3642	5063	8358	10370	5132	2957	1231	1567	3857	3610	1127	487	447	955	3057	2541	817	271	134	38	10	3	0	0	2895	831	452	89	3	0	0	0	0	0	0	0	1329	767	459	151800324
leech_0.02_2x_1.hist	147457623	1343080	200992	84514	44586	26892	15127	7431	9313	10653	11209	5527	2121	1171	1229	1777	2818	3761	1520	827	535	166	474	922	1809	1004	225	71	22	10	520	1039	824	94	28	0	0	0	0	1405	467	190	100	36	5	0	0	0	0	1568	153117568
leech_0.004_8x_1.hist	142157959	1852553	352629	133265	69336	42639	35204	30268	13696	15667	11517	6355	8834	5814	3007	3843	5430	2261	1497	3390	2198	685	1135	2206	1113	617	465	1240	532	265	628	1255	574	65	19	0	1029	645	128	6	594	242	127	229	338	111	49	15	4	1341	151434155
leech_0.02_8x_1.hist	146363511	1285267	238707	92645	45596	28560	19141	14518	10384	7754	7555	3725	4641	3693	1910	2445	2538	1056	763	1877	1216	379	773	1502	136	146	347	926	889	443	130	37	225	676	476	28	7	797	233	11	2	569	301	111	17	4	471	415	137	81	151998978
