sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.0_4x_1.hist	52233457	7896515	1662258	698958	368724	226070	207439	185302	200495	102251	58686	66314	92196	50965	26371	27187	43124	57568	23188	12624	19718	32281	34631	10132	3805	12177	28982	9332	3109	10715	3173	942	13583	19524	6211	387	110	59	10	5896	14758	6047	3209	1202	199	65	28	8	1	23464
moss_0.0_8x_1.hist	53006022	6707534	1538504	619889	317281	200123	227789	167166	137123	115175	94906	46804	58084	63870	33050	31343	49715	36063	11238	27663	41168	12864	10407	20236	21674	12040	3847	10258	18597	9297	2753	817	11918	10657	3390	210	59	16856	4973	275	90	36	6897	10335	1721	572	255	84	27	15844
moss_0.006_4x_1.hist	61061174	6644693	1413128	585184	294143	183644	200549	179147	93262	75988	88637	67257	26578	43883	54447	20258	32133	42896	19840	10801	8132	13313	40965	11986	704	1116	2656	7082	22127	11062	3276	972	388	43	4498	15430	4435	2418	482	25	1511	9211	4888	1832	304	100	44	13	3	16858
moss_0.001_4x_1.hist	53844583	7803119	1626290	684036	361207	221173	196831	175826	207052	105595	52566	59399	82582	45650	23621	30126	47785	63791	22107	12035	8803	14411	51889	15182	2723	8714	20117	6477	2158	1078	27499	8170	3267	375	3576	13652	3924	2139	426	22	9007	8360	4436	1662	276	91	39	12	3	23766
moss_0.006_8x_1.hist	61524544	5736039	1312582	520784	266495	167887	169357	151284	109933	73864	86159	42490	47062	56517	29245	27377	43426	24566	11018	27121	24526	7663	8872	17250	11577	6430	4468	11914	10224	5111	1513	448	11030	9355	2975	184	52	6510	9694	537	178	72	4898	6898	1148	381	170	55	17	11769
moss_0.004_8x_1.hist	58977188	6064463	1387735	553148	283629	178623	174765	156115	139594	71192	73931	75512	29848	49284	51897	24696	39173	28768	14571	32424	21031	6571	12838	24961	12990	7216	1628	3522	20418	10208	3023	897	3044	9131	7340	457	5831	3180	635	6845	4844	1984	1052	393	6690	2229	998	331	109	11288
moss_0.008_1x_1.hist	65018387	7035782	1623963	589957	333883	212653	207140	185035	191420	97623	47265	23309	21643	35736	44338	64159	56108	23377	3718	3584	6768	11080	52632	22473	1320	732	164	51	16	7	1	0	45836	14127	4493	279	79	42	7	0	0	0	0	0	0	0	0	0	0	37733
moss_0.0_1x_1.hist	50920174	9264867	1712100	731458	404417	251541	217906	107059	157202	179838	122798	60560	23249	16520	20496	29659	47044	62802	71435	38891	25226	7882	3414	2330	4979	15931	37916	12209	4068	2033	601	177	12203	36609	19383	1210	347	188	36	1	0	0	0	0	0	0	0	0	0	55161
moss_0.008_4x_1.hist	63064038	6716260	1364452	567588	289538	179426	182608	163121	121085	61752	51836	58574	72520	40088	20743	22286	35349	47189	14671	7986	7744	12678	34605	10124	594	1334	3174	8463	18957	9477	2807	833	332	37	3111	14982	4306	2348	468	25	5555	5248	2785	1043	172	56	24	7	1	16409
moss_0.002_4x_1.hist	55227133	7602866	1591759	666163	346362	213588	211013	188494	166411	84869	58496	66100	80203	44335	22941	33196	52655	40585	10176	25048	42424	13256	5743	8930	19082	31961	7216	2322	773	385	13626	20565	8225	947	300	17	4	18035	3606	199	65	9500	5041	1889	313	103	45	14	3	20065
moss_0.001_2x_1.hist	51325301	11934905	1968637	842957	469016	292793	296031	145443	86310	98738	115174	130145	87214	48211	24946	16388	25993	34700	73051	39771	25796	8060	3491	4933	10540	33729	47305	15232	5076	2537	11867	3525	1409	161	50	2	30625	22129	4424	244	80	32	16	5	0	0	0	0	0	40824
moss_0.01_8x_1.hist	66388122	5362516	1220048	480950	246001	154822	145685	128677	110970	56594	58454	66052	29329	48426	36882	20285	32175	26608	5884	14483	25573	7990	4399	8552	14829	8237	1859	597	12931	9366	2774	823	2456	7368	7943	495	141	1144	10151	562	186	3422	2402	899	3564	1599	715	237	78	8519
moss_0.02_2x_1.hist	75567294	5472313	999221	419353	219939	132264	82761	73929	111670	80410	38931	19199	19535	32254	40018	23038	13280	5532	2308	5680	10728	17563	15266	4466	261	144	31	9	9898	11888	3521	1045	417	47	13	0	0	3659	13733	761	252	102	53	19	2	0	0	0	0	16638
moss_0.002_2x_1.hist	53445185	10750705	1810826	774509	429571	267676	240758	118287	94307	107887	125846	121206	46533	25722	24397	35303	55997	58268	9787	24090	45503	29927	12967	3793	2075	6639	15801	42136	14044	7021	2079	616	245	27	7	0	29723	19509	3900	215	70	28	13	4	0	0	0	0	0	36878
moss_0.004_2x_1.hist	56325661	10016927	1677454	715984	394786	245153	209142	102753	92616	105951	123588	108893	41806	23109	20299	29374	46592	62198	29860	16256	10543	8922	42380	12400	1454	4654	11076	29537	17380	8689	2573	763	304	34	9	0	26690	14557	2910	160	52	20	9	2	0	0	0	0	0	33532
moss_0.01_1x_1.hist	63758634	9405592	1410370	604138	336487	210180	238916	117382	52263	59788	69740	78805	91551	50608	26187	8331	6085	8123	17101	42094	56045	17513	7588	2219	129	70	15	3	0	0	16671	33341	19344	2230	708	43	11	5	0	0	0	0	0	0	0	0	0	0	0	39600
moss_0.006_2x_1.hist	59763455	9091401	1553218	660701	360753	222698	172716	84857	93298	106732	124500	87811	33712	18635	21435	31017	49199	65679	10447	9034	17063	27127	11754	3438	4455	14257	33932	15973	5323	2660	787	232	92	9	2	0	17001	22647	4528	250	82	32	16	5	0	0	0	0	0	28426
moss_0.0_2x_1.hist	50106433	11547683	1965081	841023	467286	291476	266415	130892	96629	110543	128944	145706	71263	39393	20383	18132	28761	38394	80830	44006	28543	8918	3863	3028	6469	20702	49269	28639	9545	4771	1412	418	166	18	4	24666	23576	12859	2570	141	46	17	8	2	0	0	0	0	0	43278
moss_0.01_4x_1.hist	65810362	6177049	1276215	529412	267627	165605	164608	147041	118582	60475	47460	53628	64593	35706	18743	27121	43019	28109	4471	8820	16659	24760	10728	3138	5213	16681	3765	1211	5965	13099	3880	1151	459	52	17798	1111	318	172	33	1790	9770	4003	2123	795	131	42	18	5	0	14787
moss_0.008_2x_1.hist	62091611	8361173	1444584	613276	332908	204755	148697	73056	100930	115463	112750	55604	21347	28445	35291	51068	49088	20452	3418	8413	15892	26016	38251	11191	657	364	81	25	25237	12617	3737	1109	442	50	14	0	19096	15038	3006	166	54	21	10	2	0	0	0	0	0	25466
moss_0.02_1x_1.hist	75434682	5762618	1036110	428046	213512	135021	166265	123743	48722	31146	36330	41052	57074	47437	24546	7809	4500	1874	3601	8863	16741	27407	11875	3473	203	111	24	6	1	0	5	9	32926	3797	1207	74	20	10	1	0	0	0	0	0	0	0	0	0	0	24943
moss_0.004_4x_1.hist	58227946	7186079	1495455	625054	323679	199605	194874	174077	155126	79113	53953	60966	74332	41090	30178	43668	25172	28126	40865	22247	14429	4508	14324	27852	19707	10947	2471	794	1699	23788	7047	2092	1623	4869	17273	1078	309	167	32	1275	13716	5620	2982	1117	185	60	26	7	1	19179
moss_0.001_8x_1.hist	54656640	6443248	1482472	592966	305349	192294	195223	174389	156530	79829	93117	65353	38743	63971	36367	28511	45224	43681	8911	21934	41430	12945	11247	21870	13781	7655	6653	17741	6822	3410	15781	4688	1874	215	19160	1957	561	305	3989	10774	3590	1470	779	291	8725	2907	1302	433	143	12214
