sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
rotifer_0.001_4x_1.hist	histogram	genome-skim	4.03	99624870	0.86	7.77	0.0036	150
rotifer_0.0_4x_1.hist	histogram	genome-skim	4.03	99725086	0.86	8.57	0.0036	150
rotifer_0.008_1x_1.hist	histogram	genome-skim	1.01	99110019	0.92	5.22	0.0037	150
rotifer_0.004_8x_1.hist	histogram	genome-skim	8.08	99405280	0.88	6.77	0.0035	150
rotifer_0.004_4x_1.hist	histogram	genome-skim	4.02	99951406	0.88	6.50	0.0035	150
rotifer_0.01_4x_1.hist	histogram	genome-skim	4.02	99811476	0.91	5.94	0.0034	150
rotifer_0.006_8x_1.hist	histogram	genome-skim	8.07	99547328	0.89	6.11	0.0035	150
rotifer_0.002_8x_1.hist	histogram	genome-skim	8.09	99332215	0.87	7.55	0.0036	150
rotifer_0.02_8x_1.hist	histogram	genome-skim	8.04	99948268	0.94	4.01	0.0033	150
rotifer_0.004_2x_1.hist	histogram	genome-skim	2.01	99726040	0.88	7.57	0.0035	150
rotifer_0.002_1x_1.hist	histogram	genome-skim	0.99	101282312	0.88	7.96	0.0037	150
rotifer_0.002_4x_1.hist	histogram	genome-skim	4.03	99707611	0.87	7.96	0.0035	150
rotifer_0.001_8x_1.hist	histogram	genome-skim	8.09	99334891	0.87	7.38	0.0036	150
rotifer_0.001_1x_1.hist	histogram	genome-skim	1.03	97852515	0.89	7.33	0.0039	150
rotifer_0.0_8x_1.hist	histogram	genome-skim	8.09	99257766	0.86	8.01	0.0036	150
rotifer_0.01_1x_1.hist	histogram	genome-skim	1.02	98642230	0.92	6.69	0.0037	150
rotifer_0.01_2x_1.hist	histogram	genome-skim	2.01	100126094	0.90	5.45	0.0034	150
rotifer_0.006_1x_1.hist	histogram	genome-skim	1.02	98772736	0.91	5.57	0.0037	150
rotifer_0.0_1x_1.hist	histogram	genome-skim	1.00	100104867	0.88	8.30	0.0038	150
rotifer_0.002_2x_1.hist	histogram	genome-skim	2.02	99480290	0.87	7.40	0.0036	150
rotifer_0.02_4x_1.hist	histogram	genome-skim	4.01	100135751	0.94	4.09	0.0033	150
rotifer_0.01_8x_1.hist	histogram	genome-skim	8.06	99663020	0.91	5.73	0.0034	150
rotifer_0.001_2x_1.hist	histogram	genome-skim	2.02	99362434	0.87	8.02	0.0036	150
rotifer_0.006_2x_1.hist	histogram	genome-skim	2.01	99715121	0.89	6.63	0.0035	150
rotifer_0.02_1x_1.hist	histogram	genome-skim	1.02	98533069	0.95	4.17	0.0037	150
rotifer_0.004_1x_1.hist	histogram	genome-skim	1.02	98897758	0.90	7.10	0.0039	150
rotifer_0.008_4x_1.hist	histogram	genome-skim	4.01	100089324	0.89	5.98	0.0035	150
rotifer_0.008_8x_1.hist	histogram	genome-skim	8.06	99630511	0.90	5.86	0.0035	150
rotifer_0.006_4x_1.hist	histogram	genome-skim	4.03	99619574	0.89	6.17	0.0035	150
rotifer_0.0_2x_1.hist	histogram	genome-skim	2.01	99718731	0.86	7.55	0.0036	150
rotifer_0.008_2x_1.hist	histogram	genome-skim	2.01	100201282	0.89	6.20	0.0035	150
rotifer_0.02_2x_1.hist	histogram	genome-skim	2.01	99703338	0.94	4.45	0.0034	150
