sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
leech_0.0_1x_1.hist	145429057	2040697	455910	162028	88602	55997	49784	44471	24703	12597	6098	4685	6512	10752	13340	6317	3640	1515	249	612	1156	1891	8985	2628	153	84	18	4	0	0	580	1160	5478	630	199	11	2	0	0	0	0	0	0	0	0	0	0	0	0	4318
leech_0.01_2x_1.hist	144923293	1493306	249055	104258	54253	32383	13686	12225	18465	21123	10226	5042	1934	2996	3717	5378	4624	1926	483	1188	2244	2729	1181	344	19	37	87	233	2837	1417	419	123	48	4	0	0	0	0	167	1688	561	229	120	44	6	1	0	0	0	1821
leech_0.008_2x_1.hist	144698326	1536849	291334	118330	55661	34370	23122	20654	27936	14246	6896	3400	2702	4461	5534	8008	5624	2342	371	201	224	366	1740	3382	2368	1314	295	94	30	14	3	0	1432	1358	431	25	6	2	0	1215	404	164	86	31	4	0	0	0	0	2241
leech_0.008_1x_1.hist	146774726	1663235	351619	126329	70374	44532	37676	33654	26659	13595	6581	3244	1925	3178	3943	5705	9048	6298	1000	543	351	108	46	89	189	604	1438	3834	1277	637	187	54	20	1	0	1305	1006	547	108	5	0	0	0	0	0	0	0	0	0	3807
leech_0.02_1x_1.hist	148306061	1444744	179941	76357	42897	26923	34515	25280	9953	5075	2456	1865	2591	4278	5307	5312	3061	1274	201	108	69	57	271	526	1124	3239	730	234	77	37	10	2	0	0	1244	1414	405	220	43	1	0	0	0	0	0	0	0	0	0	2849
leech_0.001_4x_1.hist	141751256	1821336	391667	142672	78853	49034	29614	19262	29094	16920	8191	7648	10633	5876	3961	5730	5194	2163	1026	2526	4771	2818	1220	356	321	1028	2446	787	261	129	1557	1078	430	48	14	0	0	768	1946	107	34	13	6	1	0	449	1056	351	116	68
leech_0.008_4x_1.hist	143996996	1583931	307819	118728	58377	36747	39981	19642	11013	12598	14048	6927	2793	4611	5720	4425	2550	1432	3015	2287	1482	462	1286	2500	759	421	94	29	2083	1040	307	90	35	3	0	1050	913	497	98	4	0	0	0	1037	349	115	50	15	4	1098
leech_0.02_8x_1.hist	146249241	1339023	222297	89500	43167	27116	23638	11612	9966	11195	5419	3943	5474	3025	2113	1943	3081	1566	397	976	1844	1025	443	220	471	1506	509	162	53	25	574	1148	458	51	15	258	657	357	70	2	558	227	120	44	114	310	138	45	491	293
leech_0.004_2x_1.hist	143579023	1683901	345757	131960	64515	40758	40981	33221	13080	9265	10807	12211	10467	5785	2992	1361	2158	2880	6062	3818	2476	772	333	96	179	573	1364	3342	1113	555	163	47	18	1	0	0	322	2694	537	28	8	2	0	0	0	0	0	0	0	2723
leech_0.004_1x_1.hist	145626943	1691299	289305	121393	63630	38193	21334	10955	16547	18929	22079	12579	4828	2668	1379	1603	2542	3393	7143	5740	3722	1162	502	146	7	3	0	0	0	0	2472	3829	1530	175	54	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4324
