sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
club-moss_0.004_1x_1.hist	116629002	9376519	2157363	755485	400046	254760	167453	149583	159718	81455	39437	19448	17194	28390	35223	50970	43904	18292	2909	1582	1286	2105	9999	19442	28919	16065	3626	1166	387	192	56	15	5	0	22884	8735	2510	1368	272	14	3	0	0	0	0	0	0	0	0	31373
club-moss_0.002_8x_1.hist	98374630	25488748	3417018	1307597	657881	410863	209199	186874	110724	111139	60439	68295	52929	35564	44125	30704	18538	24747	30101	16387	12481	20432	16108	7809	16686	9269	3586	9563	14899	7448	2206	654	10324	8462	2691	167	7086	3864	3560	4194	1397	571	302	9893	1797	598	267	88	28	12648
club-moss_0.002_4x_1.hist	97861173	27163980	3661747	1398567	688850	433945	300618	147697	97746	111820	106896	52717	29254	48302	59929	23509	14580	19463	40973	22306	14468	4520	12450	24208	15633	8684	2636	7030	14970	7484	2216	4101	6904	13664	4346	270	76	40	580	15520	5172	2118	1123	420	69	22	8	1	0	21762
club-moss_0.006_1x_1.hist	121400195	9380578	2155827	752770	395626	252490	147209	131499	174445	88966	43074	21242	12274	20266	25144	36384	57711	34663	5513	3000	1945	606	2385	4638	9910	31713	9839	3167	1054	526	154	45	17	0	28699	2744	787	428	84	3	0	0	0	0	0	0	0	0	0	31537
club-moss_0.0_1x_1.hist	102094131	11370313	2490129	873145	463828	296432	154576	138080	208571	106370	51501	25398	11571	19104	23703	34298	54403	51650	8216	4472	2899	1029	4889	9507	20314	28852	6514	2096	697	347	102	29	10	31	37329	2332	669	364	71	2	0	0	0	0	0	0	0	0	0	30098
club-moss_0.001_8x_1.hist	93482551	27178271	3639044	1385524	704109	438000	223728	195610	118440	87169	101679	50145	46832	58731	30390	27029	42874	19079	12193	30014	21112	6596	24712	7230	6465	20688	10490	3377	1325	18553	8236	2446	977	111	20119	1395	400	217	6578	5740	1912	782	414	9711	1617	538	240	79	25	13526
club-moss_0.002_2x_1.hist	107537264	14659279	2856132	1011141	548752	347715	229939	205401	97392	49669	44322	50083	69630	55623	28782	9157	10484	13995	29463	36291	23539	7355	3186	997	2130	6817	16224	19978	6658	3328	985	1969	9619	1108	351	20	5	1182	23916	1327	441	179	94	34	4	0	0	0	0	22845
club-moss_0.02_2x_1.hist	154713335	10168839	2009431	718023	396460	248247	213193	104744	41242	32217	37580	42464	53922	29807	15423	4906	6193	8267	17404	21807	14144	4419	1913	559	746	2387	5680	15147	7136	3567	1056	312	124	13	3	0	0	15092	7464	413	136	55	28	9	0	0	0	0	0	16291
club-moss_0.006_2x_1.hist	120159530	14190129	2757194	974780	527546	334285	219094	195713	110849	56532	29334	33147	46084	76091	39374	12527	7220	7038	14817	36472	23656	7391	3305	6425	13730	7640	1724	554	9699	17351	5140	1526	609	69	21	0	0	13038	13899	771	256	103	54	19	2	0	0	0	0	22780
club-moss_0.02_1x_1.hist	154808717	8956886	1761351	692082	303625	191464	84420	75410	113907	107070	51839	25565	9814	9016	11185	16185	25672	29755	4732	2575	1680	2750	13062	25398	1493	828	186	58	18	8	1	0	5723	17169	10591	660	189	102	19	0	0	0	0	0	0	0	0	0	0	23565
