sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
rotifer_0.0_4x_1.hist	85425377	3299990	604389	241653	118201	74289	69826	34305	38948	34584	16744	13160	18296	14126	7309	4538	7198	9609	6815	3709	2405	981	4662	5645	331	874	2080	4439	1478	738	217	63	4436	1505	478	28	7	2	2152	2221	739	302	159	58	8	1	0	645	2060	1235
rotifer_0.002_1x_1.hist	85733620	2648981	478094	200108	104078	62098	32075	15757	23801	27228	31759	27532	10569	5841	3022	2015	3196	4265	8979	12866	8344	2606	1128	329	18	9	1	0	0	0	238	475	12714	1465	465	28	7	2	0	0	0	0	0	0	0	0	0	0	0	7122
rotifer_0.0_8x_1.hist	85390022	3042653	610863	235454	119562	74584	74139	37537	46602	23766	18536	20945	13783	8918	11064	7849	5671	7570	6023	3278	2669	4370	3932	1700	3633	2017	454	145	3128	3122	924	273	108	11	5543	345	98	52	863	1860	619	252	133	48	1026	1044	467	154	50	1497
rotifer_0.008_1x_1.hist	89750351	1769355	372837	152069	72605	44092	23949	21392	32313	36965	25684	12665	4861	2686	1915	2771	4394	5865	8247	4489	2911	908	392	310	662	2120	4874	1568	521	259	76	21	749	2248	2275	141	39	20	3	0	0	0	0	0	0	0	0	0	0	5814
rotifer_0.008_4x_1.hist	89679189	2371133	447083	176438	85555	53934	61080	36999	15418	17637	20573	16295	6255	5017	6224	9006	6786	2826	1025	2523	4765	3407	1475	504	1076	3444	1852	595	197	97	316	631	4452	512	162	9	1	0	0	529	1823	746	395	147	23	6	2	0	0	2020
rotifer_0.004_8x_1.hist	87636586	2602167	519787	200268	101972	63330	50924	41786	35256	17979	16724	18897	7765	12821	7719	4078	6468	8455	1344	2710	5118	3669	1589	615	1314	4205	948	304	1846	1928	570	168	2250	1560	495	29	7	2464	785	42	13	4	1669	678	112	36	15	4	0	2254
rotifer_0.008_8x_1.hist	89470372	2302495	450222	173942	87139	54602	42946	35401	28701	14927	17411	13875	5925	9783	9332	3015	4782	6382	1910	1603	3027	4248	1840	537	788	2521	1513	486	188	2644	1311	388	154	16	2670	368	105	56	711	938	311	126	66	1196	328	108	47	14	3	1424
rotifer_0.0_2x_1.hist	85523679	3289451	591703	242564	117870	72123	46994	41978	63407	34075	16497	8135	5971	9858	12230	17697	10575	4405	699	1340	2530	4141	11042	3230	189	104	22	6	457	6404	3139	931	371	41	12	0	2301	3899	778	42	13	4	1	0	0	0	0	0	0	5915
rotifer_0.0_1x_1.hist	86569153	3293428	629571	255083	118917	74717	62248	55604	49160	25070	12137	6905	9599	15849	19664	16575	9554	3979	632	343	562	920	4369	8495	6117	3397	766	245	80	39	10	2	4197	5479	1742	107	30	15	2	0	0	0	0	0	0	0	0	0	0	9277
rotifer_0.002_4x_1.hist	86684912	2960316	572877	223072	109458	69072	74857	42381	21059	24090	28099	18494	7099	8177	10144	11621	6698	2790	2346	5774	7090	2214	958	848	1812	5799	1946	625	207	102	395	789	5401	622	196	11	2	0	925	2852	949	388	205	75	11	2	0	0	1270	2106
rotifer_0.001_2x_1.hist	86037439	3051505	559841	228449	109256	68900	80013	39812	21348	24421	28486	26533	10185	5629	4480	6482	10281	13724	3604	1961	1271	396	1620	3149	6729	5772	1302	418	138	68	19	4	0	0	6703	2449	703	382	75	3	0	0	0	0	0	2096	938	311	102	2876
rotifer_0.001_8x_1.hist	85942746	2998536	594965	229770	115545	72572	66668	32754	44350	25145	23980	12133	12347	15267	7899	5887	9337	3889	2398	5903	5376	1679	2520	4900	1769	982	1082	2885	2051	1024	302	88	4349	644	203	11	2	2264	2259	124	40	15	7	1942	693	230	102	33	10	1952
rotifer_0.01_4x_1.hist	90404221	2164950	411771	161122	80097	49737	48750	43060	16954	12827	14962	16906	7884	4357	4683	6775	7017	2923	476	1172	2214	3624	3839	1122	235	753	1791	2339	778	388	114	32	2888	1244	394	23	5	2	0	119	1803	738	390	145	23	6	2	0	0	2067
rotifer_0.006_8x_1.hist	88615143	2468861	485836	187715	93900	58867	47070	35683	30106	23121	12237	13827	13501	7462	5136	7431	7443	3100	2512	5111	3314	1034	2086	4056	873	484	1005	2680	1687	842	248	193	2636	303	95	1488	426	231	45	1246	813	332	175	64	9	2	1233	765	254	151
rotifer_0.001_1x_1.hist	86269214	3038365	567228	231738	111289	67968	35957	32119	48515	55500	28237	13925	5345	2953	2476	3583	5682	7584	15967	8692	5637	1760	761	315	674	2156	5131	1651	549	273	80	22	8	0	8125	1545	443	240	47	1	0	0	0	0	0	0	0	0	0	7599
rotifer_0.01_1x_1.hist	91444264	2063553	460578	164489	90741	57319	54350	48549	22170	11305	6673	7539	10481	17305	9011	2866	1651	1020	2147	5285	6748	2107	912	265	14	7	15	41	4385	2191	648	191	3556	748	237	13	2	0	0	0	0	0	0	0	0	0	0	0	0	4982
rotifer_0.006_2x_1.hist	88938166	2393525	475161	185511	91032	57336	67926	33894	16314	18663	21769	24139	9266	5121	2787	4032	6396	8537	6017	3275	2123	662	395	768	1641	5250	1184	380	125	61	396	791	6331	729	231	13	2	0	0	0	538	1242	658	245	39	12	4	0	0	3019
rotifer_0.002_2x_1.hist	86930480	2897555	537815	220021	106159	64919	42805	38236	55672	28392	13745	6778	8695	14357	17812	7420	4276	1781	1416	3485	6582	8497	3681	1076	62	33	6	1	568	7963	2358	699	278	31	8	0	0	471	6115	338	111	44	22	7	0	0	0	0	0	4119
rotifer_0.02_2x_1.hist	93803807	1470404	302753	110755	61511	38359	39750	19529	7688	7355	8578	9693	10833	5987	3097	984	1371	1829	415	1022	1930	3159	3753	1097	63	34	6	1	0	0	2205	1558	622	70	21	0	0	0	1622	117	38	14	6	1	0	0	0	0	0	1633
rotifer_0.006_1x_1.hist	89025320	2298005	491239	192383	86422	54938	31279	27940	42203	45147	21858	10779	4137	2286	2044	2957	4690	6261	11845	6448	4181	1305	564	164	8	26	62	165	5005	2501	740	218	803	2408	2433	151	42	22	3	0	0	0	0	0	0	0	0	0	0	5547
rotifer_0.004_1x_1.hist	88208334	2429593	467192	186241	100069	61138	51225	25166	10056	11503	13417	15160	21076	23922	12378	3937	2268	944	399	982	1854	3035	14418	4690	274	151	33	9	2	0	0	0	280	840	9203	574	164	88	16	0	0	0	0	0	0	0	0	0	0	5695
rotifer_0.02_8x_1.hist	93695660	1437241	284447	108619	54615	33899	24529	21910	17463	8905	8844	8810	3381	4683	5123	1629	1975	2635	2615	1423	1041	1704	1499	437	411	1315	1349	433	143	70	1174	650	259	28	712	436	124	66	12	695	505	206	108	39	196	134	59	18	5	697
rotifer_0.01_8x_1.hist	90211381	2146414	411958	160401	79665	49917	42025	30750	24789	20208	10155	11474	10946	6050	4547	6579	6361	2649	1083	2666	4021	1255	731	1420	3035	1955	440	140	828	2623	776	229	437	1312	416	25	1006	683	135	6	1	316	1142	427	70	22	9	2	0	1838
rotifer_0.02_1x_1.hist	92680229	1196464	225821	94657	49454	29611	22449	11028	6541	7482	8726	9860	12343	6822	3529	1121	645	268	188	462	872	1426	6775	1981	115	63	13	3	0	0	0	0	268	805	3270	203	57	30	5	0	0	0	0	0	0	0	0	0	0	2245
rotifer_0.008_2x_1.hist	89630705	2257647	446586	173315	85442	53686	49499	25352	38295	23918	11580	5710	5992	9893	12274	7253	4180	1740	1281	3152	5954	1859	804	250	535	1712	4073	2750	915	456	134	38	14	0	0	1002	2828	1541	307	16	4	0	0	0	0	0	0	0	1039	2414
rotifer_0.004_4x_1.hist	87823567	2741896	523029	205080	101070	63599	69377	34085	24128	27602	21010	10361	7469	12331	14473	4604	2653	2499	5260	6846	4440	1386	599	1070	2286	5451	1230	395	130	64	2118	3369	1346	154	48	2	0	0	4408	243	80	31	15	4	0	0	0	2234	931	557
rotifer_0.002_8x_1.hist	86607788	2851472	565689	218917	109773	68874	57717	38693	41703	21267	16552	18703	13467	7444	8050	10634	6129	2552	5373	5027	3260	1466	5039	1473	713	2283	3951	1271	422	937	2202	653	260	779	3260	202	57	30	2127	864	287	116	60	332	1318	438	195	64	665	896
rotifer_0.01_2x_1.hist	90727020	2320651	470290	171307	96163	60329	68976	33888	13342	12215	14248	16099	12086	6680	3455	1769	2806	3745	7883	4620	2996	935	404	117	81	259	617	1646	5003	2500	739	218	86	8	1	0	0	0	2155	1270	422	172	90	32	4	0	0	0	0	2574
rotifer_0.004_2x_1.hist	87946579	2767055	512736	208241	97930	61762	57166	51065	39162	19972	9669	8633	12001	19816	13825	4398	2534	1539	3240	2395	4524	7406	5117	1496	87	47	9	2	179	2513	4801	1425	569	64	19	0	0	0	5227	483	160	64	33	11	0	0	0	0	2451	1470
rotifer_0.006_4x_1.hist	88879079	2469173	491748	187039	99735	60797	48865	43649	32252	16447	13093	14794	13147	7266	3759	5241	8313	8220	1306	1546	2921	4235	1834	715	1528	3637	820	263	188	2636	2078	616	245	27	2193	136	38	19	2	2325	970	396	209	77	11	2	0	0	0	2927
rotifer_0.02_4x_1.hist	93682943	1430792	286133	107970	56770	34724	32292	25249	9940	10548	12303	6893	2793	4611	5720	2468	1421	1808	3807	2071	1342	418	318	618	1321	2244	505	161	52	25	328	656	1379	158	49	2	0	822	905	49	15	5	1	0	843	367	163	53	16	9
rotifer_0.001_4x_1.hist	86212904	3121931	577767	233122	110800	70154	70491	61996	24410	21719	25334	21339	8191	8418	10444	10873	6267	2610	4673	7208	4674	1459	2477	4816	1980	1099	247	78	5268	2633	779	230	91	9	227	4181	1201	654	129	6	1	535	2247	841	139	45	19	5	0	2665
