sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
oyster_0.02_2x_1.hist	80632591	3894900	670816	279559	143425	85231	41784	37324	56378	55542	26891	13261	5090	7276	9026	13061	15737	6556	1042	691	1306	2137	10151	5948	348	192	304	811	6024	3011	891	263	104	11	2	0	1899	4241	847	46	14	4	1	0	0	0	0	0	0	4652	97292106
oyster_0.006_4x_1.hist	69553835	5549904	1111339	452860	215497	135373	140670	125658	62696	46564	54314	40332	15483	21025	26086	22191	12791	5328	3633	8942	16890	9075	3931	1149	1386	4436	10557	6033	2010	1004	296	87	2130	6389	6608	412	117	63	11	0	4202	3334	1769	662	109	35	14	3	0	6341	96608988
oyster_0.002_1x_1.hist	65342222	7614612	1635129	594279	336517	212923	208537	186282	126074	64297	31130	16664	23167	38251	47459	28792	16597	6914	2488	6123	11565	18934	23418	6851	402	222	49	14	3	0	0	0	32789	7875	2504	155	43	22	3	0	0	0	0	0	0	0	0	0	0	21954	99516569
oyster_0.008_4x_1.hist	71523609	5323767	1060432	431637	204609	129218	150240	100532	44361	50748	59196	29193	13799	22783	28267	8993	10314	13767	9936	5408	3507	5615	11515	3368	721	2307	5490	9703	3233	1615	477	140	1341	4023	6246	389	110	59	1048	4884	1627	665	352	131	20	5	1	0	0	7213	96931313
oyster_0.001_4x_1.hist	63607079	6729509	1324732	542380	262403	163485	162148	144844	90960	46389	52071	58839	42123	23284	13516	19558	31023	19830	3153	5469	10330	16912	8887	2599	1222	3910	9307	8317	2771	1384	506	1012	10116	1166	370	7084	2035	1109	220	11	1730	5069	2690	1007	166	54	23	6	1	8867	96451674
oyster_0.004_4x_1.hist	67489033	5912680	1195427	486342	230111	145525	167590	123243	48526	55513	64753	57289	21994	12169	15098	21847	29144	12142	2026	4987	9420	15421	9804	2868	595	1904	4532	10727	3574	1786	1996	3992	1596	183	1081	8197	2355	1283	255	13	3	0	5439	2743	456	151	66	21	6	5846	96575852
oyster_0.0_1x_1.hist	57615927	13312378	1719048	732913	408161	254934	346988	170479	67125	34232	26227	29635	41201	68030	84406	26855	15480	6449	2337	5752	10864	17785	39833	11654	684	379	84	26	7	2	0	0	38564	7431	2363	146	41	21	3	0	0	0	0	0	0	0	0	0	0	28869	107703913
oyster_0.01_8x_1.hist	73664960	4664827	1015654	391652	195369	122395	95833	84276	74014	37746	33114	37418	16566	17971	22297	10759	8301	11081	10610	5775	3745	4836	10170	2974	983	3146	7057	2271	756	2185	3549	4085	1633	187	58	3215	2544	1387	276	14	761	2792	1481	554	91	29	12	1867	1327	795	95974203
oyster_0.004_8x_1.hist	67910923	5403519	1191687	459736	231061	144532	124710	111401	67809	66758	54243	27095	37670	22451	14400	20837	16953	8045	16935	9219	5979	2739	13012	4941	1670	5343	7958	2561	852	425	10063	2989	1194	136	92	6232	1790	975	194	2598	1680	687	363	3754	1470	489	218	71	22	4699	95309806
oyster_0.002_2x_1.hist	64513955	6981197	1284362	534253	272472	163412	102089	91194	137749	85428	41361	21228	29512	48728	36335	11560	6663	4939	10398	25594	16600	5186	2246	883	1885	6033	14359	10022	3339	1668	493	145	57	5	0	7828	10211	5569	1112	60	19	6	2	0	0	0	0	0	0	14615	97641809
