sample	moss_0.06_1x_20	moss_0.06_1x_23	moss_0.06_1x_25	moss_0.06_1x_30	moss_0.06_2x_20	moss_0.06_2x_23	moss_0.06_2x_25	moss_0.06_2x_30	moss_0.06_4x_20	moss_0.06_4x_23	moss_0.06_4x_25	moss_0.06_4x_30	moss_0.06_8x_20	moss_0.06_8x_23	moss_0.06_8x_25	moss_0.06_8x_30	moss_0.0_1x_17	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_30	moss_0.0_2x_17	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_30	moss_0.0_4x_17	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_30	moss_0.0_8x_17	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_30
moss_0.06_1x_20	0.0	0	0	0	0	0	8.870559547002888e-05	5.548136372546253e-05	0	0	0	8.432144689207721e-05	0.000493068209435843	0.0002648752284813982	0.00019519599985984293	0.00014011719185746951	0.04538840078584372	0.04640197378733579	0.047675071225849686	0.0488294097233799	0.050597215259014394	0.04491123853386281	0.046727862732991676	0.04831873372766127	0.04967182959198502	0.05155345486346341	0.04452971527964478	0.045289310378648695	0.047847637016686484	0.048459375725963816	0.051745715783558355	0.07884929377165029	0.048497982141203044	0.05261191791614983	0.052846672127585204	0.053537003388457904
moss_0.06_1x_23	0	0.0	0	0	0	0	0	0	0	0	0	0	0.00017179434645853142	0	0	0	0.04672544490797503	0.04728644206202315	0.048773183309393064	0.05005442262312687	0.051186705745135064	0.04562230587771432	0.04725232659395695	0.049481968879233396	0.05035652720256978	0.05216919186023705	0.045638415477523675	0.04634234461813502	0.04797722713184083	0.04902986423911304	0.0522608976709249	0.08031833142204048	0.049285064114565236	0.05330956574763779	0.053459211273026885	0.05407346190143958
moss_0.06_1x_25	0	0	0.0	0	0	0	0	0	0	0	0	0	0.00012624800799698743	0	0	0	0.046840524815029094	0.04804635761686471	0.04913846312617787	0.050471727010310885	0.051645019955522176	0.046060925798319	0.04760054860919316	0.049668292457549224	0.050616613078678374	0.0522577076517422	0.046671715248517764	0.04706536302938069	0.048253675568825316	0.04943815085229408	0.052145415530722605	0.08168681184900817	0.04963202147470913	0.053525806343376114	0.05364878488442959	0.054202896378614196
moss_0.06_1x_30	0	0	0	0.0	0	0	0	0	0	0	0	0	0.00038801409759647854	0.0001308290899825204	8.284463686136778e-05	1.35259246623054e-05	0.04645011032050517	0.047543766570055546	0.0488168156911577	0.049862572152099216	0.051165388916582066	0.0457902874723789	0.04734514199653117	0.048971771000157927	0.0499271090821225	0.051390628152195084	0.046115577606167024	0.04629330826027034	0.04766267790828338	0.04886630750095955	0.0515381715631027	0.08220756609064905	0.049235024950024076	0.053047959426457236	0.05308417156922629	0.053476745393149505
moss_0.06_2x_20	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0001666839590286351	4.7989747533283555e-05	4.050163134017293e-05	0	0.047783492775951286	0.04869541067330052	0.05043899732280288	0.05140500352412691	0.053565651830288497	0.04648503781554669	0.04924977206066283	0.05108169886635072	0.05230142269985194	0.05405863835633207	0.04621184692127045	0.0478953280625537	0.05010952516790612	0.05149987010347634	0.05420573430393871	0.0746929976211047	0.05012107025028001	0.05484038845186823	0.05520108658362277	0.056069860952568384
moss_0.06_2x_23	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0002651512486953056	6.945450775441842e-05	3.574031952546797e-05	0	0.04884520634215972	0.0495826301251473	0.05116887977627638	0.05220791515313905	0.05401783222042067	0.04752019605020352	0.05006439187924949	0.05161739416792521	0.05246406363108591	0.054297895581324696	0.04750973481196841	0.04862288735630871	0.0504409860698628	0.05204252932662701	0.05453724693831408	0.07744061749306275	0.05056656317264718	0.05529164808471365	0.055631741542348734	0.056316641173603355
moss_0.06_2x_25	8.870559547002888e-05	0	0	0	0	0	0.0	0	0	0	0	0	0.0002142414172081608	1.531448778302469e-05	0	0	0.049067799873017015	0.049563987599688164	0.05107731324789455	0.052097564462018964	0.05370039385383696	0.047574577176450195	0.04953321399662891	0.051202170199956654	0.05214190374837391	0.05392739450117334	0.047668956316279654	0.04818244066892252	0.05027614062730623	0.05140407822795445	0.05400503318954941	0.07799017020404109	0.05049997516829574	0.05495293745570062	0.055079287928892606	0.055787989419995965
moss_0.06_2x_30	5.548136372546253e-05	0	0	0	0	0	0	0.0	0	0	0	0	0.0002851378641958169	5.9239728479987264e-05	1.726829834192145e-05	0	0.04979471797436985	0.05070716617729132	0.05184974296863376	0.05278303708910104	0.054428026606235136	0.048363810622671255	0.05052809102176525	0.05182160672601266	0.05304392304861594	0.0547275120409515	0.04825169468164159	0.049232765179136995	0.05083834368912865	0.052034274030653305	0.05455704417118146	0.08038356313177997	0.051313534084376444	0.055623010957989716	0.05587165275042183	0.05644487928176589
moss_0.06_4x_20	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.04907844867613298	0.051398493915524424	0.05205214474374775	0.053455678128895845	0.055416841667293326	0.04791225916645836	0.05092287794448025	0.05301061204885271	0.054134854063694116	0.0561368793732786	0.0469645839752596	0.04898887152097431	0.05222183889202103	0.05372693748858348	0.056533216117521046	0.0703800120164807	0.05124276550750162	0.056732115842679454	0.057333452443646404	0.05843208127632271
moss_0.06_4x_23	0	0	0	0	0	0	0	0	0	0.0	0	0	9.929280839016119e-05	0	0	0	0.05014471858920955	0.05111412776975144	0.05245812477066325	0.05341313536221459	0.05528821183916832	0.04858636099736546	0.050869037605986045	0.05295747586900823	0.05396202840229092	0.055841378449259516	0.047968441116974625	0.04958488626833879	0.052125206472566465	0.053472333503531866	0.056080438489640505	0.07422152837142526	0.05141337255004086	0.05658090207994082	0.05700842151320351	0.05789094791723781
