sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.001_1x_23.hist	52438204	9534665	1655283	710358	397710	249152	376036	184751	72744	43006	50165	56685	78809	130125	77711	24725	14252	5937	4194	10323	19499	31922	94830	27747	1631	905	203	64	20	9	1	0	52947	23089	7345	458	130	70	13	0	0	0	0	0	0	0	0	0	0	51723
moss_0.0_4x_25.hist	52103041	8002986	1668846	702923	372753	227932	205996	184012	201483	102755	54116	61150	85017	68964	35686	17749	28152	37582	52983	28845	18709	5845	16268	31632	26994	14996	3385	1089	2224	31142	9226	2740	1095	125	5532	18837	5414	2952	589	31	9	7348	10030	3760	625	207	92	29	8	20931
moss_0.01_1x_20.hist	64500601	9059888	1360475	584393	328051	205809	343675	168852	66484	33906	19974	22570	31378	51810	64282	86856	50069	20861	3317	1805	3261	5339	25359	18983	1115	618	138	43	13	5	47495	14111	5643	650	205	11	2	0	0	0	0	0	0	0	0	0	0	0	0	41085
moss_0.0_1x_20.hist	53790011	10374897	1895644	808598	445019	276047	240126	117976	100243	114677	133766	151155	82642	45684	23639	7520	8305	11086	23338	57446	108509	34343	14881	4353	255	140	30	8	1	0	28456	56911	22763	2625	834	51	13	6	0	0	0	0	0	0	0	0	0	0	0	63995
moss_0.01_1x_23.hist	64351223	9613869	1422250	609916	340807	213262	285527	140283	55235	41397	48287	54563	75859	88548	45820	14578	8402	4869	10251	25232	47660	35244	15271	4467	261	144	31	9	2	0	123	246	54513	6287	1999	123	34	17	2	0	0	0	0	0	0	0	0	0	0	39384
moss_0.0_8x_23.hist	53630255	6887155	1579448	634499	325269	205042	216860	171086	158617	87452	102010	81481	35752	59031	36687	36968	50194	20913	17585	43286	28981	9055	16567	32214	9327	5181	9162	24431	10793	5395	1597	473	16022	11203	3563	221	62	9965	11440	634	210	85	6119	9364	1559	518	231	76	24	16429
moss_0.001_1x_25.hist	52407442	10278473	1794659	768056	426692	266138	274235	134735	75599	86485	100881	113995	112687	62292	32233	10255	7438	9929	20903	51453	97188	35971	15586	4559	267	147	32	9	2	0	24290	48579	31169	3594	1142	70	19	9	0	0	0	0	0	0	0	0	0	0	0	56988
moss_0.001_1x_20.hist	55091427	10891699	1876783	804080	448095	279984	337969	166048	85748	98095	114424	129298	61805	34164	17678	16316	25879	34548	72731	70367	45642	14262	6179	1807	105	57	11	2	1365	19120	75546	22446	8977	1034	328	19	4	1	0	0	0	0	0	0	0	0	0	0	0	62691
moss_0.001_4x_20.hist	54639639	12487874	2093896	892127	489339	302922	226800	111429	152434	174383	142212	70134	26925	44457	55159	71754	41363	17233	13570	33403	63095	19716	8542	5713	12207	39061	27811	8955	2984	1491	1704	3408	40241	4641	1475	91	25	12	13674	15091	5029	2060	1092	408	67	21	8	1	0	34479
moss_0.0_2x_25.hist	50623906	10701159	1908887	814369	448384	278206	234972	115444	103975	118947	138748	147396	56588	31281	16186	18628	29547	39444	78235	42593	27627	8632	3739	3229	6900	22081	52553	25149	8382	4190	1240	367	146	15	4	0	35659	20561	4111	227	74	29	14	4	0	0	0	0	0	39053
