sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.001_1x_30.hist	85387385	2665837	515125	211118	102502	63226	53564	47847	47190	24066	11651	7174	9973	16466	20429	12251	7061	2941	466	253	297	485	2304	4479	9570	5315	1199	385	127	62	17	4	1402	4207	3855	239	67	36	6	0	0	0	0	0	0	0	0	0	0	7259	97046856
rotifer_0.01_2x_17.hist	93517215	2472611	522792	187543	104227	65651	63450	50678	19953	10175	7274	8219	11426	18865	10691	3400	1959	815	210	517	976	1597	7589	8263	485	268	59	18	5	1	22	5	1	0	5552	1553	445	242	47	1	0	0	0	0	0	0	0	0	0	3933	100915339
rotifer_0.0_4x_30.hist	85425884	3128878	593129	236668	113974	72067	75955	57979	22828	22476	26217	24433	9379	7022	8712	12605	9982	4158	2618	6444	4179	1305	1418	2757	5890	3373	760	243	128	1798	4173	1239	494	56	16	0	3398	1852	369	19	5	1	2452	918	152	49	21	6	1	2282	100158639
rotifer_0.0_1x_17.hist	86568419	4854530	601381	255012	142233	88913	120846	59372	23377	11921	6874	7767	10798	17828	22120	27332	15755	6563	1043	566	366	113	48	13	0	0	0	0	1266	17725	5251	1559	622	70	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9927	101053988
rotifer_0.01_8x_17.hist	90728567	2257057	425403	168649	81830	51435	51502	25302	22984	26293	12729	6277	7448	12298	6908	2369	3758	5015	3129	1702	1478	2419	3494	1021	657	2103	1790	575	190	94	3308	982	391	44	13	0	0	3339	666	36	11	3	0	0	0	0	0	0	0	11360	89119147
rotifer_0.0_4x_17.hist	89732210	4120522	702235	274939	145941	88414	58749	52479	56474	28801	13943	15755	21904	18170	9401	2990	3967	5295	11148	7356	4770	1489	644	1081	2310	7391	4101	1319	438	218	63	17	1031	3093	4559	283	80	42	7	0	0	1797	2062	772	127	41	17	4	0	3668	101477986
rotifer_0.001_1x_17.hist	90163149	3733831	837525	292805	154384	99065	43807	39131	59107	67618	35459	17486	6712	3709	1918	2775	4401	5874	12367	13162	8536	2666	1154	336	18	9	1	0	590	8267	7601	2257	902	103	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9503	100160169
rotifer_0.01_1x_30.hist	90194574	1725189	331113	138578	72055	42982	25650	12601	14742	16864	19670	22227	13187	7288	3770	1198	883	1178	2480	6105	8998	2811	1217	355	19	10	1	0	184	2583	977	289	114	12	2	4079	1171	638	126	6	1	0	0	0	0	0	0	0	0	3361	97836940
rotifer_0.0_8x_17.hist	86221812	3330757	632268	250991	122434	77158	77102	37880	33883	38762	18766	12022	16714	14269	7382	9920	8512	3545	2305	5675	9774	3053	1322	459	980	3136	6021	1938	645	321	94	27	4417	2105	669	40	10	4	607	3205	1067	436	230	85	13	3	0	0	0	14285	86530062
rotifer_0.001_2x_30.hist	85862015	3137721	577137	226569	120301	72899	33840	30228	45659	43972	21289	10498	4399	7263	9010	13038	16015	6672	1060	576	566	926	4399	8553	2525	1401	315	100	32	15	2087	4173	4175	480	151	8	1	0	0	1515	2360	966	511	190	30	9	3	0	0	3928	100069863
rotifer_0.001_8x_17.hist	86541597	3466830	599698	244652	116901	73776	80314	39458	25963	29701	32388	15972	6269	10350	12841	10365	5974	2811	5916	3686	6961	3447	1492	2901	3704	2056	463	148	2378	1188	2921	2314	924	105	32	1	0	2295	3378	186	61	24	11	3	0	0	0	0	0	5568	87216462
rotifer_0.0_2x_30.hist	85471382	3251664	592838	242174	116246	71438	45257	40427	61065	35710	17289	8525	10488	17317	8960	3832	6077	8112	10026	5457	3539	1105	477	815	1741	5573	5479	1763	586	292	85	24	543	1629	5262	327	93	49	8	2715	904	369	195	72	11	2	0	0	0	4741	100311819
