sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.06_8x_20.hist	96826193	1491739	297632	111447	56576	34791	27095	20486	8648	9892	9973	4917	3335	5506	5309	1688	2357	3146	3322	1807	1171	778	3694	2621	153	362	861	2296	1734	866	255	74	1065	2073	658	40	10	4	2132	359	118	47	24	8	340	954	426	141	46	26
moss_0.06_2x_25.hist	97379533	1513332	326282	116057	63562	39989	37964	19635	7730	5031	5868	6630	9217	7392	3824	1215	699	591	1244	3062	5784	2555	1106	322	173	554	1319	3517	1711	854	252	73	28	2	143	3893	1118	609	120	5	0	0	0	0	0	546	1238	411	136	80
moss_0.06_4x_30.hist	96909693	1447935	284433	108687	52518	33036	28290	13898	10466	11972	9101	4487	3719	6141	4309	1707	2708	3614	3115	1695	1098	472	2245	4365	850	471	105	32	3383	2027	599	177	69	7	1873	1323	379	206	40	1	0	1123	787	294	48	15	5	0	0	1481
moss_0.06_1x_30.hist	97496216	1508597	341579	119330	62798	39977	24508	21892	22269	11356	5497	2710	1969	3251	4032	5834	8213	3421	543	294	190	68	323	628	1342	4294	6268	2017	671	334	98	28	10	0	0	0	1766	2340	467	24	7	1	0	0	0	0	0	0	0	2763
moss_0.06_4x_20.hist	97885721	1689713	311194	116003	61986	37728	16770	11674	17633	12999	6293	3102	4312	7119	5135	1633	2454	3276	984	2422	4575	1961	848	247	438	1403	3339	2583	860	429	126	36	400	1200	3184	198	55	29	4	0	0	796	1149	430	70	22	9	2	0	1172
moss_0.06_1x_23.hist	97255220	1208721	252255	96065	52525	32451	28160	13834	5446	3533	4120	4655	6471	10683	8201	2608	1502	625	99	242	457	748	3555	6911	2387	1325	298	95	30	14	3	0	878	2635	4233	263	74	39	6	0	0	0	0	0	0	0	0	0	0	2805
moss_0.06_8x_23.hist	96835790	1434084	291745	108717	56263	34445	25727	20932	8591	9827	10029	4945	3352	5534	4802	1736	2752	3674	1442	1625	3069	1719	743	1314	2807	1558	350	112	2462	1871	553	163	445	1334	1355	83	23	1200	637	34	10	3	568	1002	166	54	23	6	1	1013
moss_0.06_1x_25.hist	97349499	1198353	258537	104287	47831	29236	19523	17439	17058	8698	4210	2075	2728	4504	5588	8085	5471	2278	361	195	126	128	609	1184	2529	7517	1696	545	180	89	25	6	1	0	5269	805	230	124	23	0	0	0	0	0	0	0	0	0	0	2845
moss_0.06_4x_25.hist	96983042	1500656	291902	109079	57666	34936	22011	19661	15084	7691	5770	6519	6828	3773	1964	2841	4505	2224	1326	3263	3135	978	448	871	1861	4075	919	295	97	47	3339	991	395	44	13	115	2275	1240	247	12	3	0	0	475	658	218	97	31	9	1141
moss_0.06_8x_25.hist	96695288	1444732	289252	108721	54603	33755	28472	17187	9079	10386	9299	4585	4980	4885	2557	3699	3851	1603	1347	3315	2149	670	1804	3508	812	450	742	1978	1507	752	761	1522	710	80	330	1655	474	258	50	239	1044	427	225	83	246	396	176	57	18	529
moss_0.06_1x_20.hist	96125744	1160708	255737	100098	45967	28750	18895	16877	25493	13000	6293	3102	1190	1834	2275	3291	5219	6967	1257	683	442	330	1568	3049	4069	2259	509	163	53	25	6	0	1174	3522	3425	213	60	31	5	0	0	0	0	0	0	0	0	0	0	2632
moss_0.06_8x_30.hist	96826703	1459498	288008	108573	54598	33749	26542	13747	14889	7592	7950	7554	2899	4516	5358	1703	2349	3134	2566	1396	1668	2729	1181	1125	2404	1375	666	1775	1083	540	2036	604	240	26	1588	1043	299	162	31	627	959	392	207	76	11	2	828	275	90	235
moss_0.06_2x_20.hist	97699955	1427698	300576	114609	51999	33149	22154	19789	22247	11345	5492	2707	2649	4373	5425	3568	2055	1238	2606	4830	3132	977	422	200	427	1367	3253	3377	1124	561	165	48	18	1	1520	2473	710	386	76	3	0	0	0	0	0	1747	817	271	89	52
moss_0.06_4x_23.hist	97100142	1508991	291856	110404	55814	34163	23575	21058	13303	6783	7912	8939	3876	2339	2902	4198	4840	2015	900	2216	4185	1306	565	757	1618	4191	945	303	100	49	1161	2321	2298	264	83	4	0	0	428	1896	631	257	135	49	7	1	0	0	0	1790
moss_0.06_2x_30.hist	97207585	1426851	306599	110426	61031	37953	23384	11488	8259	9447	11019	9550	3665	2025	1863	2695	4274	5705	1350	734	475	503	2389	4645	1954	1084	243	77	167	2348	3208	952	379	42	12	0	0	0	799	2122	706	288	152	56	8	1	0	0	0	1653
moss_0.06_2x_23.hist	97088460	1412437	292639	110483	52802	33361	31420	22297	8778	4476	4939	5580	7757	9046	4680	1488	856	436	918	2259	4266	5146	2229	651	75	241	572	1526	3519	1758	520	153	60	5	0	0	0	984	3948	218	71	28	14	4	0	0	0	0	0	1635
