sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.0_1x_23.hist	54596240	8789450	2038542	746837	427061	272153	279963	250086	267574	136462	66070	32583	28276	46688	57926	83822	68333	28471	4528	3158	5964	9763	46377	90178	5303	2945	664	212	69	33	9	1	67262	16985	5403	336	95	51	9	0	0	0	0	0	0	0	0	0	0	58841	105763549
moss_0.001_2x_novaseq_profR.hist	51111674	11561899	1916488	821060	457502	285837	305410	150051	89011	101828	118779	134219	59408	32839	21551	31185	49466	66035	31510	17154	11126	5190	24651	47932	27756	15419	3480	1119	2620	36690	10870	3228	1290	147	46	1	25703	19850	3969	219	72	28	14	4	0	0	0	0	0	42141	112683221
moss_0.0_1x_20.hist	55152341	10419163	1895052	811601	451790	282112	392008	192598	75834	60094	70097	79209	110124	97088	50239	15984	12361	16501	34738	85509	55464	17331	7509	2196	128	70	14	3	1769	24769	74351	22091	8835	1018	322	19	4	1	0	0	0	0	0	0	0	0	0	0	0	66473	106535673
moss_0.001_8x_MiSeqv3L250R.hist	54665579	6991628	1559238	644095	321192	203359	285817	140425	116614	133405	85300	42067	58287	68624	35510	22744	36076	48160	30238	16462	16085	26333	32621	9544	3175	10161	22725	7317	10616	5307	1571	1455	25551	2946	936	57	15	10706	12666	702	233	94	49	14019	2335	777	347	114	37	14523	87910241
moss_0.0_2x_25.hist	50412681	11025705	1935615	827230	457812	284909	255156	125361	97191	111185	129694	146553	56265	31102	17276	24998	39652	52934	65388	35599	23090	7214	3125	3580	7650	24480	58261	23539	7845	3921	1160	343	136	14	3	5881	34208	18658	3730	206	67	26	13	3	0	0	0	0	0	41056	110106220
moss_0.01_1x_20.hist	64174216	10779159	1520031	652487	365556	229092	302771	148755	64252	73504	85739	80413	30872	17065	20651	29882	47398	63275	36343	19785	12833	4009	1736	507	28	15	2	0	2570	35991	34456	10237	4093	471	148	8	1	0	0	0	0	0	0	0	0	0	0	0	0	45467	109559495
moss_0.0_4x_MiSeqv3L250R.hist	51410346	10584288	1911553	813950	445708	275626	210387	106477	160834	183994	114607	56520	31108	51364	63728	64283	37056	15439	11270	27742	52401	35758	15494	17717	9208	5114	12171	32457	16307	8152	2414	716	3812	11435	21906	1368	392	213	41	20488	6935	2841	1507	564	93	30	12	3	0	30416	96557083
moss_0.001_4x_23.hist	53546647	8963904	1750575	740032	396740	242022	205457	183531	207914	106035	52074	58842	81808	73640	38105	18390	29170	38940	51605	28095	18223	6622	31455	34021	2000	2812	6692	17846	22932	11465	3396	1008	402	45	28129	5905	1696	924	183	9	11620	8420	4468	1674	278	91	40	12	3	23375	102485258
moss_0.001_1x_23.hist	52459085	9570548	1680550	721174	403716	252893	401280	197153	77628	39589	39370	44487	61849	102123	126707	47423	27337	11389	1810	3043	5748	9409	44696	86908	5111	2838	639	205	67	32	8	1	61873	14827	4716	293	83	44	7	0	0	0	0	0	0	0	0	0	0	51923	103084193
moss_0.0_8x_25.hist	53050212	6757377	1549999	622119	319407	201525	240234	145536	171337	87381	79540	89880	38744	45468	56413	33452	28400	37913	38471	20944	13584	19157	40809	11940	3630	11615	22884	7368	2455	9920	14392	4275	3371	10113	8838	551	157	5983	12151	674	223	90	10392	6333	1054	350	156	51	16	16999	98575854
