sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
club-moss_0.0_4x_20.hist	93500597	32519833	5049711	1808088	1001799	625341	298702	146755	111619	127691	148948	75063	28818	33788	41921	60662	52287	21785	4289	10557	19941	32646	36039	10544	1182	3783	9003	24007	15376	7687	2276	675	5900	17700	5631	350	99	53	9905	13970	4655	1907	1011	378	62	19	7	1	0	25108	190597907
club-moss_0.01_8x_25.hist	128037954	16935577	2470706	944549	470378	293819	153345	136980	112516	57382	66934	54573	25854	42689	32998	13994	22197	29632	15599	10640	9177	15024	17252	5047	1738	5563	13239	8780	2925	1461	3208	6416	4636	5743	1826	113	31	9250	3981	220	72	28	3549	7137	1188	395	176	57	18	10091	199509684
club-moss_0.0_4x_HiSeq2500L150R.hist	98465237	33258717	6034566	2128307	1145921	719365	444789	218530	91036	104144	121480	137272	52701	29132	27224	39394	62487	48661	7740	4757	8985	14709	68875	20152	1184	657	1370	440	21644	35558	10534	3129	1250	143	44	1	0	18430	26104	1449	482	196	103	37	5	0	0	0	0	30545	193662425
club-moss_0.001_8x_25.hist	93542568	27074811	3612955	1381369	695994	434786	208338	186105	136451	78840	91964	71852	34463	56903	31509	41025	23649	16556	34854	19195	12449	15981	24337	7120	6056	19379	9982	3213	1434	20087	7536	2238	894	102	18709	1168	334	181	11370	3449	1148	469	248	10161	1692	563	251	82	26	13305	193118356
club-moss_0.01_4x_novaseq_profR.hist	129749425	14650342	2520767	909564	504080	313964	154048	75913	114667	97576	47243	25015	34778	57424	34766	11061	14498	19353	26035	14173	9192	2871	10528	20471	7183	3989	899	288	15138	7568	2241	665	265	29	11131	6439	1850	1008	200	10	2	8125	4312	1616	268	88	38	11	2	14061	197541723
club-moss_0.0_1x_23.hist	101730956	11675819	2415362	859376	470894	298594	217959	194699	129855	66225	32063	16200	22522	37187	46139	66765	44048	18352	2918	1588	1384	2266	10763	20928	28013	15561	3512	1130	375	186	54	15	2150	6450	32083	2004	575	312	61	2	0	0	0	0	0	0	0	0	0	32480	163324246
club-moss_0.001_2x_20.hist	106684718	14907812	2909802	1030912	560348	355812	224136	200217	149853	76424	37001	27463	38181	63043	78219	24887	14345	5976	4125	10154	19178	31397	31524	9223	541	299	66	20	25783	13783	4083	1212	483	54	16	0	4621	21097	4218	233	76	30	15	4	0	0	0	0	0	26769	168380845
club-moss_0.001_8x_23.hist	93297344	28621467	3878322	1468958	745099	464042	217830	185423	156373	79749	77088	87108	43813	37863	46978	33459	28640	15553	32743	23953	15536	4854	20656	28242	2027	6486	15437	13463	4486	2242	13168	8058	3222	370	13345	2432	698	379	13531	750	249	101	7555	5768	960	319	142	46	14	14869	190325723
club-moss_0.001_2x_HiSeq2500L150R.hist	103403011	28768168	5347450	1877996	1001466	634576	344555	307786	217841	111098	53790	26527	35027	57835	71758	78529	45268	18861	2999	7382	13944	4973	11955	23245	49672	27594	6230	2005	667	332	97	27	10	0	35023	20646	5934	3236	646	34	10	3	0	0	0	0	0	0	0	39492	199871026
club-moss_0.001_2x_novaseq_profR.hist	103690965	15145306	2936861	1038106	561585	356473	219463	196042	134455	68571	33199	36329	50507	77619	40164	12778	7787	10394	21882	34322	22262	6955	5066	9850	21048	11692	2639	848	281	139	21506	10264	4104	472	149	8	1	0	20144	3256	1084	443	234	86	13	3	0	0	0	23360	176815995
club-moss_0.01_4x_HiSeq2500L150R.hist	135395719	19959300	3433401	1246617	689119	428584	300578	147677	76813	87873	102501	82204	31559	19635	24361	35251	55628	23177	3686	5080	9596	15709	37694	11029	647	1071	2549	6796	15483	7740	2292	4584	10918	1258	399	23	5	2	12355	8700	2899	1187	629	234	38	11	4	0	0	20555	199164951
club-moss_0.0_1x_MiSeqv3L250R.hist	103105637	8336221	1928459	682128	345707	221561	124972	111635	168625	140720	68132	33600	12899	9910	12295	17790	28218	37670	31909	17371	11267	3519	4535	8817	18841	10466	2362	759	252	125	36	9	19516	17884	5689	354	100	54	9	0	0	0	0	0	0	0	0	0	0	35554	152717433
club-moss_0.001_4x_20.hist	95515557	33362375	5212146	1869544	1029603	638926	246391	121055	158206	180987	90335	44550	38445	63479	78760	33400	19253	11473	24154	45159	29291	9152	3965	5892	12590	40289	12225	3936	1311	654	6955	13910	24266	2798	889	54	14	7	5164	18152	6049	2478	1314	491	80	25	10	2	0	25655	197098360
club-moss_0.001_8x_novaseq_profR.hist	93375454	27207561	3638492	1387821	700792	436374	261872	132187	166502	84915	75454	73875	36417	60129	31114	29496	37907	15793	15205	33355	21635	6759	11218	21812	13405	7446	5227	13938	11024	5511	1631	3146	16756	1932	613	6567	3928	2141	9106	504	167	67	7093	6730	1120	372	166	54	17	14445	196610900
club-moss_0.0_2x_HiSeq2500L150R.hist	100679721	28187176	5324320	1867164	992272	629078	333872	298243	213509	108888	52720	32655	45399	74961	52656	30256	47991	64066	10191	5547	3597	2409	11444	22251	47547	32157	7260	2337	778	388	113	32	905	2714	54284	3391	974	530	105	4	0	0	0	0	0	0	0	0	0	42356	195861594
club-moss_0.0_8x_novaseq_profR.hist	88471300	28667578	3830208	1452717	746774	461698	281478	174506	112833	129080	70813	52912	71865	47760	24713	30398	48217	20089	9262	22799	31348	9795	9419	18314	14441	8021	11864	11337	3778	13492	5067	1504	8734	10274	3268	203	298	14627	2924	161	52	20	11477	4303	716	237	105	34	10	14624	195499083
club-moss_0.001_4x_MiSeqv3L250R.hist	96158739	28111995	4068917	1486948	819689	508955	216088	106166	134631	154016	93398	46061	42093	54945	28431	35048	55593	23162	4731	11646	21998	36013	18145	5308	2488	7962	18948	18882	6293	3145	931	275	6311	18933	6023	375	106	57	10	15685	5964	2443	1296	485	79	25	10	2	0	23015	181305054
club-moss_0.01_8x_novaseq_profR.hist	128027316	16880933	2441903	934291	465981	290457	155609	139002	108960	58904	68709	37517	51755	28609	21594	31247	27151	11311	18842	18102	11741	4048	19229	11553	1168	3737	8894	12308	4101	2049	1686	3371	11549	1331	422	25	4763	8180	1635	89	28	10	5860	5351	890	295	131	42	13	10740	201226883
club-moss_0.01_2x_HiSeq2500L150R.hist	139118471	13609550	3022819	1061237	565456	357841	262878	234825	158814	80994	39214	19338	24321	40157	49824	54636	31495	13122	2086	4675	8831	14457	18146	5308	8967	28694	6478	2085	694	346	101	29	10	0	22968	11121	3196	1742	347	18	5	1	0	0	0	0	0	0	0	29407	192199265
club-moss_0.01_2x_novaseq_profR.hist	132834574	11440335	2423339	852563	456506	289213	197543	176462	102622	52336	25824	29180	40568	66984	34661	11027	7085	9458	19910	26567	17232	5384	2332	2352	5027	16085	10493	3378	1125	561	5119	10238	4525	521	164	9	1	0	14582	4397	1464	599	317	117	18	5	1	0	0	19046	191564386
club-moss_0.0_4x_23.hist	90465029	30249074	4333313	1587546	864706	532984	188423	168315	195405	99655	55078	62238	86528	54889	28402	17342	27507	36721	37755	20554	13331	4165	15889	30895	16273	9039	2219	5916	18221	9109	2698	800	16616	11001	3499	217	61	32	5	18586	6194	2537	1346	503	82	26	10	2	0	21884	194052713
club-moss_0.01_1x_MiSeqv3L250R.hist	134715613	9376941	2161302	772946	361836	232005	112860	100815	152283	138717	67162	33122	12715	7230	8970	12979	20586	27481	45911	24995	16212	5065	2193	640	36	19	3	0	565	7918	33900	10072	4027	463	146	8	1	0	0	0	0	0	0	0	0	0	0	0	0	35887	183836951
club-moss_0.01_4x_MiSeqv3L250R.hist	131239306	16306189	2710544	985290	542231	336334	165909	81512	106952	116336	56326	27778	26616	43947	54526	17348	9999	10983	23121	28732	18636	5822	2522	2685	5737	18360	13891	4472	1489	743	821	1642	14031	6529	2076	128	36	18	2	8343	6058	2482	1316	492	81	26	10	2	0	18039	188319966
club-moss_0.01_8x_23.hist	127880250	17697425	2536733	979765	479856	300769	194745	105658	130877	66746	52051	58817	30836	44791	23177	22052	34978	15371	7887	19414	21491	6715	6909	13433	6601	3785	9008	10797	3598	1798	6656	1976	2623	7869	4010	249	70	1076	12307	682	226	91	47	7880	2085	694	310	102	33	10040	197277586
club-moss_0.001_2x_MiSeqv3L250R.hist	105045551	13719573	2653525	944409	517798	328351	224692	200714	120708	61560	30620	34599	48103	79425	47577	15137	8725	3874	8156	20076	37920	30820	13354	3906	228	126	27	7	12596	27471	8138	2417	965	110	34	1	0	0	22488	1248	415	169	88	32	4	0	0	0	0	25296	161427522
club-moss_0.0_8x_20.hist	91258660	30514443	4372621	1609617	870601	534227	237276	211955	162888	83072	81192	91746	52312	39078	48485	40536	23367	18793	39565	21539	13970	7187	34138	12777	3096	9906	23577	12587	4194	2096	6054	12108	11993	1382	438	4187	11566	6308	1260	69	22	7599	8080	3029	503	166	73	23	6	17354	175426877
club-moss_0.001_2x_23.hist	106027589	13682254	2777072	982174	531957	337446	221760	198094	126080	64300	32205	36391	50594	73483	38024	12097	8748	11677	24584	36419	23622	7380	3197	2908	6213	19881	12637	4068	1355	676	17751	5273	2108	242	76	3	0	7043	19093	1059	352	143	75	27	3	0	0	0	0	22881	170376972
club-moss_0.001_8x_MiSeqv3L250R.hist	93911892	28282587	3810203	1451273	727283	455845	211318	171120	163241	83252	78021	88163	33847	44851	55648	25288	22391	29890	30877	16809	10902	8527	37911	11092	1724	5518	13131	20802	6933	3465	1025	303	21214	5855	1862	115	32	12918	4067	224	73	2557	9282	3479	578	191	85	27	8	15626	170578807
club-moss_0.0_2x_25.hist	100714727	14794391	2923974	1032044	556624	353601	212439	189768	146668	74799	36215	29235	40645	67111	58393	18578	10709	5736	12076	29725	29983	9368	7652	14879	12490	6938	1565	503	792	11089	21920	6512	2603	299	94	4	0	0	18504	4571	1522	623	329	122	19	5	1	0	0	23302	171777696
club-moss_0.001_4x_23.hist	93451260	30088049	4148299	1562115	779579	490360	311355	152972	124070	141935	68720	44833	62331	73302	37930	15029	23839	31824	38241	20819	13503	4218	15001	29169	17364	9645	2177	700	11981	21775	6450	1915	765	87	22153	1383	396	215	42	9682	8912	3651	1937	725	119	38	16	4	0	21385	197421880
club-moss_0.01_1x_23.hist	133810176	9699682	2234011	780669	403714	257241	155108	138555	172411	87929	42572	20994	9007	14872	18451	26699	42349	49727	7910	4305	2791	2542	12077	23482	1380	765	171	54	17	7	4964	9927	28675	3307	1051	64	17	8	0	0	0	0	0	0	0	0	0	0	0	34666	184835670
