sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.0_8x_HiSeq2500L150R.hist	85769968	3443153	616151	249432	119478	75428	81798	49981	24380	27890	31590	15578	8437	13931	7684	7848	12448	5185	1499	3690	6970	5201	2252	658	1114	3563	3944	1269	422	210	1414	2828	3063	352	111	5	0	2269	2620	144	47	18	8	2	1851	803	359	118	38	1428	96507510
rotifer_0.001_1x_25.hist	87911009	3849632	827931	291574	156490	99853	54945	49080	73332	37398	18106	8928	3427	5433	6740	9753	15469	20650	3284	1787	1158	360	492	956	2042	6535	2660	855	284	141	40	11	2369	7108	2260	140	39	20	3	0	0	0	0	0	0	0	0	0	0	8763	102588976
rotifer_0.01_1x_25.hist	90772895	1952011	409801	163931	72838	46142	25786	23033	34791	39800	19399	9566	3671	2028	1116	1614	2560	3417	7192	9420	6109	1908	825	240	13	6	0	0	0	0	0	0	8005	2054	652	39	10	4	0	0	0	0	0	0	0	0	0	0	0	4175	98970757
rotifer_0.0_8x_novaseq_profR.hist	85417605	3100214	608149	236540	118376	74313	68219	33516	47129	26497	15062	17019	18711	10342	6063	8773	8566	3568	5601	6286	4076	1272	3091	6009	1140	632	1293	3448	1415	706	1156	2312	1358	155	995	361	2550	1390	277	14	3	0	1952	1270	210	69	30	9	2	2447	99470548
rotifer_0.01_1x_novaseq_profR.hist	90276741	1948154	417024	152928	85778	53791	69315	34054	13408	8440	9844	11122	15463	14861	7689	2445	1408	586	248	609	1150	1883	8943	7817	458	253	56	17	4	1	0	0	0	0	6698	417	119	63	11	0	0	0	0	0	0	0	0	0	0	4283	98501865
rotifer_0.0_4x_25.hist	85371551	3297911	600222	242346	115805	73244	75765	60243	23719	21483	25059	26525	10182	6530	8101	11722	9384	3909	1803	4438	8382	2618	1169	2272	4855	2696	607	194	309	4327	2799	830	331	37	200	3057	877	477	94	4	474	2395	1270	475	78	25	10	2	0	2898	99562530
rotifer_0.001_8x_MiSeqv3L250R.hist	85958880	3098486	588984	231683	114224	71849	69273	34033	45521	23214	16601	18758	16881	9331	5108	7390	11722	4883	1596	3928	7419	4143	1794	760	1624	5197	1172	376	181	2536	2999	890	355	39	186	3411	979	533	105	4	0	1769	1302	487	80	25	10	2	410	2321	96889407
rotifer_0.001_4x_25.hist	86231734	3051276	583505	229711	112861	71168	81032	41450	24592	28132	29264	14431	7415	12243	15157	4821	3316	4425	9316	5437	3526	1100	1450	2819	4748	2636	594	190	2652	1325	438	875	4055	466	147	8	1	0	5011	324	107	42	21	7	0	0	1707	1482	493	294	99642331
rotifer_0.01_1x_HiSeq2500L150R.hist	91498723	3245201	394298	166721	93405	58534	80670	52827	20800	10607	5134	2710	3767	6220	7716	11165	17709	7939	1262	686	444	137	58	16	0	0	0	0	7027	6414	1899	563	224	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5769	101834440
rotifer_0.0_8x_MiSeqv3L250R.hist	85457860	3179815	610992	240124	118054	74394	76824	37744	45387	23146	19586	22131	10747	12343	7003	10132	8468	3527	2802	6898	4473	1397	6329	2216	456	1459	3472	1323	440	4011	1187	351	139	15	4538	517	147	79	14	2355	1065	435	230	85	496	820	366	121	39	1979	96730741
