sample	rotifer_0.06_1x_20	rotifer_0.06_1x_23	rotifer_0.06_1x_25	rotifer_0.06_1x_30	rotifer_0.06_2x_20	rotifer_0.06_2x_23	rotifer_0.06_2x_25	rotifer_0.06_2x_30	rotifer_0.06_4x_20	rotifer_0.06_4x_23	rotifer_0.06_4x_25	rotifer_0.06_4x_30	rotifer_0.06_8x_20	rotifer_0.06_8x_23	rotifer_0.06_8x_25	rotifer_0.06_8x_30	rotifer_0.0_1x_17	rotifer_0.0_1x_20	rotifer_0.0_1x_23	rotifer_0.0_1x_25	rotifer_0.0_1x_30	rotifer_0.0_2x_17	rotifer_0.0_2x_20	rotifer_0.0_2x_23	rotifer_0.0_2x_25	rotifer_0.0_2x_30	rotifer_0.0_4x_17	rotifer_0.0_4x_20	rotifer_0.0_4x_23	rotifer_0.0_4x_25	rotifer_0.0_4x_30	rotifer_0.0_8x_17	rotifer_0.0_8x_20	rotifer_0.0_8x_23	rotifer_0.0_8x_25	rotifer_0.0_8x_30
rotifer_0.06_1x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05935720773877639	0.05947546178363096	0.05987587451557526	0.06044972533853317	0.06058449713198923	0.05971457991952298	0.06057204632208534	0.06051166911465972	0.06128376293296961	0.0616423554376719	0.06004754331761988	0.060633621429185144	0.061409986416391525	0.061268766309435355	0.06178994529603776	0.060009227759125934	0.06045325540265975	0.06082844977790176	0.06133091411221085	0.06172938362713913
rotifer_0.06_1x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058144305709279295	0.05895182965541358	0.06004823032588045	0.06000396022113601	0.05989947116559793	0.05977393984500361	0.060132462307123345	0.06046091848896286	0.060990576017059185	0.06119775526396879	0.05957957454851257	0.06086071496217544	0.061342854729412026	0.06115291577459914	0.06159861252244425	0.05999434101824583	0.06083677240147048	0.06086031726937864	0.06115876924523934	0.06162787896388356
rotifer_0.06_1x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058368042863005364	0.058794784364755236	0.05968459809855262	0.059695183094830885	0.05961827375143891	0.059771644806507755	0.06028167324700062	0.060733199322180235	0.06097320990774866	0.06128909898666995	0.05986197037517562	0.061076314014831795	0.061295156554181156	0.06130589989970707	0.061879903369197756	0.05968490825376353	0.060972970119525106	0.06153146516819441	0.0614173399494452	0.06180107030730912
rotifer_0.06_1x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05736968537405302	0.058057989260065036	0.058867631421489604	0.058867676538498885	0.059184093400947935	0.05815047816678071	0.05859185278575007	0.05933236939664403	0.05979492664283444	0.060314399647193984	0.05804301455026191	0.05933700818856816	0.05987617892801972	0.05989673662353167	0.060440461772187086	0.058661379976289396	0.05902643277306039	0.05955523249791485	0.05973962990336255	0.06023015500239129
rotifer_0.06_2x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057780555387501015	0.058484706970193916	0.05991052724638452	0.0598796504423149	0.05959697654210457	0.059406684585548056	0.0600767727566836	0.06029416668424084	0.06091105711493522	0.06103283407749597	0.059351424637053986	0.06065575779113975	0.06103441043613715	0.06117047838494203	0.06130684389564395	0.059164078025311914	0.059860173605880154	0.06055322005025098	0.0609919595341982	0.06132162513666071
rotifer_0.06_2x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05811077885961605	0.05828317674617725	0.059638631032444066	0.05958132800079369	0.059465291816869915	0.058985299650518005	0.05971776272139054	0.060185506244267425	0.06045592558283628	0.06071150293989279	0.05934023916404196	0.06069222720148228	0.06090960844942843	0.060861105387211976	0.061295892094847586	0.05900053731022445	0.06020721745170939	0.06078279717473182	0.060974848355072435	0.06117757842260407
rotifer_0.06_2x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05815319711897855	0.057994642789210155	0.059092997134323325	0.05917236391326699	0.058811245501113024	0.05894537444382146	0.05954872597504812	0.05960708048976926	0.060062389132433086	0.060198621830397626	0.05896634725160883	0.060025358078084734	0.060342494909682964	0.06048393541104822	0.06085154385927907	0.05834117464658665	0.05939785916323632	0.0600214024130548	0.060397732992283036	0.06092890588207797
rotifer_0.06_2x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057798800629631	0.05766022015654526	0.05895129071045749	0.05886880931400369	0.059030669436888304	0.058370470699269324	0.05902321184387909	0.059198520305054576	0.059665636455898376	0.05998095963417572	0.058396590845436934	0.05952816878800348	0.05987809928842979	0.06014239958918033	0.060484745204065465	0.0581459109626909	0.05921074887632996	0.05985900943225113	0.06006726036316181	0.060480528866461124
rotifer_0.06_4x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05800165858014457	0.058383603357253434	0.059424054889915943	0.05898480516206556	0.05960440702272313	0.058389413437410595	0.05919653284585053	0.05979777336839318	0.06039496678445609	0.06047979431568363	0.05851210372358822	0.05964254484200368	0.06010261649149441	0.060472946596013766	0.06070878473747303	0.058167778975947	0.05934614080209191	0.060015321834389186	0.060142560927540126	0.06074915769536802
rotifer_0.06_4x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057341641262895385	0.05721755037218214	0.0588330948410216	0.05871155062625811	0.05883311310595924	0.05825003420998585	0.0590114260154782	0.05945940785679552	0.05964725117663819	0.0596784820014159	0.058510703215873025	0.059353531490292114	0.05991817070049732	0.0600861599791382	0.06030609317648741	0.05792397992191701	0.05851055768988131	0.05940895377418983	0.05981631389554601	0.06041654881284816
