sample	moss_0.06_1x_20	moss_0.06_1x_23	moss_0.06_1x_25	moss_0.06_1x_30	moss_0.06_2x_20	moss_0.06_2x_23	moss_0.06_2x_25	moss_0.06_2x_30	moss_0.06_4x_20	moss_0.06_4x_23	moss_0.06_4x_25	moss_0.06_4x_30	moss_0.06_8x_20	moss_0.06_8x_23	moss_0.06_8x_25	moss_0.06_8x_30	moss_0.0_1x_17	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_30	moss_0.0_2x_17	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_30	moss_0.0_4x_17	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_30	moss_0.0_8x_17	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_30
moss_0.06_1x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05450539575166091	0.05817972693461301	0.06004135910192484	0.060435730038573096	0.06220896896787358	0.05732885589058103	0.060958309220763805	0.06260955214939537	0.06353868254255234	0.06474639980848186	0.0597833356054916	0.0618530669412809	0.06323371990422923	0.06465012438736317	0.065952089791207	0.057662138868403254	0.060136722175596076	0.06240681149452361	0.06341578063934152	0.06575247060048346
moss_0.06_1x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05219927754558577	0.05601812075649745	0.05734357709577321	0.05776132938280609	0.059687535311407434	0.05448734726618009	0.05777549963590545	0.05980128901508712	0.06086310624598096	0.06225227987470831	0.055754684480438715	0.05799014421177118	0.06057834820567664	0.06151934817935016	0.06329010111730231	0.05402820384926346	0.05685467569622841	0.0587298895792445	0.0602261440755332	0.06302164946993118
moss_0.06_1x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051182314312877925	0.05445605098998423	0.0560891277946178	0.05696294398819206	0.05867800174120021	0.0536172409429786	0.056362597377636124	0.05847041829123938	0.059625158482338354	0.061208244877302066	0.05459114967470872	0.05730245674656666	0.05948707583201449	0.06033123247080345	0.06191460453861299	0.05278223071854711	0.05597682999020107	0.057699810674400824	0.0592550882047507	0.061583904595962274
moss_0.06_1x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049115801942725544	0.05271044596324516	0.05464111860924634	0.055079921727598936	0.056637664688180926	0.051514804721857946	0.054709234227719915	0.05670970887494305	0.0578516032224016	0.05922531715439664	0.053117344046008264	0.05542768762637618	0.057238596170873866	0.058446657205411215	0.06012209996387912	0.051832745842575564	0.054093525924538	0.05586282922223004	0.057178405419128955	0.05952747522832706
moss_0.06_2x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05144631016685839	0.05452876295489329	0.056442073062002406	0.056466134284804334	0.05753760447473192	0.05424206723535295	0.056567405635413286	0.05841784635997826	0.059909007951251876	0.060487095153553036	0.05518185678269467	0.05750904444314622	0.05974381292364351	0.060632100035502255	0.06224183785761974	0.05484478995474636	0.05634217309659391	0.058167268648793596	0.05920279506490369	0.06154259413082733
moss_0.06_2x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0506539143292234	0.0533580731650954	0.05481059143526482	0.05536241831288789	0.056052439865493714	0.05370312905510738	0.055739162008715766	0.05727862335256691	0.05841741894127208	0.05943251870627247	0.05453332127985317	0.05671451465426993	0.05860104542726629	0.05934371311805646	0.06084870318266593	0.05428307361083764	0.0555183756074789	0.057096168791381074	0.058463719116813445	0.0601598904485666
moss_0.06_2x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05003117797416628	0.0528387377317945	0.0539436879470954	0.05438943108152417	0.055854592774541224	0.05277998830792606	0.05470773760128979	0.0566757292201446	0.05757879103866788	0.05891785527368465	0.05373011548251685	0.05607097469266669	0.057467282567909915	0.05829295411147465	0.059880773882984684	0.053241218537429906	0.05485628743956271	0.05656488281136086	0.057420288083614365	0.05936929962555726
moss_0.06_2x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049902257226108866	0.052353479630877685	0.05363359297214088	0.05418011055703406	0.05575496163954464	0.05210661597440064	0.05456092484890714	0.056082847233279054	0.05720699916884523	0.058340462804294335	0.05352673100336426	0.05575113574927797	0.05716903747084462	0.05815489044673618	0.059541769597818976	0.05344910861857933	0.054725176080188974	0.056132221281690035	0.05743557354949228	0.059102807372830024
moss_0.06_4x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05270189909617759	0.05594913795375101	0.057303550114284	0.05788030460169067	0.058790403835720526	0.055557948286267346	0.057750100301911966	0.059765110140212574	0.060669209232858644	0.06197526864366206	0.055901300912893484	0.05834878564904328	0.06070807690450145	0.061665822695171554	0.06322319916638743	0.05629049183810985	0.0570973128311158	0.05902010326747798	0.06025839350238631	0.06258950514790705
moss_0.06_4x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05225016850384163	0.05547449757025525	0.056638255724552486	0.05680927538215691	0.05785499673081664	0.05524628097691212	0.05742722948978297	0.058961397288832984	0.06025976748274709	0.06086885784776228	0.0559612654611845	0.05854459177763537	0.06004653150801597	0.06108172080066318	0.062375615224871256	0.05594047709665411	0.05724796262957287	0.05884740838424045	0.0600503473650939	0.062055009802177645
