sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.0_2x_23.hist	51203614	10945266	1953321	833513	459257	285067	247543	121621	95911	109721	127986	144623	77079	42608	22047	15416	24453	32643	68721	55862	36234	11322	4905	2137	4566	14611	34775	37026	12341	6169	1827	541	215	23	6	21667	24318	13263	2651	146	47	18	8	2	0	0	0	0	0	43620
moss_0.0_2x_20.hist	55651863	9797834	2107428	817841	462709	291517	436095	214259	84363	78691	91790	103722	94796	52402	27115	16877	26770	35737	75236	47208	30620	9568	4145	2808	6000	19200	45695	27005	9000	4499	1332	394	156	17	4	42793	12302	6709	1340	73	23	8	3	0	0	0	0	0	0	44978
moss_0.01_2x_20.hist	66727992	8541343	1450607	615305	333177	204589	157375	77320	69359	79345	92553	104584	49693	27469	14213	18383	29158	38925	37072	20182	13090	4089	1936	3764	8042	25734	14914	4801	1599	798	235	69	26	2	28308	12067	3468	1890	377	19	5	1	0	0	0	0	0	0	0	27668
moss_0.001_2x_HiSeq2500L150R.hist	58363502	13364681	2381291	996991	535851	327445	212120	189483	286216	164461	79627	39269	32688	53972	66964	96901	70617	29422	4679	3119	5890	9642	45801	89058	19554	10862	2451	788	261	129	37	10	8543	25628	57997	3623	1040	566	112	5	0	0	0	0	0	0	0	0	0	54750
moss_0.01_4x_novaseq_profR.hist	65984613	5852919	1250157	515072	254600	160214	191747	152538	66606	76197	81422	40154	29424	48582	60277	19178	12286	16400	31505	17152	11124	16453	12018	3515	2006	6419	15276	11960	3985	1991	589	174	5848	12885	4099	255	72	38	6	9126	6349	2601	1379	516	85	27	11	2	0	15854
moss_0.0_1x_MiSeqv3L250R.hist	55457838	7502400	1753875	646732	372454	236919	291369	260275	248879	126927	64205	31663	13997	23111	28674	41492	65815	87860	64627	35185	22821	7130	3089	902	52	27	5	0	2874	40242	58494	17379	6950	800	253	14	3	0	0	0	0	0	0	0	0	0	0	0	0	59212
moss_0.0_8x_novaseq_profR.hist	52857549	6694258	1531718	618776	316409	199733	246749	152575	151642	91482	106710	61577	35876	59236	55377	23108	36653	48930	18934	18211	34398	24359	10554	16671	18750	10415	13267	12525	4174	2086	19884	5907	2361	271	18372	1249	358	194	16522	916	304	123	3359	12219	2035	677	302	99	32	14978
moss_0.01_8x_novaseq_profR.hist	66349754	5389753	1218588	483019	245889	154799	143225	125512	111659	56945	59200	66895	38002	35308	43807	18744	29732	26297	8744	21523	16037	5010	10088	19615	1575	5041	11996	6614	2203	1100	9137	7890	3155	362	114	9363	3359	1831	365	3055	2846	1165	3492	5222	869	288	128	41	12	9937
moss_0.01_4x_MiSeqv3L250R.hist	66196966	6839367	1320108	554801	292220	176806	133004	118810	158295	80729	39086	30844	42882	70805	45944	14617	12892	17210	36231	25490	16533	5165	2237	3830	8183	26185	8511	2739	912	455	4378	8755	13953	1608	510	30	7	3	7200	10871	3622	1483	786	293	47	14	5	0	0	16437
moss_0.01_2x_25.hist	64934805	7756351	1332948	566326	308136	189799	153519	75425	67174	76847	89639	96717	37131	20525	17082	24718	39206	52339	10188	5546	8473	13871	30446	8908	523	289	64	19	29041	14519	4301	1276	509	57	17	0	0	21316	5696	315	104	41	21	6	0	0	0	0	0	25351
moss_0.0_8x_23.hist	53499806	6959551	1591437	639948	328597	207064	207449	185311	158052	80605	94023	91660	35190	42274	52450	45533	26247	25855	47484	25851	16767	8661	41142	17233	2823	9035	21503	13794	4597	2297	17569	7578	3030	348	14410	5825	1673	912	11634	2959	985	402	1261	13294	2214	737	329	108	35	15670
moss_0.01_4x_23.hist	66134590	6557421	1301336	542841	279348	171326	148137	132328	143320	73092	38303	43282	60174	59556	30817	14250	22603	30173	28104	15300	9923	10991	18412	5386	1723	5513	13120	13942	4646	2322	687	203	5274	15323	4874	303	86	46	8	3151	9814	4021	2133	799	132	43	18	5	0	13982
moss_0.01_8x_20.hist	66797670	6251657	1328270	544829	266553	168662	223428	109772	80720	92343	64007	36336	50517	57797	29907	15847	25135	33554	18961	10322	15198	11901	7978	15513	9817	5452	1691	4508	13615	6806	2015	597	2452	7355	8788	548	156	1917	7392	409	135	54	8493	3758	625	207	91	29	8	11091
moss_0.0_1x_HiSeq2500L150R.hist	65640758	10885557	2547613	945733	473212	302886	266878	238398	332165	169403	82020	40449	44400	73311	90959	131420	75758	31565	5020	2732	1771	552	1015	1973	4215	13489	32105	85612	64052	32025	9487	2818	1126	128	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	87422
moss_0.001_8x_20.hist	55245341	8340250	1760552	728683	365690	230125	300789	147781	127817	145799	70591	59322	76933	42527	34984	50623	29181	29460	46801	25479	16526	7979	37901	24809	1731	5540	13186	23187	7728	3863	2482	4964	27640	3187	1013	62	16	8	0	0	0	1	0	0	0	0	0	0	0	0
moss_0.01_2x_MiSeqv3L250R.hist	65454929	8071151	1370071	582077	316687	195054	157460	77361	62964	72030	84020	94941	57410	31735	16421	17139	27185	36290	34428	18743	12157	3798	2704	5257	11234	35948	8116	2612	869	433	127	36	13	0	26152	11394	3275	1785	356	18	5	1	0	0	0	0	0	0	0	28924
moss_0.001_8x_25.hist	54696808	6596181	1510708	605836	311730	196376	194732	173951	155665	79388	85486	81269	31200	49519	61439	22886	32486	43367	31525	17162	32394	10122	15716	30559	4454	3887	9250	24666	9046	4522	1338	396	18568	9292	2955	183	51	8461	10946	607	201	81	1948	12305	2049	682	304	100	32	15504
moss_0.001_4x_23.hist	53642746	8848115	1730750	731978	392952	239927	210882	188377	196642	100286	59162	66852	92365	51058	26420	25399	40287	53782	30255	16471	15988	26174	41168	12045	1639	5243	12479	33277	11091	5544	1641	486	524	1573	36759	2296	659	358	70	2	0	13108	10352	3881	645	214	95	30	9	20280
moss_0.0_8x_HiSeq2500L150R.hist	55934652	22628289	4377386	1658426	934813	587775	523280	257094	180219	206170	212391	104745	51843	85601	106208	76346	44010	18336	28602	70406	45667	14270	9142	17776	37984	56270	12705	4090	2766	38735	28382	8432	3371	387	122	48969	14077	7677	1534	84	27	10	4	33504	15041	5012	2246	747	248	147
moss_0.0_2x_HiSeq2500L150R.hist	60943271	10243347	2345511	869545	498321	316034	375870	335759	217064	110701	53598	29923	41601	68689	85225	95469	55034	22929	3646	2802	5292	8663	41150	80013	35467	19703	4448	1431	476	237	69	19	6	0	77820	4862	1397	761	151	7	1	0	0	0	0	0	0	0	0	53146
moss_0.0_1x_20.hist	56757527	7170421	1676566	626098	357796	226593	337782	287621	113249	57756	67370	76127	105839	70089	36268	11538	7116	9499	19997	49222	92975	29265	12680	3709	217	119	26	7	196	2754	76367	22690	9075	1045	331	19	4	1	0	0	0	0	0	0	0	0	0	0	0	58772
moss_0.001_1x_HiSeq2500L150R.hist	66786188	25038476	5859053	2172961	970652	615973	177565	158616	239591	274091	319718	361281	251027	138766	71806	22846	13169	5486	871	705	1332	2180	10355	20134	43024	137678	157374	50678	16891	8444	2501	742	295	33	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178196
moss_0.001_1x_novaseq_profR.hist	52133560	10102574	1781044	761800	422548	263311	281562	138334	64915	74262	86624	97884	130296	72026	37270	11857	6834	5733	12069	29709	56116	82390	35701	10445	613	339	75	23	6	2	0	0	54937	28838	9174	572	163	88	16	0	0	0	0	0	0	0	0	0	0	53792
moss_0.01_4x_20.hist	67473672	8094787	1436369	605788	322498	195783	126791	113260	167190	85266	41282	40864	56812	58374	30206	18324	29065	38801	17096	9306	12508	20477	21671	6340	1465	4687	11155	13696	4564	2281	674	199	20804	2398	762	46	12	5	6419	11405	3800	1556	825	308	50	15	6	1	0	18051
moss_0.001_1x_23.hist	52552400	10862444	1864916	798574	444376	277429	350007	171963	67709	55102	64274	72629	100976	120476	62342	19835	11433	6503	13690	33697	63650	61494	26646	7796	457	253	56	17	4	1	20671	41342	38499	4440	1411	87	24	12	1	0	0	0	0	0	0	0	0	0	0	57426
moss_0.001_4x_novaseq_profR.hist	53602739	7690216	1632738	681333	351032	217696	224992	200982	172591	88020	58376	65964	85342	47176	24411	25048	39731	53039	38416	20914	13565	4238	19730	38363	19419	10787	2434	783	1863	26094	15627	4642	1856	213	66	17349	5840	3184	635	34	2038	11086	5883	2205	366	121	53	16	4	21611
moss_0.01_1x_HiSeq2500L150R.hist	72957199	5283299	1241664	481727	221624	141785	117547	105002	158607	181446	87851	43325	16632	9193	10828	15668	24851	33175	56828	30939	20067	6270	2716	793	45	24	4	0	1744	24423	28846	8570	3427	394	124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	42978
moss_0.01_1x_MiSeqv3L250R.hist	63905425	9068962	1341250	575896	322904	202445	276497	135846	53488	61189	71375	80653	47365	26182	13997	20254	32127	42888	53369	29055	18846	5888	2550	745	42	22	4	0	0	0	40019	23291	9315	1073	340	20	4	1	0	0	0	0	0	0	0	0	0	0	0	40161
moss_0.0_1x_23.hist	55452269	8783317	2041456	748025	427821	272412	292481	261268	235977	120347	58268	65842	91540	72452	37491	11928	8921	11909	25071	61713	99485	31088	13470	3940	230	127	27	7	1	0	19651	39302	51094	5893	1874	116	32	16	2	0	0	0	0	0	0	0	0	0	0	57415
