sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
rotifer_0.001_1x_30.hist	histogram	genome-skim	1.02	98062546	0.88	7.71	0.0017	150
rotifer_0.01_4x_17.hist	histogram	genome-skim	3.95	101569802	0.93	5.81	0.0204	150
rotifer_0.0_1x_30.hist	histogram	genome-skim	0.98	102038730	0.86	6.99	0.0016	150
rotifer_0.001_4x_17.hist	histogram	genome-skim	3.99	100697063	0.90	7.44	0.0208	150
rotifer_0.0_2x_17.hist	histogram	genome-skim	1.96	102221834	0.88	7.85	0.0209	150
rotifer_0.01_8x_30.hist	histogram	genome-skim	8.01	100246226	0.90	5.70	0.0011	150
rotifer_0.001_8x_30.hist	histogram	genome-skim	8.03	99991615	0.86	8.07	0.0012	150
rotifer_0.0_4x_17.hist	histogram	genome-skim	3.99	100831100	0.89	8.08	0.0208	150
rotifer_0.01_4x_30.hist	histogram	genome-skim	4.01	100248973	0.90	6.17	0.0011	150
rotifer_0.001_4x_30.hist	histogram	genome-skim	4.00	100520817	0.85	7.17	0.0012	150
rotifer_0.0_8x_30.hist	histogram	genome-skim	8.03	100030377	0.85	8.04	0.0012	150
rotifer_0.0_2x_30.hist	histogram	genome-skim	2.01	100038610	0.85	8.53	0.0013	150
rotifer_0.01_1x_30.hist	histogram	genome-skim	1.03	97079917	0.93	6.00	0.0016	150
rotifer_0.0_4x_30.hist	histogram	genome-skim	4.01	100104520	0.85	7.74	0.0012	150
rotifer_0.01_1x_17.hist	histogram	genome-skim	1.04	96364245	0.97	5.54	0.0212	150
rotifer_0.01_2x_30.hist	histogram	genome-skim	2.01	99784683	0.90	5.92	0.0012	150
rotifer_0.001_1x_17.hist	histogram	genome-skim	0.97	103268916	0.91	7.65	0.0206	150
rotifer_0.001_2x_17.hist	histogram	genome-skim	1.99	101125411	0.89	7.47	0.0208	150
rotifer_0.001_8x_17.hist	histogram	genome-skim	9.23	87081639	1.00	8.92	0.0246	150
rotifer_0.0_1x_17.hist	histogram	genome-skim	0.98	102241554	0.94	9.23	0.0212	150
rotifer_0.0_8x_17.hist	histogram	genome-skim	9.28	86565068	1.00	9.18	0.0248	150
rotifer_0.001_2x_30.hist	histogram	genome-skim	2.00	100588833	0.86	7.34	0.0012	150
rotifer_0.01_2x_17.hist	histogram	genome-skim	1.98	101561713	0.93	5.58	0.0205	150
rotifer_0.01_8x_17.hist	histogram	genome-skim	9.02	89066992	1.00	6.74	0.0238	150
