sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
club-moss_0.01_4x_25.hist	129701087	14926284	2508457	910406	502473	312211	155103	76203	115105	97457	47185	29016	40340	47628	24645	13143	20847	27829	20831	11340	7355	4088	19417	15698	922	2235	5320	14186	5291	2644	782	231	8237	7881	2506	155	43	22	9509	4335	1444	590	312	116	5066	3047	1365	454	150	7881
club-moss_0.001_2x_20.hist	106224483	16159196	3130583	1105724	597209	379457	224910	200908	172176	87808	42514	22570	31378	51810	64281	36208	20871	8695	7565	18621	35172	20575	8915	2607	1592	5096	12128	27343	9113	4555	1348	399	158	17	4	0	11790	20891	4177	231	76	30	15	4	0	0	0	0	0	25997
club-moss_0.001_4x_25.hist	92602443	29371931	3926728	1501235	736915	464134	310143	152377	103782	118726	106533	52538	31598	52174	64733	23939	15201	20292	40530	22065	14311	4471	18764	36485	3720	2065	2426	6470	25919	12958	3838	1139	454	51	14489	8864	2547	1388	276	826	11522	4721	2505	938	155	50	21	6	1	21870
club-moss_0.001_4x_HiSeq2500L150R.hist	102501710	32096070	5692625	2016146	1095086	686066	431800	212149	86961	99482	116042	131127	50342	27828	27472	39752	63055	50880	8093	4565	8622	14115	53305	15596	4720	15105	14500	4668	1555	776	34220	10166	4065	468	147	8	1	0	34743	3881	1292	528	279	103	16	4	0	0	0	28902
club-moss_0.01_2x_23.hist	133198388	11342087	2408370	850110	458553	289938	217554	190632	75060	38279	40982	46309	64382	35589	18415	10052	15944	21284	28597	15568	10097	3154	6091	11843	11325	6290	1419	456	974	13648	12235	3634	1452	166	52	2	0	0	18707	1977	658	268	141	52	7	1	0	0	0	21075
club-moss_0.001_8x_novaseq_profR.hist	93484352	27012702	3604667	1376720	694073	433151	225192	201160	95766	109556	93096	45911	53756	56086	29021	24742	39245	17712	30811	16774	10879	15670	29288	8569	2819	9020	21468	8202	2733	1365	7662	15324	6128	706	223	2418	11313	6170	1233	67	3921	1606	4816	6529	1087	361	161	52	16	14093
club-moss_0.0_8x_MiSeqv3L250R.hist	89914516	29416001	4020131	1505629	802194	489974	250497	223765	117588	93186	108698	57989	38597	63729	53894	17147	24005	32046	31740	17279	13111	21464	18424	5390	8496	27186	11342	3651	1216	607	25186	8932	3571	411	129	1480	13964	7616	1522	83	26	4301	9376	3515	584	193	85	27	8	16548
club-moss_0.0_2x_MiSeqv3L250R.hist	101724298	13455071	2530886	906403	502389	318247	233925	208961	95234	48568	46548	52598	73126	48517	25105	7986	12251	16354	34430	32169	20865	6519	2824	1453	3104	9933	23640	17475	5824	2911	861	254	100	10	2	0	18067	13268	2652	146	47	18	8	2	0	0	0	0	0	25562
club-moss_0.01_2x_20.hist	135742754	12631226	2781077	973275	514505	326390	212065	189434	152837	77946	37738	18610	24184	39931	49543	42301	24384	10159	2958	7281	13753	22515	16774	4907	842	2695	6415	17106	10267	5132	1519	450	179	19	5	0	10229	15855	3170	175	57	22	10	3	0	0	0	0	0	24625
club-moss_0.01_8x_25.hist	128045519	16896645	2472228	942628	472487	294211	158376	141474	99301	64801	73364	36180	46489	32318	20480	29635	29787	12410	9031	22230	18785	5869	6675	12979	11413	6339	2098	5595	9646	4822	1427	423	7600	7642	2430	150	42	22	13246	845	280	114	59	7034	2704	900	402	133	43	9458
club-moss_0.001_2x_25.hist	104548675	14566015	2848701	1007946	546434	346735	219613	196177	129464	66025	33556	37918	52716	67895	35133	11177	11483	15329	32272	30619	19860	6205	2687	3307	7066	22610	14138	4552	1516	757	4529	9057	8265	952	302	17	4	8501	17242	956	317	129	67	24	3	0	0	0	0	22718
club-moss_0.0_4x_MiSeqv3L250R.hist	91116178	29968271	4329953	1579855	869750	539614	218026	107118	161803	162969	78905	38913	41066	67806	61949	19710	17586	23476	40283	21931	14224	4444	19224	37379	2197	5657	13463	13618	4538	2268	4080	8160	25533	2944	935	57	15	7	7636	14542	4846	1985	1052	393	64	20	8	1	0	24008
club-moss_0.01_1x_23.hist	135354852	9801914	2265952	799839	381724	244757	114592	102363	154620	138090	66859	32972	12658	11142	13824	20003	31728	42355	14830	8073	5235	8570	30600	8953	525	291	64	19	5	1	0	0	31924	11740	3734	232	65	34	5	0	0	0	0	0	0	0	0	0	0	30385
club-moss_0.001_1x_HiSeq2500L150R.hist	101223793	31610853	5436378	2008608	915323	584202	243913	217883	329115	167847	81267	40078	15386	22382	27770	40184	63739	85089	38208	20801	13491	4215	1825	533	30	15	2	0	33369	71697	21242	6310	2523	290	91	4	0	0	0	0	0	0	0	0	0	0	0	0	0	60903
club-moss_0.0_1x_23.hist	102813046	11938551	2577320	904778	482034	308047	159419	142406	215106	109703	53114	26194	12501	20641	25609	37058	58780	34292	5454	2968	2605	4264	20256	39385	7919	4398	992	318	105	51	14	3	10317	30952	9847	614	175	94	17	0	0	0	0	0	0	0	0	0	0	33771
club-moss_0.01_2x_HiSeq2500L150R.hist	138325377	13887542	3043947	1070902	573416	362643	271192	242252	150661	76836	37201	19355	26908	44429	55124	46687	26913	11212	1782	2586	4885	7997	37984	38715	2276	1263	284	90	29	13	3	5	27734	3198	1016	6259	6425	3504	699	37	11	3	0	0	0	0	0	0	0	30822
club-moss_0.0_2x_23.hist	102530862	13700234	2771655	980258	530919	337074	215454	192462	129331	65957	36872	41664	57925	62553	32368	10298	12589	16806	35380	30995	20104	6281	2720	3190	6816	21812	13449	4330	1442	720	15092	5945	2377	273	85	4	0	23399	4678	258	85	33	17	5	0	0	0	0	0	23576
club-moss_0.01_1x_20.hist	135979680	9641617	2236951	798595	380574	242417	159009	142039	145279	74091	35872	26574	36945	61002	31565	10042	5788	5452	11478	28254	43189	13495	5847	1709	99	54	11	2	0	0	9573	19146	21429	2471	785	48	12	5	0	0	0	0	0	0	0	0	0	0	0	35815
club-moss_0.01_1x_novaseq_profR.hist	133084548	9685388	2225709	773421	400942	256135	132754	118586	179126	91353	44230	21812	9132	15078	18706	27069	42936	44453	7071	3848	2495	778	3160	6143	13127	27479	6204	1996	664	331	97	27	10	0	15342	11486	3301	1799	358	18	5	1	0	0	0	0	0	0	0	26012
club-moss_0.001_1x_novaseq_profR.hist	105289115	10270438	2299434	807499	430559	274424	168258	150302	172013	87725	42473	20946	16863	27842	34544	49987	53464	22275	3542	1927	1249	2024	9615	18695	29190	16215	3660	1177	391	194	56	15	5	0	25558	9208	2646	1442	287	14	3	0	0	0	0	0	0	0	0	32120
club-moss_0.01_4x_HiSeq2500L150R.hist	135024921	20540408	3473698	1264436	697660	433416	292613	143764	76604	87633	102221	87141	33455	18493	22944	33200	52661	22810	4659	11468	21660	17545	7602	4321	9234	29548	6671	2147	714	356	2976	5952	18678	2153	684	41	11	5	8581	9756	3251	1331	705	263	42	13	4	0	0	21708
club-moss_0.0_2x_HiSeq2500L150R.hist	100542504	27812207	5187960	1821478	970647	615649	325274	290563	219046	111712	54087	29683	41267	68138	84541	46328	26705	14105	29695	16166	10485	3275	11121	21623	46206	28792	6500	2092	696	347	101	29	10	0	54051	8002	2299	1253	249	12	3	0	0	0	0	0	0	0	0	39539
club-moss_0.01_8x_20.hist	128587031	18381325	2714570	1049271	514091	321461	191549	138944	131151	66886	56955	64358	40909	27623	34272	28189	16249	21691	24877	13543	8784	12711	21367	6251	1809	5788	13776	8217	2738	1368	4804	9607	5194	598	189	5904	6000	3271	653	35	10	5787	6928	2597	431	142	63	20	5	12003
club-moss_0.001_1x_MiSeqv3L250R.hist	105761194	12445746	2605679	919528	495705	315540	189972	169699	175196	89349	43259	21333	22226	36698	45531	54618	31484	13117	2085	3009	5683	9303	44190	30665	1802	1000	224	71	22	10	2	0	38703	7792	2478	153	43	22	3	0	0	0	0	0	0	0	0	0	0	37067
club-moss_0.01_4x_MiSeqv3L250R.hist	131337297	16290953	2704540	982291	542739	337438	173542	85263	98351	112513	54475	28015	38949	52975	27412	12375	19629	26203	22207	12089	9403	15394	9591	2805	5994	19179	9579	3083	1026	512	364	728	23993	2766	879	53	14	6	0	7481	7433	3045	1615	604	99	32	13	3	0	16147
club-moss_0.001_2x_MiSeqv3L250R.hist	104335397	14730813	2726192	972066	534760	339121	228733	204324	128831	65703	31810	30382	42239	69742	59783	19021	10964	4567	7634	18792	35495	30262	13112	3835	224	156	371	988	30400	15199	4502	1336	533	60	18	0	0	14649	11948	662	219	89	46	16	1	0	0	0	0	26897
club-moss_0.0_8x_23.hist	89580072	29259798	3981783	1498567	779736	480418	274417	202710	116429	121659	68674	77600	55632	39290	48748	35594	20518	18028	37954	20662	13401	20149	8730	14178	22604	12556	2834	7358	16003	8000	2369	703	16629	7317	2327	144	40	14490	4335	239	78	31	11051	4202	699	232	103	33	10	15737
club-moss_0.0_4x_23.hist	90574369	30253418	4321127	1585123	863798	532571	190347	170034	192279	98061	57344	64798	90088	49800	25769	21916	34763	46406	20719	11279	14555	23827	14461	5429	11600	37120	8381	2697	898	448	9524	19047	9500	7107	2260	140	39	20	3	20019	6672	2733	1449	542	89	28	11	2	0	20468
club-moss_0.0_1x_MiSeqv3L250R.hist	102280364	12291864	2623968	923205	494419	315182	178588	159530	188531	96150	46552	22957	19100	31536	39128	56619	32765	13651	2170	3895	7357	12043	57207	16738	983	545	122	38	11	4	0	0	23856	23191	7378	460	131	70	13	0	0	0	0	0	0	0	0	0	0	34968
