sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.001_4x_25.hist	histogram	genome-skim	4.09	101469308	0.53	6.44	0.0051	150
moss_0.0_8x_novaseq_profR.hist	histogram	genome-skim	8.36	99217634	0.54	6.65	0.0041	150
moss_0.0_1x_novaseq_profR.hist	histogram	genome-skim	1.00	104123770	0.50	6.89	0.0047	150
moss_0.001_2x_HiSeq2500L150R.hist	histogram	genome-skim	1.97	105017241	0.58	7.23	0.0196	150
moss_0.001_2x_novaseq_profR.hist	histogram	genome-skim	1.82	114232847	0.45	6.39	0.0040	150
moss_0.01_2x_novaseq_profR.hist	histogram	genome-skim	1.97	105348001	0.62	4.70	0.0034	150
moss_0.001_8x_20.hist	histogram	genome-skim	12.66	65520837	0.84	10.16	0.0261	150
moss_0.01_8x_MiSeqv3L250R.hist	histogram	genome-skim	8.91	93105811	0.71	5.24	0.0142	150
moss_0.01_8x_23.hist	histogram	genome-skim	8.40	98753534	0.67	4.85	0.0068	150
moss_0.01_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.94	110702412	0.68	4.61	0.0172	150
moss_0.0_8x_25.hist	histogram	genome-skim	8.42	98522637	0.54	6.77	0.0052	150
moss_0.01_8x_20.hist	histogram	genome-skim	8.61	96296913	0.69	5.12	0.0129	150
moss_0.0_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.06	100592750	0.51	7.62	0.0153	150
moss_0.0_2x_HiSeq2500L150R.hist	histogram	genome-skim	1.91	108315769	0.54	7.26	0.0198	150
moss_0.01_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.08	99589655	0.66	5.09	0.0135	150
moss_0.0_4x_23.hist	histogram	genome-skim	4.05	102352342	0.51	6.68	0.0080	150
moss_0.001_1x_novaseq_profR.hist	histogram	genome-skim	0.98	105290806	0.54	6.32	0.0046	150
moss_0.001_4x_23.hist	histogram	genome-skim	4.05	102502350	0.52	6.42	0.0078	150
moss_0.0_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.47	87570920	0.61	7.81	0.0167	150
moss_0.0_8x_HiSeq2500L150R.hist	histogram	genome-skim	8.18	101390448	0.55	9.74	0.0298	150
moss_0.01_4x_HiSeq2500L150R.hist	histogram	genome-skim	3.90	106451345	0.64	5.13	0.0188	150
moss_0.001_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.43	87958579	0.62	7.29	0.0163	150
moss_0.01_1x_MiSeqv3L250R.hist	histogram	genome-skim	0.93	111952369	0.62	5.17	0.0126	150
moss_0.001_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.04	101696014	0.51	7.17	0.0151	150
