sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.001_2x_17.hist	66125637	11540545	2660794	968970	550088	349578	359463	321103	268024	136691	66181	35268	49033	80960	100450	52271	30132	12554	7313	18002	34004	55668	77015	22534	1324	734	164	52	16	7	1	0	68000	33659	10708	668	191	103	19	0	0	0	0	0	0	0	0	0	0	60381	111970940
moss_0.01_1x_30.hist	64386967	8496383	1321887	567218	317473	198844	303417	149072	58696	29934	33663	38038	52883	87318	85209	27111	15627	6510	1265	3113	5879	9624	45716	44487	2615	1452	326	104	33	15	3	0	9861	29584	9412	587	167	90	17	0	0	0	0	0	0	0	0	0	0	35368	106733451
moss_0.0_1x_30.hist	53280307	7688167	1783121	663668	381438	242254	304096	271644	197036	100487	48652	24827	34516	56991	70710	90740	52308	21794	3466	3891	7350	12032	57151	74335	4371	2427	547	175	57	27	7	1	16350	49051	15606	974	279	151	29	0	0	0	0	0	0	0	0	0	0	48767	103463973
moss_0.01_4x_30.hist	65939109	5776892	1243102	511295	251277	159145	212799	121271	67545	77271	90133	45175	25364	41879	51960	26026	15002	15330	32272	17569	11395	4030	19145	12764	1779	5694	13551	8582	2859	1428	4865	9729	3890	447	141	4315	7895	4305	860	46	14	7043	3737	1400	232	76	33	10	2	14704	103672996
moss_0.001_1x_17.hist	67850122	19539946	4550351	1647276	787482	507691	207950	185758	280589	320993	374429	262851	100915	55785	28866	9183	5293	2204	597	1469	2774	4541	21571	41943	89627	190135	42932	13824	4607	2302	681	201	79	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143554	147071359
moss_0.001_2x_30.hist	51097255	10851048	1818520	779646	435329	272305	318937	156697	81373	93089	108585	122701	70389	38910	20134	29134	46211	61690	33302	18130	11759	6066	28815	56030	3294	3971	9450	25201	21356	10677	3162	938	374	42	12	4394	31119	16973	3393	187	61	24	11	3	0	0	0	0	0	38245	113088015
moss_0.001_8x_17.hist	63165573	24645370	4573479	1739030	975371	611630	502143	246709	183248	209634	227298	112097	45998	75949	94233	89615	51659	21523	15502	38160	72079	22523	9759	16133	34474	46647	10532	3390	2630	36824	45465	13508	5402	622	196	11	2	50254	18232	1011	336	136	71	25	3	11435	24725	8240	2745	1646	111178439
moss_0.001_4x_17.hist	66000597	13444827	3052316	1117055	637963	403884	442900	388524	152980	78019	81993	92651	128812	96266	49813	15848	18439	24615	51820	68731	44581	13930	6035	2547	5443	17418	41455	49154	16383	8190	2425	719	286	32	9	0	41749	25324	5063	280	92	36	18	5	0	0	0	0	0	45474	117016487
moss_0.01_1x_17.hist	71644381	16905314	3186266	1245218	558199	354625	101654	90805	137162	156912	183033	206826	105003	58044	30035	9555	5507	2293	363	564	1066	1744	8285	16109	34423	110155	38373	12356	4117	2057	608	179	70	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68861	132535550
moss_0.001_8x_30.hist	54553874	6261232	1446835	576543	298948	187870	202594	180973	132778	88299	102998	53890	44262	63939	33085	35853	45040	18765	38329	27716	17977	8881	37006	10827	4711	15077	19691	6340	2112	1055	23253	7450	2979	342	4204	6483	8518	4645	928	50	8622	4584	2432	911	5667	1888	845	280	92	13624	102198834
moss_0.001_4x_30.hist	53875629	7266000	1571416	655503	337362	209387	225652	201571	147369	75157	87668	93632	35947	31802	39457	57095	55233	23013	9192	22626	42737	28959	12548	3670	6282	20103	23152	7454	2483	1240	15149	15555	6221	716	227	13	13061	11345	2268	125	40	2028	10024	3758	625	207	92	29	8	21129	104333146
moss_0.01_4x_17.hist	71601218	12605811	2313704	884765	493179	308194	286537	140779	75702	86602	101018	106538	40902	22609	26809	38793	61533	28117	5126	12616	23831	39014	27339	7998	469	259	265	707	35054	17526	5191	1541	615	70	21	0	0	28219	6148	340	112	45	22	7	0	0	0	0	0	29044	114499812
moss_0.01_2x_30.hist	65183805	6811961	1279774	540605	289196	176152	105386	75861	114589	131089	73995	36491	19684	32501	40325	53846	31039	12932	4633	11405	21543	33046	14319	4188	245	621	1478	3942	24705	12351	3658	1086	433	49	14	0	0	19690	8159	452	149	60	31	10	0	0	0	0	0	22060	105699005
moss_0.01_8x_30.hist	66503956	5276632	1204172	474626	242971	152800	144413	129002	109275	55729	65006	59045	47247	29340	36403	34969	20158	14364	27973	15228	9877	10106	19260	5634	4242	13573	4282	5772	6693	3345	4301	8602	3440	395	124	8367	4588	2501	499	4285	1427	584	309	7785	1296	431	192	63	20	9529	102690528
moss_0.01_8x_17.hist	69181332	20709839	2792573	1180611	633051	386227	189249	169053	248248	126605	61298	54797	76184	79715	41249	16958	26898	35907	56166	30578	19833	6197	8601	16724	35737	21698	4898	1576	524	261	26287	17544	7016	808	256	15	3	6201	22944	1273	423	172	90	32	5033	8802	3945	1314	437	10049	105780039
moss_0.0_1x_17.hist	58856920	9979465	1756466	756004	426746	268524	469741	338144	133143	67902	32875	16212	21858	36090	44778	64796	102778	107530	17106	9312	6039	1886	816	910	1944	6221	14806	39483	56236	28117	8330	2474	988	113	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	70710	102896034
moss_0.0_4x_17.hist	64703580	13976754	3157428	1160300	662703	419574	461049	411849	162164	82702	77383	87442	121570	123263	63784	20293	11697	13678	28795	70880	66738	20854	9036	2757	5891	18851	44864	46553	15516	7757	2297	681	271	30	8	6113	44466	24253	4849	268	88	35	17	5	0	0	0	0	0	46177	117337014
