sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.2_8x_1.hist	103761024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103761024
moss_0.2_4x_1.hist	103929135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103929135
moss_0.2_2x_1.hist	104058057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104058057
moss_0.1_8x_1.hist	102419820	678217	88181	35818	16852	10574	5986	3008	2997	2497	1208	1364	831	458	256	370	255	105	21	53	99	30	12	3	5	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103756142
moss_0.05_4x_1.hist	93744943	2037161	417925	157330	81462	49774	38886	34735	16373	10840	12644	11776	4520	4850	6017	7923	4566	1901	993	2443	4614	3766	1631	476	432	1381	3286	3178	1058	528	155	45	821	2464	3364	209	59	31	1627	642	213	1499	2100	786	130	42	17	4	0	3354	103035487
moss_0.1_4x_1.hist	102264387	774359	79208	32148	17591	10873	4696	2306	3482	2449	1184	766	1065	721	372	117	104	138	187	101	64	19	21	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103987905
moss_0.1_2x_1.hist	102590669	819294	80373	32039	17948	11247	6860	6126	2411	1228	631	712	990	1185	612	193	110	45	16	39	73	118	50	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104497216
moss_0.15_2x_1.hist	103571196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103571196
moss_0.05_1x_1.hist	93482767	1968090	428546	154587	86639	54437	61703	35779	14087	7183	4828	5455	7584	12521	14522	4619	2662	1108	175	205	386	632	3003	5839	4770	2649	597	191	62	30	8	1	197	590	11598	723	207	111	21	0	0	0	0	0	0	0	0	0	0	7845	101815774
moss_0.15_1x_1.hist	104345211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104540486
moss_0.15_4x_1.hist	103428925	673921	56852	18917	7535	4356	23	19	6	3	2	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104216077
moss_0.05_2x_1.hist	93729744	2008530	410405	158672	74366	47149	42300	37785	19103	9741	7917	8946	12437	8439	4365	1638	2598	3467	5792	3152	2044	637	1786	3472	3905	2168	488	156	51	24	5971	1872	747	85	26	0	0	308	7018	388	128	51	26	8	0	0	0	0	0	5143	102861974
moss_0.05_8x_1.hist	93669025	1979042	412127	155270	79109	48777	45637	22421	20688	15493	8309	9388	8849	5304	6580	2467	3912	5221	2885	2841	2614	816	2582	4544	286	915	2178	1776	591	802	2511	745	1178	2015	640	39	10	2712	1827	100	32	12	1446	2053	341	112	49	15	808	1636	102795189
