sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.15_4x_1.hist	100941788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100941788
rotifer_0.15_1x_1.hist	102015309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102200354
rotifer_0.2_4x_1.hist	100369802	580785	48995	16299	6475	3724	5	3	3	3	2	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100999794
rotifer_0.15_8x_1.hist	100699923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100699923
rotifer_0.2_1x_1.hist	101246432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101435988
rotifer_0.1_1x_1.hist	99795410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99988979
rotifer_0.05_2x_1.hist	98490102	816247	93149	38954	20962	12819	7799	3831	1507	1290	1503	1698	2360	1303	673	213	151	201	423	640	414	128	74	144	308	170	37	11	2	0	0	0	113	338	273	16	3	0	0	0	0	0	0	0	0	0	194	72	23	12	100713613
rotifer_0.1_4x_1.hist	100203797	638981	54603	18786	9417	5894	404	360	140	70	76	85	33	17	7	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101081210
rotifer_0.05_8x_1.hist	98332053	760631	109189	44025	20159	12629	8656	4252	3426	1954	1763	1992	913	535	663	946	544	240	505	274	385	169	72	78	167	336	74	23	15	218	153	44	16	0	105	163	45	24	3	0	0	116	61	21	2	0	15	59	18	10	100496566
rotifer_0.1_8x_1.hist	100685943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100685943
rotifer_0.05_4x_1.hist	98511971	816428	98220	40959	21058	12447	5566	4971	5245	2674	1293	1058	1470	865	446	405	642	857	226	122	88	143	680	211	11	5	0	0	38	535	180	52	20	1	0	0	0	0	99	106	34	13	5	1	0	0	0	0	0	298	100670782
rotifer_0.2_2x_1.hist	100568246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100568246
rotifer_0.2_8x_1.hist	100795278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100795278
rotifer_0.05_1x_1.hist	99756140	880590	96239	39856	21871	13543	13267	6517	2565	1307	631	408	566	934	1158	1582	911	378	59	31	30	48	231	448	309	170	37	11	2	0	0	0	0	0	824	50	13	6	0	0	0	0	0	0	0	0	0	0	0	290	102121245
rotifer_0.15_2x_1.hist	100835130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100835130
rotifer_0.1_2x_1.hist	100415313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100415313
rotifer_0.0_8x_1.hist	85288528	3067259	613800	236402	120559	74990	65219	45051	36929	26240	20749	23445	9000	10648	13210	7624	4394	5310	8146	4434	2875	3053	4777	1396	2208	3712	837	268	269	3767	2544	755	301	33	1879	2246	644	350	69	2	1772	1088	576	215	76	787	351	116	37	2212	99118748
rotifer_0.0_2x_1.hist	85372878	3362491	611574	238876	127936	77992	41407	29885	45142	42430	20542	10130	5819	9608	11920	17249	10390	4328	687	902	1703	2787	13238	3872	226	125	27	7	1300	6748	1998	592	236	26	7	0	0	1769	5467	302	99	39	20	6	0	0	0	0	0	4658	99640811
rotifer_0.0_4x_1.hist	85489996	3238078	614675	244127	117939	74511	79498	53632	23875	27312	31857	15710	6896	11386	14126	9480	5464	2275	4007	8863	5748	3679	1593	465	633	2027	4824	3349	1115	556	163	47	2107	3115	990	60	16	8	3705	204	67	26	1070	1304	216	71	30	9	2	3057	99657370
rotifer_0.0_1x_1.hist	87541603	3900555	831786	295364	161254	102541	68161	60886	71846	36640	17739	8747	3357	4012	4977	7201	11422	15247	15317	8338	5407	1688	1462	426	24	12	1	0	0	0	1628	3255	12113	1396	443	26	6	2	0	0	0	0	0	0	0	0	0	0	0	8446	102632406
