sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
club-moss_0.02_8x_1.hist	histogram	genome-skim	8.19	202815037	0.76	20.88	0.0039	150
club-moss_0.006_8x_1.hist	histogram	genome-skim	8.43	197111339	0.58	33.20	0.0048	150
club-moss_0.004_2x_1.hist	histogram	genome-skim	2.27	183098383	0.62	35.32	0.0044	150
club-moss_0.002_4x_1.hist	histogram	genome-skim	4.12	201379121	0.48	37.09	0.0048	150
club-moss_0.01_1x_1.hist	histogram	genome-skim	1.12	185521198	0.74	29.03	0.0043	150
club-moss_0.008_8x_1.hist	histogram	genome-skim	8.37	198603842	0.61	31.12	0.0046	150
club-moss_0.008_2x_1.hist	histogram	genome-skim	2.19	189860187	0.67	30.93	0.0042	150
club-moss_0.002_1x_1.hist	histogram	genome-skim	1.27	163575042	0.69	35.64	0.0046	150
club-moss_0.001_4x_1.hist	histogram	genome-skim	4.13	201101846	0.46	38.01	0.0049	150
club-moss_0.008_4x_1.hist	histogram	genome-skim	4.26	194989881	0.63	30.47	0.0044	150
club-moss_0.002_2x_1.hist	histogram	genome-skim	2.33	178033261	0.60	35.78	0.0045	150
club-moss_0.02_4x_1.hist	histogram	genome-skim	4.12	201725668	0.76	20.40	0.0038	150
club-moss_0.01_2x_1.hist	histogram	genome-skim	2.18	190808853	0.70	28.33	0.0041	150
club-moss_0.006_1x_1.hist	histogram	genome-skim	1.18	176136992	0.72	32.97	0.0045	150
club-moss_0.0_4x_1.hist	histogram	genome-skim	4.17	199159212	0.45	39.22	0.0051	150
club-moss_0.008_1x_1.hist	histogram	genome-skim	1.14	181621172	0.73	29.70	0.0044	150
club-moss_0.02_2x_1.hist	histogram	genome-skim	2.07	201060507	0.77	20.47	0.0038	150
club-moss_0.001_8x_1.hist	histogram	genome-skim	8.59	193429644	0.48	39.33	0.0056	150
club-moss_0.01_4x_1.hist	histogram	genome-skim	4.23	196422723	0.66	29.44	0.0042	150
club-moss_0.004_8x_1.hist	histogram	genome-skim	8.48	195851767	0.54	35.38	0.0050	150
club-moss_0.0_2x_1.hist	histogram	genome-skim	2.41	172149457	0.59	39.61	0.0046	150
club-moss_0.02_1x_1.hist	histogram	genome-skim	1.05	197961293	0.81	19.43	0.0039	150
club-moss_0.001_1x_1.hist	histogram	genome-skim	1.29	160705038	0.68	37.60	0.0046	150
club-moss_0.0_8x_1.hist	histogram	genome-skim	8.65	192128559	0.46	40.67	0.0058	150
club-moss_0.006_2x_1.hist	histogram	genome-skim	2.21	187618336	0.64	32.54	0.0043	150
club-moss_0.004_1x_1.hist	histogram	genome-skim	1.22	169925538	0.70	34.39	0.0045	150
club-moss_0.006_4x_1.hist	histogram	genome-skim	4.32	192452014	0.61	32.20	0.0045	150
club-moss_0.001_2x_1.hist	histogram	genome-skim	2.39	173723779	0.60	37.66	0.0046	150
club-moss_0.01_8x_1.hist	histogram	genome-skim	8.33	199390112	0.64	29.15	0.0044	150
club-moss_0.002_8x_1.hist	histogram	genome-skim	8.57	193889050	0.51	37.57	0.0054	150
club-moss_0.0_1x_1.hist	histogram	genome-skim	1.30	159976082	0.66	39.22	0.0046	150
club-moss_0.004_4x_1.hist	histogram	genome-skim	4.13	201124463	0.53	34.77	0.0046	150
