sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
rotifer_0.001_2x_25.hist	histogram	genome-skim	2.01	100119902	0.86	7.74	0.0036	150
rotifer_0.001_1x_25.hist	histogram	genome-skim	1.03	97847103	0.89	8.25	0.0038	150
rotifer_0.0_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.07	97241210	0.88	7.48	0.0116	150
rotifer_0.01_2x_25.hist	histogram	genome-skim	2.00	100365379	0.90	5.02	0.0034	150
rotifer_0.01_8x_20.hist	histogram	genome-skim	8.14	98726019	0.92	6.31	0.0106	150
rotifer_0.01_2x_novaseq_profR.hist	histogram	genome-skim	2.01	99899902	0.91	6.30	0.0027	150
rotifer_0.001_8x_23.hist	histogram	genome-skim	8.14	98721998	0.87	7.55	0.0056	150
rotifer_0.0_4x_20.hist	histogram	genome-skim	4.06	98883994	0.88	7.38	0.0109	150
rotifer_0.001_8x_20.hist	histogram	genome-skim	8.22	97758349	0.88	7.91	0.0110	150
rotifer_0.01_2x_HiSeq2500L150R.hist	histogram	genome-skim	1.99	100712604	0.92	6.17	0.0163	150
rotifer_0.001_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.99	101068862	0.93	8.03	0.0166	150
rotifer_0.0_2x_HiSeq2500L150R.hist	histogram	genome-skim	2.01	100181887	0.88	7.68	0.0167	150
rotifer_0.01_2x_23.hist	histogram	genome-skim	2.00	100181471	0.91	6.56	0.0053	150
rotifer_0.01_8x_MiSeqv3L250R.hist	histogram	genome-skim	8.20	98006296	0.92	5.93	0.0113	150
rotifer_0.0_4x_25.hist	histogram	genome-skim	4.03	99747517	0.86	8.07	0.0036	150
rotifer_0.001_8x_MiSeqv3L250R.hist	histogram	genome-skim	8.29	96876659	0.89	7.59	0.0117	150
rotifer_0.001_4x_23.hist	histogram	genome-skim	4.04	99411155	0.87	7.75	0.0056	150
rotifer_0.0_1x_25.hist	histogram	genome-skim	1.03	97739081	0.88	8.57	0.0039	150
rotifer_0.001_4x_novaseq_profR.hist	histogram	genome-skim	4.02	99970095	0.86	7.81	0.0028	150
rotifer_0.01_1x_20.hist	histogram	genome-skim	0.96	104541847	0.93	5.82	0.0102	150
rotifer_0.0_2x_23.hist	histogram	genome-skim	2.01	99797448	0.86	8.18	0.0055	150
rotifer_0.001_4x_25.hist	histogram	genome-skim	4.03	99606841	0.86	7.93	0.0036	150
rotifer_0.001_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.05	98136444	0.88	7.33	0.0114	150
rotifer_0.001_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.04	96743052	0.92	7.77	0.0114	150
rotifer_0.01_8x_novaseq_profR.hist	histogram	genome-skim	8.05	99794619	0.91	5.90	0.0027	150
