sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
oyster_0.0_2x_1.hist	histogram	genome-skim	1.99	98710983	0.63	147.88	0.0043	150
oyster_0.002_1x_1.hist	histogram	genome-skim	0.98	100517066	0.66	137.48	0.0046	150
oyster_0.002_8x_1.hist	histogram	genome-skim	8.27	95022437	0.69	137.87	0.0043	150
oyster_0.0_1x_1.hist	histogram	genome-skim	0.90	109724214	0.54	151.52	0.0048	150
oyster_0.02_1x_1.hist	histogram	genome-skim	0.97	100774835	0.83	78.72	0.0038	150
oyster_0.004_1x_1.hist	histogram	genome-skim	1.01	96984350	0.72	129.24	0.0045	150
oyster_0.008_8x_1.hist	histogram	genome-skim	8.20	95853960	0.75	114.93	0.0040	150
oyster_0.01_1x_1.hist	histogram	genome-skim	1.00	98701287	0.77	105.54	0.0042	150
oyster_0.0_8x_1.hist	histogram	genome-skim	8.30	94725200	0.67	147.74	0.0044	150
oyster_0.004_2x_1.hist	histogram	genome-skim	2.03	96923745	0.69	129.76	0.0041	150
oyster_0.004_8x_1.hist	histogram	genome-skim	8.24	95412554	0.71	129.65	0.0042	150
oyster_0.008_1x_1.hist	histogram	genome-skim	1.02	96456545	0.76	116.94	0.0042	150
oyster_0.002_2x_1.hist	histogram	genome-skim	2.00	98011824	0.66	137.50	0.0042	150
oyster_0.0_4x_1.hist	histogram	genome-skim	4.09	95999506	0.65	148.15	0.0044	150
oyster_0.006_4x_1.hist	histogram	genome-skim	4.07	96454889	0.72	120.60	0.0040	150
oyster_0.02_4x_1.hist	histogram	genome-skim	4.04	97322243	0.83	77.53	0.0036	150
oyster_0.002_4x_1.hist	histogram	genome-skim	4.09	96125872	0.68	139.00	0.0042	150
oyster_0.01_4x_1.hist	histogram	genome-skim	4.04	97196243	0.75	104.85	0.0039	150
oyster_0.006_8x_1.hist	histogram	genome-skim	8.20	95830810	0.73	121.00	0.0041	150
oyster_0.01_2x_1.hist	histogram	genome-skim	2.00	98025999	0.75	105.02	0.0039	150
oyster_0.001_2x_1.hist	histogram	genome-skim	2.00	98417214	0.65	143.21	0.0043	150
oyster_0.02_2x_1.hist	histogram	genome-skim	2.01	97543858	0.83	78.45	0.0037	150
oyster_0.004_4x_1.hist	histogram	genome-skim	4.08	96284967	0.70	129.49	0.0042	150
oyster_0.001_4x_1.hist	histogram	genome-skim	4.08	96245301	0.66	143.61	0.0043	150
oyster_0.006_1x_1.hist	histogram	genome-skim	1.02	96301934	0.74	122.51	0.0044	150
oyster_0.02_8x_1.hist	histogram	genome-skim	8.12	96754869	0.84	78.27	0.0036	150
oyster_0.008_2x_1.hist	histogram	genome-skim	2.01	97538909	0.73	113.78	0.0039	150
oyster_0.001_1x_1.hist	histogram	genome-skim	0.94	104906600	0.63	143.21	0.0046	150
oyster_0.01_8x_1.hist	histogram	genome-skim	8.17	96160256	0.77	105.15	0.0039	150
oyster_0.008_4x_1.hist	histogram	genome-skim	4.06	96819337	0.74	115.95	0.0039	150
oyster_0.006_2x_1.hist	histogram	genome-skim	2.03	97022588	0.71	120.12	0.0040	150
oyster_0.001_8x_1.hist	histogram	genome-skim	8.28	94963985	0.68	142.89	0.0044	150
