sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
leech_0.0_1x_1.hist	histogram	genome-skim	0.98	155097727	0.94	255.28	0.0032	150
leech_0.01_2x_1.hist	histogram	genome-skim	2.01	152033470	0.95	183.64	0.0033	150
leech_0.008_2x_1.hist	histogram	genome-skim	2.00	152265247	0.95	199.72	0.0033	150
leech_0.008_1x_1.hist	histogram	genome-skim	0.99	154379637	0.96	195.32	0.0032	150
leech_0.02_1x_1.hist	histogram	genome-skim	0.99	154051777	0.97	135.38	0.0032	150
leech_0.001_4x_1.hist	histogram	genome-skim	4.03	151280362	0.94	247.47	0.0033	150
leech_0.008_4x_1.hist	histogram	genome-skim	4.02	151727047	0.95	199.75	0.0033	150
leech_0.02_8x_1.hist	histogram	genome-skim	8.03	152098154	0.96	137.45	0.0032	150
leech_0.004_2x_1.hist	histogram	genome-skim	2.01	152123082	0.94	224.46	0.0033	150
leech_0.004_1x_1.hist	histogram	genome-skim	0.99	153731047	0.95	221.52	0.0032	150
leech_0.0_4x_1.hist	histogram	genome-skim	4.03	151219928	0.94	256.48	0.0033	150
leech_0.001_8x_1.hist	histogram	genome-skim	8.07	151238059	0.93	248.02	0.0033	150
leech_0.002_2x_1.hist	histogram	genome-skim	2.01	151685247	0.94	241.43	0.0033	150
leech_0.006_4x_1.hist	histogram	genome-skim	4.02	151692773	0.95	212.58	0.0033	150
leech_0.008_8x_1.hist	histogram	genome-skim	8.05	151691091	0.95	200.22	0.0033	150
leech_0.002_1x_1.hist	histogram	genome-skim	1.01	151151807	0.95	235.88	0.0033	150
leech_0.001_1x_1.hist	histogram	genome-skim	1.00	151848986	0.95	245.64	0.0033	150
leech_0.004_4x_1.hist	histogram	genome-skim	4.02	151625586	0.94	223.45	0.0033	150
leech_0.01_1x_1.hist	histogram	genome-skim	1.00	152751234	0.96	184.09	0.0033	150
leech_0.006_2x_1.hist	histogram	genome-skim	2.01	152065645	0.95	211.60	0.0033	150
leech_0.006_1x_1.hist	histogram	genome-skim	1.00	152316867	0.96	213.02	0.0033	150
leech_0.0_8x_1.hist	histogram	genome-skim	8.07	151236872	0.93	256.51	0.0033	150
leech_0.002_8x_1.hist	histogram	genome-skim	8.07	151278675	0.93	238.05	0.0033	150
leech_0.001_2x_1.hist	histogram	genome-skim	2.01	151507853	0.94	245.59	0.0033	150
leech_0.01_8x_1.hist	histogram	genome-skim	8.05	151574090	0.95	185.59	0.0033	150
leech_0.02_2x_1.hist	histogram	genome-skim	1.99	153067945	0.96	136.78	0.0032	150
leech_0.0_2x_1.hist	histogram	genome-skim	2.01	151947865	0.93	255.71	0.0033	150
leech_0.002_4x_1.hist	histogram	genome-skim	4.03	151342058	0.94	239.30	0.0033	150
leech_0.02_4x_1.hist	histogram	genome-skim	4.00	152470906	0.96	136.36	0.0032	150
leech_0.006_8x_1.hist	histogram	genome-skim	8.05	151526649	0.94	212.40	0.0033	150
leech_0.01_4x_1.hist	histogram	genome-skim	4.01	152025073	0.95	187.53	0.0033	150
leech_0.004_8x_1.hist	histogram	genome-skim	8.06	151374376	0.94	226.06	0.0033	150
