sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
nematode_0.002_8x_1.hist	histogram	genome-skim	8.21	204858943	0.75	25.21	0.0040	150
nematode_0.0_4x_1.hist	histogram	genome-skim	4.14	203070912	0.74	27.41	0.0040	150
nematode_0.004_4x_1.hist	histogram	genome-skim	4.11	204465384	0.78	23.31	0.0039	150
nematode_0.01_2x_1.hist	histogram	genome-skim	2.03	206758162	0.82	20.05	0.0037	150
nematode_0.01_8x_1.hist	histogram	genome-skim	8.14	206698464	0.82	19.72	0.0037	150
nematode_0.004_2x_1.hist	histogram	genome-skim	2.04	206173565	0.77	23.40	0.0038	150
nematode_0.0_1x_1.hist	histogram	genome-skim	1.04	202738033	0.77	27.08	0.0042	150
nematode_0.008_4x_1.hist	histogram	genome-skim	4.06	207311383	0.80	21.17	0.0037	150
nematode_0.006_2x_1.hist	histogram	genome-skim	2.04	205748335	0.79	21.82	0.0038	150
nematode_0.001_4x_1.hist	histogram	genome-skim	4.12	204083829	0.75	25.81	0.0040	150
nematode_0.008_8x_1.hist	histogram	genome-skim	8.16	206250407	0.80	20.68	0.0038	150
nematode_0.001_2x_1.hist	histogram	genome-skim	2.07	203233468	0.75	26.30	0.0040	150
nematode_0.001_8x_1.hist	histogram	genome-skim	8.22	204529605	0.74	26.08	0.0040	150
nematode_0.004_1x_1.hist	histogram	genome-skim	1.05	200521651	0.81	23.27	0.0040	150
nematode_0.006_8x_1.hist	histogram	genome-skim	8.17	205811620	0.79	21.93	0.0038	150
nematode_0.008_2x_1.hist	histogram	genome-skim	2.03	206899578	0.80	21.04	0.0037	150
nematode_0.001_1x_1.hist	histogram	genome-skim	1.06	199221244	0.78	26.65	0.0041	150
nematode_0.01_4x_1.hist	histogram	genome-skim	4.06	207317557	0.82	19.93	0.0037	150
nematode_0.002_2x_1.hist	histogram	genome-skim	2.05	204617163	0.76	25.44	0.0039	150
nematode_0.02_4x_1.hist	histogram	genome-skim	4.03	208692795	0.87	14.08	0.0035	150
nematode_0.02_8x_1.hist	histogram	genome-skim	8.09	207785800	0.87	13.85	0.0035	150
nematode_0.006_1x_1.hist	histogram	genome-skim	1.01	208373408	0.81	22.37	0.0039	150
nematode_0.002_4x_1.hist	histogram	genome-skim	4.12	204061563	0.76	24.98	0.0039	150
nematode_0.02_1x_1.hist	histogram	genome-skim	1.02	206312339	0.90	13.79	0.0037	150
nematode_0.008_1x_1.hist	histogram	genome-skim	1.02	206836132	0.84	21.07	0.0038	150
nematode_0.01_1x_1.hist	histogram	genome-skim	1.02	206909477	0.85	19.45	0.0038	150
nematode_0.002_1x_1.hist	histogram	genome-skim	1.06	198524448	0.79	25.53	0.0041	150
nematode_0.006_4x_1.hist	histogram	genome-skim	4.07	206583575	0.79	21.85	0.0038	150
nematode_0.004_8x_1.hist	histogram	genome-skim	8.20	205191276	0.77	23.85	0.0039	150
nematode_0.0_2x_1.hist	histogram	genome-skim	2.07	203311477	0.74	26.78	0.0040	150
nematode_0.0_8x_1.hist	histogram	genome-skim	8.23	204256754	0.73	27.12	0.0041	150
nematode_0.02_2x_1.hist	histogram	genome-skim	2.02	207846577	0.88	13.85	0.0035	150
