sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
club-moss_0.01_4x_25.hist	histogram	genome-skim	4.23	196360504	0.66	28.40	0.0042	150
club-moss_0.001_2x_20.hist	histogram	genome-skim	2.42	171936525	0.62	38.86	0.0123	150
club-moss_0.001_4x_25.hist	histogram	genome-skim	4.12	201696640	0.46	37.79	0.0049	150
club-moss_0.001_4x_HiSeq2500L150R.hist	histogram	genome-skim	4.25	195291400	0.52	41.70	0.0201	150
club-moss_0.01_2x_23.hist	histogram	genome-skim	2.21	188216796	0.71	28.25	0.0062	150
club-moss_0.001_8x_novaseq_profR.hist	histogram	genome-skim	8.47	196223309	0.48	38.28	0.0043	150
club-moss_0.0_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.92	167538226	0.54	46.76	0.0176	150
club-moss_0.0_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.64	157105350	0.65	41.40	0.0138	150
club-moss_0.01_2x_20.hist	histogram	genome-skim	2.18	190557253	0.71	29.22	0.0117	150
club-moss_0.01_8x_25.hist	histogram	genome-skim	8.33	199484333	0.64	28.95	0.0044	150
club-moss_0.001_2x_25.hist	histogram	genome-skim	2.38	174427827	0.60	37.67	0.0046	150
club-moss_0.0_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.61	180232681	0.51	45.84	0.0157	150
club-moss_0.01_1x_23.hist	histogram	genome-skim	1.11	186909146	0.75	28.55	0.0061	150
club-moss_0.001_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.95	218949922	0.51	37.79	0.0162	150
club-moss_0.0_1x_23.hist	histogram	genome-skim	1.25	165736013	0.65	39.22	0.0064	150
club-moss_0.01_2x_HiSeq2500L150R.hist	histogram	genome-skim	2.16	192039226	0.72	29.85	0.0177	150
club-moss_0.0_2x_23.hist	histogram	genome-skim	2.49	166848352	0.61	41.33	0.0068	150
club-moss_0.01_1x_20.hist	histogram	genome-skim	1.11	186347345	0.78	26.89	0.0108	150
club-moss_0.01_1x_novaseq_profR.hist	histogram	genome-skim	1.13	184363107	0.74	28.50	0.0037	150
