sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.01_8x_17.hist	histogram	genome-skim	7.85	105634375	0.66	6.36	0.0291	150
moss_0.0_2x_17.hist	histogram	genome-skim	1.83	113427940	0.58	7.25	0.0238	150
moss_0.001_8x_30.hist	histogram	genome-skim	8.10	102383756	0.53	6.14	0.0017	150
moss_0.01_2x_17.hist	histogram	genome-skim	1.83	112997844	0.63	5.17	0.0226	150
moss_0.0_2x_30.hist	histogram	genome-skim	1.82	114136440	0.43	6.53	0.0019	150
moss_0.01_2x_30.hist	histogram	genome-skim	1.95	106082702	0.61	4.69	0.0015	150
moss_0.0_4x_17.hist	histogram	genome-skim	3.54	117116196	0.55	7.27	0.0241	150
moss_0.0_1x_17.hist	histogram	genome-skim	0.80	129639499	0.56	6.53	0.0224	150
moss_0.001_1x_17.hist	histogram	genome-skim	0.94	110177627	0.69	6.52	0.0221	150
moss_0.0_8x_30.hist	histogram	genome-skim	8.16	101656752	0.52	6.31	0.0018	150
moss_0.001_2x_17.hist	histogram	genome-skim	1.86	111586846	0.59	6.79	0.0236	150
moss_0.001_1x_30.hist	histogram	genome-skim	0.96	107887607	0.49	6.76	0.0028	150
moss_0.001_2x_30.hist	histogram	genome-skim	1.85	112202883	0.46	6.16	0.0018	150
moss_0.001_4x_30.hist	histogram	genome-skim	3.96	104619599	0.51	6.39	0.0017	150
moss_0.01_1x_30.hist	histogram	genome-skim	0.98	106250638	0.62	4.77	0.0023	150
moss_0.0_1x_30.hist	histogram	genome-skim	0.98	105427297	0.49	6.58	0.0029	150
moss_0.0_4x_30.hist	histogram	genome-skim	3.96	104629704	0.50	6.33	0.0017	150
moss_0.01_4x_17.hist	histogram	genome-skim	3.63	114299779	0.63	5.20	0.0226	150
moss_0.01_4x_30.hist	histogram	genome-skim	4.00	103781391	0.64	4.61	0.0014	150
moss_0.001_4x_17.hist	histogram	genome-skim	3.52	117696421	0.56	7.11	0.0239	150
moss_0.001_8x_17.hist	histogram	genome-skim	7.42	111795277	0.56	8.96	0.0310	150
moss_0.01_1x_17.hist	histogram	genome-skim	0.83	124337135	0.63	5.33	0.0212	150
moss_0.01_8x_30.hist	histogram	genome-skim	8.08	102682974	0.65	4.74	0.0014	150
moss_0.0_8x_17.hist	histogram	genome-skim	7.15	116028517	0.53	9.00	0.0312	150
