sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.001_1x_23.hist	histogram	genome-skim	1.01	102740612	0.53	6.78	0.0075	150
moss_0.0_4x_25.hist	histogram	genome-skim	4.08	101519574	0.51	6.64	0.0052	150
moss_0.01_1x_20.hist	histogram	genome-skim	0.99	104614056	0.66	5.03	0.0117	150
moss_0.0_1x_20.hist	histogram	genome-skim	0.99	104858208	0.56	6.96	0.0129	150
moss_0.01_1x_23.hist	histogram	genome-skim	0.96	108213637	0.62	4.71	0.0066	150
moss_0.0_8x_23.hist	histogram	genome-skim	8.58	96703708	0.55	6.93	0.0079	150
moss_0.001_1x_25.hist	histogram	genome-skim	0.97	107032897	0.51	6.05	0.0054	150
moss_0.001_1x_20.hist	histogram	genome-skim	0.97	106899491	0.56	6.59	0.0127	150
moss_0.001_4x_20.hist	histogram	genome-skim	3.90	106216596	0.51	6.97	0.0141	150
moss_0.0_2x_25.hist	histogram	genome-skim	1.90	109358585	0.46	6.55	0.0050	150
moss_0.01_4x_23.hist	histogram	genome-skim	4.09	101261004	0.65	4.84	0.0067	150
moss_0.0_2x_20.hist	histogram	genome-skim	1.95	106527860	0.51	6.82	0.0135	150
moss_0.001_8x_20.hist	histogram	genome-skim	12.68	65423484	0.85	9.97	0.0261	150
moss_0.0_2x_23.hist	histogram	genome-skim	1.93	107607805	0.48	6.98	0.0075	150
moss_0.0_8x_25.hist	histogram	genome-skim	8.42	98519555	0.54	6.76	0.0052	150
moss_0.01_8x_25.hist	histogram	genome-skim	8.27	100228628	0.66	4.77	0.0044	150
moss_0.0_4x_20.hist	histogram	genome-skim	3.73	111057000	0.46	7.04	0.0143	150
moss_0.01_4x_25.hist	histogram	genome-skim	4.07	101879793	0.65	4.90	0.0044	150
moss_0.0_8x_20.hist	histogram	genome-skim	12.77	64955253	0.83	10.35	0.0265	150
moss_0.01_2x_23.hist	histogram	genome-skim	1.98	104719974	0.63	4.89	0.0065	150
moss_0.001_2x_25.hist	histogram	genome-skim	1.87	110971235	0.47	6.70	0.0050	150
moss_0.01_1x_25.hist	histogram	genome-skim	0.97	106860996	0.62	4.98	0.0048	150
moss_0.01_2x_20.hist	histogram	genome-skim	2.00	103738067	0.64	4.83	0.0122	150
moss_0.01_4x_20.hist	histogram	genome-skim	4.11	100911537	0.67	5.03	0.0127	150
moss_0.01_8x_23.hist	histogram	genome-skim	8.40	98771029	0.67	4.85	0.0068	150
moss_0.0_4x_23.hist	histogram	genome-skim	4.06	102233044	0.51	6.82	0.0080	150
moss_0.001_4x_23.hist	histogram	genome-skim	4.06	102128434	0.53	6.62	0.0078	150
moss_0.0_1x_25.hist	histogram	genome-skim	1.00	103917608	0.51	6.60	0.0055	150
moss_0.001_2x_20.hist	histogram	genome-skim	1.95	106385370	0.52	6.75	0.0134	150
moss_0.0_1x_23.hist	histogram	genome-skim	0.97	106728161	0.50	7.01	0.0077	150
moss_0.001_4x_25.hist	histogram	genome-skim	4.05	102306265	0.52	6.59	0.0051	150
moss_0.01_2x_25.hist	histogram	genome-skim	1.98	104915978	0.62	4.74	0.0043	150
moss_0.01_8x_20.hist	histogram	genome-skim	8.62	96244854	0.69	4.98	0.0129	150
moss_0.001_2x_23.hist	histogram	genome-skim	1.92	108020158	0.49	6.63	0.0074	150
moss_0.001_8x_23.hist	histogram	genome-skim	8.57	96719357	0.57	6.69	0.0078	150
moss_0.001_8x_25.hist	histogram	genome-skim	8.42	98545791	0.56	6.44	0.0051	150
moss_0.0_1x_17.hist	histogram	genome-skim	0.72	143820711	0.55	7.08	0.0223	150
moss_0.0_8x_30.hist	histogram	genome-skim	8.15	101734623	0.52	6.42	0.0018	150
moss_0.01_1x_17.hist	histogram	genome-skim	0.76	136795630	0.58	4.96	0.0213	150
moss_0.001_2x_17.hist	histogram	genome-skim	1.82	114053669	0.59	7.15	0.0236	150
moss_0.0_4x_30.hist	histogram	genome-skim	3.95	104871768	0.50	6.44	0.0018	150
moss_0.001_2x_30.hist	histogram	genome-skim	1.83	113402355	0.45	6.24	0.0018	150
moss_0.01_2x_30.hist	histogram	genome-skim	1.95	106485823	0.61	4.82	0.0015	150
moss_0.001_8x_30.hist	histogram	genome-skim	8.11	102245979	0.53	6.23	0.0017	150
moss_0.0_4x_17.hist	histogram	genome-skim	3.55	116967447	0.56	7.14	0.0241	150
moss_0.0_2x_30.hist	histogram	genome-skim	1.82	113821327	0.43	6.52	0.0019	150
moss_0.01_1x_30.hist	histogram	genome-skim	0.94	110491071	0.60	4.68	0.0023	150
moss_0.01_4x_17.hist	histogram	genome-skim	3.65	113738826	0.63	5.03	0.0226	150
moss_0.06_4x_30.hist	histogram	genome-skim	4.01	103474797	0.94	0.98	0.0011	150
moss_0.06_8x_25.hist	histogram	genome-skim	8.03	103216669	0.94	1.05	0.0033	150
moss_0.06_2x_23.hist	histogram	genome-skim	2.02	102718345	0.94	1.03	0.0052	150
moss_0.06_1x_20.hist	histogram	genome-skim	1.00	103219497	0.97	0.99	0.0102	150
moss_0.06_2x_30.hist	histogram	genome-skim	2.00	103755506	0.94	0.98	0.0011	150
moss_0.06_4x_20.hist	histogram	genome-skim	4.01	103497838	0.95	1.07	0.0103	150
moss_0.06_1x_23.hist	histogram	genome-skim	1.00	103546138	0.96	1.09	0.0052	150
moss_0.06_1x_25.hist	histogram	genome-skim	1.00	103286843	0.95	1.15	0.0035	150
moss_0.06_4x_25.hist	histogram	genome-skim	4.02	103217719	0.94	0.97	0.0033	150
moss_0.06_8x_30.hist	histogram	genome-skim	8.00	103612944	0.93	0.99	0.0011	150
moss_0.06_8x_20.hist	histogram	genome-skim	8.08	102665433	0.94	1.03	0.0103	150
moss_0.06_8x_23.hist	histogram	genome-skim	8.06	102942402	0.94	1.05	0.0052	150
moss_0.06_4x_23.hist	histogram	genome-skim	4.02	103198247	0.94	1.04	0.0052	150
moss_0.06_2x_25.hist	histogram	genome-skim	2.01	103125085	0.94	0.96	0.0033	150
moss_0.06_2x_20.hist	histogram	genome-skim	2.01	103350679	0.95	0.98	0.0102	150
moss_0.06_1x_30.hist	histogram	genome-skim	1.02	101460950	0.95	1.04	0.0014	150
